Sent for Payment Date,Approved Amount (rpt),Category Level 1
01/04/2019,514.03,"Travel, venue hire and exhibition services"
30/04/2019,525.00,"Travel, venue hire and exhibition services"
16/04/2019,527.25,"Travel, venue hire and exhibition services"
29/04/2019,529.65,"Advertising, Marketing & Media"
29/04/2019,531.16,"Advertising, Marketing & Media"
29/04/2019,533.19,"Advertising, Marketing & Media"
01/04/2019,539.40,"Travel, venue hire and exhibition services"
30/04/2019,547.06,"Advertising, Marketing & Media"
26/04/2019,547.27,"Travel, venue hire and exhibition services"
01/04/2019,548.78,"Travel, venue hire and exhibition services"
26/04/2019,590.38,"Advertising, Marketing & Media"
20/04/2019,591.82,"Travel, venue hire and exhibition services"
26/04/2019,628.65,"Advertising, Marketing & Media"
22/04/2019,635.48,"Travel, venue hire and exhibition services"
30/04/2019,648.00,Human Resources
29/04/2019,648.00,Human Resources
11/04/2019,651.16,"Travel, venue hire and exhibition services"
29/04/2019,662.95,"Advertising, Marketing & Media"
29/04/2019,684.00,Human Resources
04/04/2019,700.00,IT & Telecoms
01/04/2019,701.19,"Travel, venue hire and exhibition services"
26/04/2019,713.62,"Advertising, Marketing & Media"
30/04/2019,768.06,Facilities
08/04/2019,795.75,"Travel, venue hire and exhibition services"
01/04/2019,822.43,"Travel, venue hire and exhibition services"
01/04/2019,825.61,"Travel, venue hire and exhibition services"
19/04/2019,839.00,"Travel, venue hire and exhibition services"
22/04/2019,848.79,"Travel, venue hire and exhibition services"
21/04/2019,853.69,"Travel, venue hire and exhibition services"
21/04/2019,855.54,"Travel, venue hire and exhibition services"
28/04/2019,876.00,"Travel, venue hire and exhibition services"
30/04/2019,879.87,"Travel, venue hire and exhibition services"
23/04/2019,879.92,"Travel, venue hire and exhibition services"
30/04/2019,887.41,"Travel, venue hire and exhibition services"
17/04/2019,952.48,Facilities
25/04/2019,958.31,Facilities
01/04/2019,995.00,Human Resources
30/04/2019,"1,000.00",Facilities
29/04/2019,"1,006.17","Travel, venue hire and exhibition services"
01/04/2019,"1,016.58","Travel, venue hire and exhibition services"
28/04/2019,"1,097.47","Travel, venue hire and exhibition services"
29/04/2019,"1,098.96","Travel, venue hire and exhibition services"
23/04/2019,"1,130.66",IT & Telecoms
25/04/2019,"1,169.32","Travel, venue hire and exhibition services"
01/04/2019,"1,214.46","Travel, venue hire and exhibition services"
01/04/2019,"1,400.99","Travel, venue hire and exhibition services"
28/04/2019,"1,415.94","Travel, venue hire and exhibition services"
01/04/2019,"1,529.04","Travel, venue hire and exhibition services"
25/04/2019,"1,736.32","Travel, venue hire and exhibition services"
29/04/2019,"1,763.82",IT & Telecoms
29/04/2019,"1,834.37",IT & Telecoms
01/04/2019,"1,858.15","Travel, venue hire and exhibition services"
30/04/2019,"1,913.92",Facilities
01/04/2019,"2,338.93","Travel, venue hire and exhibition services"
22/04/2019,"2,575.56",Human Resources
29/04/2019,"26,953.58",IT & Telecoms
29/04/2019,"56,844.85",IT & Telecoms
