Sent for Payment Date,Approved Amount (rpt),Category Level 1
06/08/2018,500.00,"Advertising, Marketing & Media"
06/08/2018,500.00,"Advertising, Marketing & Media"
31/08/2018,500.00,IT & Telecoms
31/08/2018,501.64,"Travel, venue hire and exhibition services"
31/08/2018,504.00,IT & Telecoms
24/08/2018,505.21,Human Resources
06/08/2018,515.46,"Advertising, Marketing & Media"
20/08/2018,533.25,"Travel, venue hire and exhibition services"
30/08/2018,533.27,"Travel, venue hire and exhibition services"
06/08/2018,538.59,Human Resources
12/08/2018,546.05,"Advertising, Marketing & Media"
24/08/2018,546.40,"Travel, venue hire and exhibition services"
29/08/2018,546.95,"Travel, venue hire and exhibition services"
01/08/2018,553.05,"Travel, venue hire and exhibition services"
13/08/2018,553.55,Human Resources
15/08/2018,560.08,"Travel, venue hire and exhibition services"
13/08/2018,570.00,"Travel, venue hire and exhibition services"
20/08/2018,570.24,"Travel, venue hire and exhibition services"
15/08/2018,571.50,Facilities
15/08/2018,594.00,Human Resources
31/08/2018,594.00,"Travel, venue hire and exhibition services"
11/08/2018,594.80,"Travel, venue hire and exhibition services"
13/08/2018,600.00,"Advertising, Marketing & Media"
21/08/2018,600.00,Human Resources
28/08/2018,608.03,"Travel, venue hire and exhibition services"
02/08/2018,610.68,"Travel, venue hire and exhibition services"
29/08/2018,625.97,"Travel, venue hire and exhibition services"
14/08/2018,665.04,"Travel, venue hire and exhibition services"
16/08/2018,670.10,"Travel, venue hire and exhibition services"
07/08/2018,674.84,IT & Telecoms
07/08/2018,684.99,"Travel, venue hire and exhibition services"
01/08/2018,690.00,Facilities
31/08/2018,697.68,"Travel, venue hire and exhibition services"
16/08/2018,719.54,"Travel, venue hire and exhibition services"
31/08/2018,741.66,Facilities
02/08/2018,765.00,"Travel, venue hire and exhibition services"
16/08/2018,775.38,"Travel, venue hire and exhibition services"
01/08/2018,781.79,Human Resources
02/08/2018,786.32,"Travel, venue hire and exhibition services"
02/08/2018,810.39,"Travel, venue hire and exhibition services"
15/08/2018,814.58,"Travel, venue hire and exhibition services"
09/08/2018,823.68,"Advertising, Marketing & Media"
08/08/2018,844.74,"Travel, venue hire and exhibition services"
01/08/2018,864.00,Facilities
23/08/2018,888.57,Human Resources
24/08/2018,892.38,"Travel, venue hire and exhibition services"
30/08/2018,916.07,"Travel, venue hire and exhibition services"
21/08/2018,929.92,"Travel, venue hire and exhibition services"
22/08/2018,960.00,Human Resources
22/08/2018,982.60,"Travel, venue hire and exhibition services"
02/08/2018,999.56,"Travel, venue hire and exhibition services"
02/08/2018,"1,000.00",Facilities
24/08/2018,"1,024.51","Travel, venue hire and exhibition services"
06/08/2018,"1,034.61","Advertising, Marketing & Media"
01/08/2018,"1,050.00","Travel, venue hire and exhibition services"
15/08/2018,"1,055.39","Travel, venue hire and exhibition services"
25/08/2018,"1,073.66","Travel, venue hire and exhibition services"
25/08/2018,"1,147.20","Travel, venue hire and exhibition services"
28/08/2018,"1,147.42","Travel, venue hire and exhibition services"
16/08/2018,"1,187.53","Travel, venue hire and exhibition services"
24/08/2018,"1,198.87",Facilities
08/08/2018,"1,220.55",IT & Telecoms
21/08/2018,"1,242.17","Travel, venue hire and exhibition services"
31/08/2018,"1,253.18","Travel, venue hire and exhibition services"
02/08/2018,"1,361.71","Travel, venue hire and exhibition services"
03/08/2018,"1,427.30","Travel, venue hire and exhibition services"
13/08/2018,"1,536.00","Travel, venue hire and exhibition services"
12/08/2018,"1,579.45",Human Resources
07/08/2018,"1,622.52","Travel, venue hire and exhibition services"
29/08/2018,"1,654.76","Travel, venue hire and exhibition services"
21/08/2018,"1,668.11",IT & Telecoms
02/08/2018,"1,700.99",IT & Telecoms
02/08/2018,"1,822.84","Travel, venue hire and exhibition services"
24/08/2018,"1,823.04",Facilities
28/08/2018,"1,889.33","Travel, venue hire and exhibition services"
13/08/2018,"1,917.41","Travel, venue hire and exhibition services"
25/08/2018,"2,211.27","Travel, venue hire and exhibition services"
01/08/2018,"2,245.50",Human Resources
15/08/2018,"2,289.60","Travel, venue hire and exhibition services"
28/08/2018,"2,611.67","Travel, venue hire and exhibition services"
07/08/2018,"2,722.21","Travel, venue hire and exhibition services"
01/08/2018,"2,782.66","Travel, venue hire and exhibition services"
13/08/2018,"3,045.42","Travel, venue hire and exhibition services"
01/08/2018,"3,336.40",Human Resources
07/08/2018,"5,482.89",IT & Telecoms
08/08/2018,"13,283.86",IT & Telecoms
08/08/2018,"44,914.64",IT & Telecoms
