Sent for Payment Date,Approved Amount (rpt),Category Level 1
23/02/2018,500.00,"Travel, venue hire and exhibition services"
04/10/2018,500.00,"Travel, venue hire and exhibition services"
07/11/2018,500.00,"Travel, venue hire and exhibition services"
31/08/2018,500.00,IT & Telecoms
27/09/2018,500.00,IT & Telecoms
27/09/2018,500.00,IT & Telecoms
16/10/2018,500.00,IT & Telecoms
16/10/2018,500.00,IT & Telecoms
30/04/2018,500.00,Facilities
07/02/2018,500.00,"Advertising, Marketing & Media"
07/02/2018,500.00,"Advertising, Marketing & Media"
09/03/2018,500.00,"Advertising, Marketing & Media"
09/03/2018,500.00,"Advertising, Marketing & Media"
09/03/2018,500.00,"Advertising, Marketing & Media"
26/03/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,"Advertising, Marketing & Media"
19/06/2018,500.00,"Advertising, Marketing & Media"
06/08/2018,500.00,"Advertising, Marketing & Media"
06/08/2018,500.00,"Advertising, Marketing & Media"
24/04/2018,500.00,"Advertising, Marketing & Media"
24/04/2018,500.00,"Advertising, Marketing & Media"
24/04/2018,500.00,"Advertising, Marketing & Media"
26/03/2018,500.00,"Advertising, Marketing & Media"
23/10/2018,500.28,IT & Telecoms
05/09/2018,500.78,"Travel, venue hire and exhibition services"
10/07/2018,500.82,"Travel, venue hire and exhibition services"
10/10/2018,500.98,Facilities
09/10/2018,501.31,"Travel, venue hire and exhibition services"
30/05/2018,501.44,"Travel, venue hire and exhibition services"
06/09/2018,501.54,Facilities
31/08/2018,501.64,"Travel, venue hire and exhibition services"
19/07/2018,501.77,"Travel, venue hire and exhibition services"
30/05/2018,501.95,Facilities
01/03/2018,502.00,"Advertising, Marketing & Media"
30/04/2018,502.24,"Travel, venue hire and exhibition services"
23/10/2018,502.29,"Advertising, Marketing & Media"
20/06/2018,502.36,"Travel, venue hire and exhibition services"
30/04/2018,502.48,Facilities
28/03/2018,502.67,"Travel, venue hire and exhibition services"
31/01/2018,502.70,"Travel, venue hire and exhibition services"
31/07/2018,502.97,"Travel, venue hire and exhibition services"
22/03/2018,503.33,"Travel, venue hire and exhibition services"
31/08/2018,504.00,IT & Telecoms
13/11/2018,504.47,"Advertising, Marketing & Media"
23/10/2018,504.51,"Advertising, Marketing & Media"
06/03/2018,504.57,"Travel, venue hire and exhibition services"
14/11/2018,504.58,"Travel, venue hire and exhibition services"
19/02/2018,504.77,Facilities
24/08/2018,505.21,Human Resources
08/10/2018,505.44,"Travel, venue hire and exhibition services"
28/03/2018,505.70,"Travel, venue hire and exhibition services"
02/03/2018,505.83,"Travel, venue hire and exhibition services"
19/03/2018,505.83,"Travel, venue hire and exhibition services"
02/11/2018,506.29,Facilities
19/09/2018,506.84,Facilities
19/09/2018,507.05,Facilities
28/03/2018,507.35,"Travel, venue hire and exhibition services"
19/10/2018,508.53,"Travel, venue hire and exhibition services"
08/05/2018,508.71,IT & Telecoms
01/02/2018,508.80,"Travel, venue hire and exhibition services"
17/02/2018,508.98,"Travel, venue hire and exhibition services"
14/03/2018,509.20,"Travel, venue hire and exhibition services"
03/10/2018,509.81,"Travel, venue hire and exhibition services"
13/03/2018,509.84,IT & Telecoms
01/06/2018,510.21,"Travel, venue hire and exhibition services"
15/02/2018,510.26,"Advertising, Marketing & Media"
09/11/2018,510.41,"Travel, venue hire and exhibition services"
20/02/2018,511.02,"Travel, venue hire and exhibition services"
28/11/2018,511.35,"Travel, venue hire and exhibition services"
02/05/2018,511.47,IT & Telecoms
05/11/2018,511.67,Facilities
30/04/2018,512.14,"Travel, venue hire and exhibition services"
14/06/2018,512.17,Facilities
08/11/2018,513.04,"Travel, venue hire and exhibition services"
16/07/2018,513.12,"Travel, venue hire and exhibition services"
27/02/2018,513.55,IT & Telecoms
15/02/2018,514.19,"Travel, venue hire and exhibition services"
30/04/2018,514.54,"Travel, venue hire and exhibition services"
20/03/2018,514.65,IT & Telecoms
30/04/2018,514.89,"Travel, venue hire and exhibition services"
16/07/2018,515.00,"Travel, venue hire and exhibition services"
07/02/2018,515.41,Facilities
06/08/2018,515.46,"Advertising, Marketing & Media"
30/04/2018,515.59,"Travel, venue hire and exhibition services"
30/04/2018,515.61,"Travel, venue hire and exhibition services"
31/05/2018,515.72,"Travel, venue hire and exhibition services"
11/09/2018,515.88,"Travel, venue hire and exhibition services"
14/02/2018,516.11,Facilities
27/04/2018,516.32,"Travel, venue hire and exhibition services"
27/03/2018,516.71,IT & Telecoms
30/04/2018,517.20,Professional Services
28/03/2018,517.45,"Travel, venue hire and exhibition services"
26/03/2018,517.60,"Travel, venue hire and exhibition services"
28/02/2018,519.59,"Advertising, Marketing & Media"
05/07/2018,519.79,"Travel, venue hire and exhibition services"
23/07/2018,520.00,"Travel, venue hire and exhibition services"
19/02/2018,520.00,"Travel, venue hire and exhibition services"
02/03/2018,520.68,Facilities
12/02/2018,520.72,"Travel, venue hire and exhibition services"
23/02/2018,521.00,"Travel, venue hire and exhibition services"
23/02/2018,521.33,"Travel, venue hire and exhibition services"
16/03/2018,521.66,"Travel, venue hire and exhibition services"
25/02/2018,521.83,"Travel, venue hire and exhibition services"
04/07/2018,522.00,IT & Telecoms
23/03/2018,522.00,IT & Telecoms
18/09/2018,523.33,"Travel, venue hire and exhibition services"
23/09/2018,523.87,"Travel, venue hire and exhibition services"
26/03/2018,523.88,"Travel, venue hire and exhibition services"
01/11/2018,524.25,"Travel, venue hire and exhibition services"
21/03/2018,524.28,"Travel, venue hire and exhibition services"
20/04/2018,524.50,IT & Telecoms
05/11/2018,524.68,"Travel, venue hire and exhibition services"
15/02/2018,524.68,"Travel, venue hire and exhibition services"
15/02/2018,524.70,"Travel, venue hire and exhibition services"
22/10/2018,524.75,"Travel, venue hire and exhibition services"
09/03/2018,525.00,Human Resources
20/05/2018,525.09,IT & Telecoms
15/06/2018,525.65,"Travel, venue hire and exhibition services"
11/06/2018,526.28,IT & Telecoms
02/02/2018,526.32,"Travel, venue hire and exhibition services"
01/06/2018,526.38,"Travel, venue hire and exhibition services"
08/03/2018,526.56,"Travel, venue hire and exhibition services"
30/10/2018,526.61,"Travel, venue hire and exhibition services"
28/02/2018,527.60,"Advertising, Marketing & Media"
28/11/2018,527.80,"Travel, venue hire and exhibition services"
22/03/2018,527.96,IT & Telecoms
30/10/2018,528.00,Facilities
12/04/2018,528.03,"Advertising, Marketing & Media"
05/03/2018,528.67,IT & Telecoms
19/07/2018,528.88,"Travel, venue hire and exhibition services"
22/11/2018,529.98,IT & Telecoms
28/06/2018,531.36,"Travel, venue hire and exhibition services"
24/11/2018,531.90,"Travel, venue hire and exhibition services"
20/07/2018,532.29,"Advertising, Marketing & Media"
20/08/2018,533.25,"Travel, venue hire and exhibition services"
30/08/2018,533.27,"Travel, venue hire and exhibition services"
27/04/2018,533.57,"Travel, venue hire and exhibition services"
02/05/2018,533.80,"Advertising, Marketing & Media"
16/03/2018,534.00,"Travel, venue hire and exhibition services"
27/03/2018,534.00,Human Resources
16/05/2018,534.00,Human Resources
21/02/2018,534.00,Human Resources
06/02/2018,534.00,Human Resources
24/11/2018,534.16,"Travel, venue hire and exhibition services"
12/09/2018,534.27,"Travel, venue hire and exhibition services"
28/03/2018,534.60,IT & Telecoms
31/01/2018,535.00,Human Resources
26/03/2018,535.03,"Travel, venue hire and exhibition services"
31/01/2018,535.42,"Travel, venue hire and exhibition services"
22/11/2018,535.79,"Travel, venue hire and exhibition services"
11/09/2018,536.77,"Travel, venue hire and exhibition services"
26/03/2018,536.79,"Travel, venue hire and exhibition services"
13/11/2018,536.82,Facilities
02/02/2018,536.99,"Travel, venue hire and exhibition services"
07/09/2018,537.22,Facilities
