Sent for Payment Date,Approved Amount (rpt),Category Level 1
06/02/2019,503.00,IT & Telecoms
21/02/2019,509.13,"Travel, venue hire and exhibition services"
14/02/2019,510.16,"Travel, venue hire and exhibition services"
06/02/2019,511.24,"Travel, venue hire and exhibition services"
09/02/2019,511.72,"Travel, venue hire and exhibition services"
06/02/2019,512.06,IT & Telecoms
21/02/2019,517.95,Human Resources
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
06/02/2019,520.99,"Travel, venue hire and exhibition services"
01/02/2019,521.79,"Travel, venue hire and exhibition services"
14/02/2019,529.20,"Travel, venue hire and exhibition services"
21/02/2019,530.00,"Travel, venue hire and exhibition services"
21/02/2019,530.00,"Travel, venue hire and exhibition services"
21/02/2019,530.00,"Travel, venue hire and exhibition services"
21/02/2019,530.00,"Travel, venue hire and exhibition services"
07/02/2019,532.00,Human Resources
02/02/2019,533.40,IT & Telecoms
19/02/2019,534.00,IT & Telecoms
04/02/2019,534.00,Human Resources
27/02/2019,553.37,"Travel, venue hire and exhibition services"
28/02/2019,560.45,"Travel, venue hire and exhibition services"
21/02/2019,564.00,Human Resources
26/02/2019,565.34,"Travel, venue hire and exhibition services"
15/02/2019,567.00,"Advertising, Marketing & Media"
21/02/2019,570.68,IT & Telecoms
22/02/2019,576.00,Facilities
20/02/2019,578.31,Facilities
04/02/2019,585.38,Facilities
21/02/2019,590.64,"Travel, venue hire and exhibition services"
02/02/2019,591.97,Facilities
19/02/2019,600.00,"Advertising, Marketing & Media"
19/02/2019,600.00,"Advertising, Marketing & Media"
19/02/2019,600.00,"Advertising, Marketing & Media"
19/02/2019,600.00,"Advertising, Marketing & Media"
19/02/2019,600.00,"Advertising, Marketing & Media"
21/02/2019,605.00,"Travel, venue hire and exhibition services"
20/02/2019,621.08,Facilities
21/02/2019,624.32,IT & Telecoms
02/02/2019,629.80,Facilities
28/02/2019,634.81,"Travel, venue hire and exhibition services"
28/02/2019,635.44,"Travel, venue hire and exhibition services"
10/02/2019,639.60,"Travel, venue hire and exhibition services"
24/02/2019,639.78,Human Resources
05/02/2019,641.70,"Travel, venue hire and exhibition services"
26/02/2019,645.76,"Travel, venue hire and exhibition services"
15/02/2019,654.73,"Travel, venue hire and exhibition services"
26/02/2019,670.45,"Travel, venue hire and exhibition services"
28/02/2019,672.70,Facilities
11/02/2019,680.40,IT & Telecoms
17/02/2019,682.64,"Advertising, Marketing & Media"
20/02/2019,683.52,Human Resources
14/02/2019,684.00,Human Resources
04/02/2019,686.56,Human Resources
06/02/2019,687.37,Facilities
06/02/2019,688.00,Human Resources
20/02/2019,700.00,Human Resources
19/02/2019,700.00,"Advertising, Marketing & Media"
02/02/2019,704.38,"Travel, venue hire and exhibition services"
14/02/2019,705.09,"Travel, venue hire and exhibition services"
13/02/2019,713.40,Facilities
19/02/2019,718.60,"Travel, venue hire and exhibition services"
17/02/2019,719.29,"Travel, venue hire and exhibition services"
19/02/2019,724.87,Facilities
26/02/2019,729.84,"Travel, venue hire and exhibition services"
01/02/2019,731.17,"Travel, venue hire and exhibition services"
27/02/2019,731.49,IT & Telecoms
04/02/2019,736.00,"Travel, venue hire and exhibition services"
04/02/2019,739.00,IT & Telecoms
20/02/2019,741.17,"Travel, venue hire and exhibition services"
28/02/2019,744.90,IT & Telecoms
22/02/2019,745.50,"Travel, venue hire and exhibition services"
07/02/2019,751.97,Facilities
15/02/2019,757.86,Facilities
14/02/2019,773.78,"Travel, venue hire and exhibition services"
14/02/2019,799.62,"Travel, venue hire and exhibition services"
05/02/2019,804.74,"Travel, venue hire and exhibition services"
27/02/2019,814.39,"Travel, venue hire and exhibition services"
06/02/2019,817.98,IT & Telecoms
