Sent for Payment Date,Approved Amount (rpt),Category Level 1
04/01/2019,501.65,"Travel, venue hire and exhibition services"
23/01/2019,502.21,"Advertising, Marketing & Media"
02/01/2019,505.00,Facilities
04/01/2019,511.40,Facilities
04/01/2019,514.56,IT & Telecoms
07/01/2019,515.14,Human Resources
04/01/2019,515.51,Facilities
30/01/2019,523.75,"Travel, venue hire and exhibition services"
03/01/2019,525.43,"Travel, venue hire and exhibition services"
31/01/2019,529.99,"Travel, venue hire and exhibition services"
14/01/2019,541.00,Human Resources
08/01/2019,544.11,"Travel, venue hire and exhibition services"
28/01/2019,547.41,"Travel, venue hire and exhibition services"
15/01/2019,548.17,Facilities
22/01/2019,548.78,"Travel, venue hire and exhibition services"
07/01/2019,550.00,Facilities
07/01/2019,562.90,"Travel, venue hire and exhibition services"
08/01/2019,566.01,IT & Telecoms
03/01/2019,566.56,"Advertising, Marketing & Media"
09/01/2019,566.70,Facilities
21/01/2019,585.64,Facilities
08/01/2019,592.23,IT & Telecoms
25/01/2019,596.43,"Travel, venue hire and exhibition services"
04/01/2019,597.20,Exam Board Fees
24/01/2019,597.36,"Travel, venue hire and exhibition services"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
14/01/2019,600.00,"Advertising, Marketing & Media"
02/01/2019,612.34,"Travel, venue hire and exhibition services"
18/01/2019,629.87,Human Resources
14/01/2019,632.22,Human Resources
09/01/2019,634.55,"Travel, venue hire and exhibition services"
02/01/2019,647.01,Human Resources
30/01/2019,648.00,Facilities
30/01/2019,650.30,"Travel, venue hire and exhibition services"
07/01/2019,654.84,Facilities
14/01/2019,659.00,"Travel, venue hire and exhibition services"
25/01/2019,664.67,"Travel, venue hire and exhibition services"
07/01/2019,671.00,Facilities
04/01/2019,685.79,IT & Telecoms
21/01/2019,686.67,"Travel, venue hire and exhibition services"
09/01/2019,687.88,Professional Services
17/01/2019,688.23,"Travel, venue hire and exhibition services"
03/01/2019,731.08,"Travel, venue hire and exhibition services"
29/01/2019,736.25,"Travel, venue hire and exhibition services"
25/01/2019,737.92,"Travel, venue hire and exhibition services"
29/01/2019,740.64,Facilities
21/01/2019,755.62,Human Resources
05/01/2019,785.93,"Travel, venue hire and exhibition services"
31/01/2019,800.00,Human Resources
28/01/2019,807.12,"Advertising, Marketing & Media"
04/01/2019,808.76,IT & Telecoms
04/01/2019,812.42,IT & Telecoms
04/01/2019,837.50,IT & Telecoms
25/01/2019,845.58,"Travel, venue hire and exhibition services"
04/01/2019,846.50,IT & Telecoms
03/01/2019,883.49,Facilities
31/01/2019,887.00,"Travel, venue hire and exhibition services"
15/01/2019,908.21,"Travel, venue hire and exhibition services"
30/01/2019,911.00,"Travel, venue hire and exhibition services"
07/01/2019,932.78,"Travel, venue hire and exhibition services"
20/01/2019,983.41,IT & Telecoms
04/01/2019,"1,000.00",Facilities
07/01/2019,"1,000.03","Travel, venue hire and exhibition services"
24/01/2019,"1,007.58","Travel, venue hire and exhibition services"
04/01/2019,"1,016.17",IT & Telecoms
21/01/2019,"1,029.74","Travel, venue hire and exhibition services"
08/01/2019,"1,139.48","Travel, venue hire and exhibition services"
02/01/2019,"1,175.91",Facilities
02/01/2019,"1,176.00",Human Resources
14/01/2019,"1,182.75","Travel, venue hire and exhibition services"
04/01/2019,"1,231.10","Travel, venue hire and exhibition services"
20/01/2019,"1,236.02","Travel, venue hire and exhibition services"
17/01/2019,"1,249.56","Travel, venue hire and exhibition services"
21/01/2019,"1,320.86","Travel, venue hire and exhibition services"
30/01/2019,"1,344.00",Facilities
02/01/2019,"1,382.48",Facilities
25/01/2019,"1,457.23","Travel, venue hire and exhibition services"
04/01/2019,"1,460.00","Advertising, Marketing & Media"
22/01/2019,"1,539.52","Travel, venue hire and exhibition services"
01/01/2019,"1,584.41","Travel, venue hire and exhibition services"
16/01/2019,"1,630.71","Travel, venue hire and exhibition services"
06/01/2019,"1,667.00",Human Resources
25/01/2019,"1,674.00",Human Resources
28/01/2019,"1,675.34","Travel, venue hire and exhibition services"
24/01/2019,"1,697.61","Travel, venue hire and exhibition services"
25/01/2019,"1,765.38","Advertising, Marketing & Media"
02/01/2019,"1,766.96","Travel, venue hire and exhibition services"
17/01/2019,"1,939.62","Travel, venue hire and exhibition services"
21/01/2019,"2,094.00",Human Resources
04/01/2019,"2,160.00",Human Resources
09/01/2019,"2,655.60",Professional Services
20/01/2019,"2,689.87",Human Resources
21/01/2019,"2,700.00","Advertising, Marketing & Media"
09/01/2019,"2,812.50",Human Resources
17/01/2019,"3,055.76","Travel, venue hire and exhibition services"
28/01/2019,"3,092.55","Travel, venue hire and exhibition services"
02/01/2019,"5,585.01","Travel, venue hire and exhibition services"
04/01/2019,"26,178.96",IT & Telecoms
04/01/2019,"53,525.08",IT & Telecoms
