Sent for Payment Date,Approved Amount (rpt),Category Level 1
10/07/2018,500.82,"Travel, venue hire and exhibition services"
19/07/2018,501.77,"Travel, venue hire and exhibition services"
31/07/2018,502.97,"Travel, venue hire and exhibition services"
16/07/2018,513.12,"Travel, venue hire and exhibition services"
16/07/2018,515.00,"Travel, venue hire and exhibition services"
05/07/2018,519.79,"Travel, venue hire and exhibition services"
23/07/2018,520.00,"Travel, venue hire and exhibition services"
04/07/2018,522.00,IT & Telecoms
19/07/2018,528.88,"Travel, venue hire and exhibition services"
20/07/2018,532.29,"Advertising, Marketing & Media"
13/07/2018,538.11,"Advertising, Marketing & Media"
22/07/2018,548.05,"Travel, venue hire and exhibition services"
26/07/2018,551.58,IT & Telecoms
18/07/2018,554.39,"Travel, venue hire and exhibition services"
20/07/2018,555.91,"Travel, venue hire and exhibition services"
23/07/2018,561.00,"Travel, venue hire and exhibition services"
06/07/2018,561.56,"Travel, venue hire and exhibition services"
23/07/2018,563.64,Facilities
13/07/2018,577.94,"Travel, venue hire and exhibition services"
09/07/2018,580.05,"Travel, venue hire and exhibition services"
20/07/2018,582.31,Facilities
05/07/2018,583.99,Facilities
06/07/2018,596.22,"Travel, venue hire and exhibition services"
12/07/2018,596.97,IT & Telecoms
27/07/2018,600.00,"Advertising, Marketing & Media"
13/07/2018,600.00,"Travel, venue hire and exhibition services"
02/07/2018,613.99,Facilities
04/07/2018,620.48,"Travel, venue hire and exhibition services"
16/07/2018,652.95,IT & Telecoms
10/07/2018,662.07,"Travel, venue hire and exhibition services"
24/07/2018,665.04,"Travel, venue hire and exhibition services"
26/07/2018,665.05,Human Resources
24/07/2018,665.69,"Travel, venue hire and exhibition services"
24/07/2018,665.69,"Travel, venue hire and exhibition services"
23/07/2018,670.47,"Travel, venue hire and exhibition services"
19/07/2018,674.64,"Travel, venue hire and exhibition services"
02/07/2018,681.56,"Travel, venue hire and exhibition services"
12/07/2018,701.65,"Travel, venue hire and exhibition services"
05/07/2018,705.60,Facilities
18/07/2018,710.99,"Travel, venue hire and exhibition services"
23/07/2018,714.00,"Travel, venue hire and exhibition services"
23/07/2018,718.00,Facilities
04/07/2018,720.00,IT & Telecoms
26/07/2018,727.91,IT & Telecoms
26/07/2018,731.87,IT & Telecoms
18/07/2018,734.41,"Travel, venue hire and exhibition services"
07/07/2018,750.38,"Travel, venue hire and exhibition services"
23/07/2018,756.94,"Travel, venue hire and exhibition services"
25/07/2018,766.74,"Travel, venue hire and exhibition services"
03/07/2018,771.80,"Travel, venue hire and exhibition services"
02/07/2018,774.00,"Travel, venue hire and exhibition services"
23/07/2018,780.48,"Advertising, Marketing & Media"
04/07/2018,786.00,IT & Telecoms
13/07/2018,790.26,"Travel, venue hire and exhibition services"
18/07/2018,792.00,Facilities
04/07/2018,810.00,IT & Telecoms
24/07/2018,816.00,IT & Telecoms
02/07/2018,834.84,"Advertising, Marketing & Media"
02/07/2018,845.40,"Travel, venue hire and exhibition services"
25/07/2018,863.34,"Travel, venue hire and exhibition services"
13/07/2018,884.25,IT & Telecoms
25/07/2018,899.41,"Travel, venue hire and exhibition services"
19/07/2018,901.74,"Travel, venue hire and exhibition services"
01/07/2018,903.89,"Travel, venue hire and exhibition services"
09/07/2018,907.45,"Travel, venue hire and exhibition services"
27/07/2018,916.09,Facilities
17/07/2018,916.14,"Travel, venue hire and exhibition services"
12/07/2018,932.29,"Travel, venue hire and exhibition services"
05/07/2018,944.40,Facilities
05/07/2018,948.00,IT & Telecoms
23/07/2018,950.00,"Travel, venue hire and exhibition services"
06/07/2018,960.00,"Travel, venue hire and exhibition services"
03/07/2018,"1,000.00",Facilities
31/07/2018,"1,008.00","Travel, venue hire and exhibition services"
15/07/2018,"1,013.13","Travel, venue hire and exhibition services"
13/07/2018,"1,028.34","Advertising, Marketing & Media"
12/07/2018,"1,038.75","Travel, venue hire and exhibition services"
26/07/2018,"1,097.14","Travel, venue hire and exhibition services"
13/07/2018,"1,124.40",Facilities
23/07/2018,"1,130.00","Advertising, Marketing & Media"
04/07/2018,"1,134.00",IT & Telecoms
18/07/2018,"1,201.21","Travel, venue hire and exhibition services"
23/07/2018,"1,218.96",IT & Telecoms
17/07/2018,"1,234.00",Facilities
23/07/2018,"1,328.00",Facilities
31/07/2018,"1,344.00",IT & Telecoms
06/07/2018,"1,441.78","Travel, venue hire and exhibition services"
13/07/2018,"1,507.67",Facilities
02/07/2018,"1,554.00",Human Resources
16/07/2018,"1,863.00",Human Resources
09/07/2018,"1,866.79",Human Resources
13/07/2018,"1,924.72",Facilities
30/07/2018,"1,931.87",IT & Telecoms
12/07/2018,"2,049.01","Travel, venue hire and exhibition services"
07/07/2018,"2,071.71","Travel, venue hire and exhibition services"
20/07/2018,"2,205.00",Facilities
16/07/2018,"2,233.26","Travel, venue hire and exhibition services"
25/07/2018,"2,266.25","Travel, venue hire and exhibition services"
23/07/2018,"2,722.21","Travel, venue hire and exhibition services"
16/07/2018,"4,867.20",Human Resources
23/07/2018,"9,284.81",IT & Telecoms
23/07/2018,"51,408.32",IT & Telecoms
