Sent for Payment Date,Approved Amount (rpt),Category Level 1
19/06/2018,500.00,"Advertising, Marketing & Media"
20/06/2018,502.36,"Travel, venue hire and exhibition services"
01/06/2018,510.21,"Travel, venue hire and exhibition services"
14/06/2018,512.17,Facilities
15/06/2018,525.65,"Travel, venue hire and exhibition services"
11/06/2018,526.28,IT & Telecoms
01/06/2018,526.38,"Travel, venue hire and exhibition services"
28/06/2018,531.36,"Travel, venue hire and exhibition services"
22/06/2018,541.95,"Travel, venue hire and exhibition services"
06/06/2018,542.46,"Advertising, Marketing & Media"
20/06/2018,542.80,"Travel, venue hire and exhibition services"
08/06/2018,545.39,"Travel, venue hire and exhibition services"
04/06/2018,547.00,Human Resources
22/06/2018,549.60,Human Resources
25/06/2018,561.92,"Travel, venue hire and exhibition services"
21/06/2018,565.08,IT & Telecoms
04/06/2018,582.97,IT & Telecoms
13/06/2018,587.02,"Advertising, Marketing & Media"
06/06/2018,591.15,"Advertising, Marketing & Media"
01/06/2018,619.84,"Travel, venue hire and exhibition services"
22/06/2018,636.99,Facilities
21/06/2018,644.40,"Travel, venue hire and exhibition services"
20/06/2018,653.88,"Travel, venue hire and exhibition services"
20/06/2018,654.24,"Travel, venue hire and exhibition services"
22/06/2018,657.93,"Travel, venue hire and exhibition services"
07/06/2018,664.70,"Travel, venue hire and exhibition services"
18/06/2018,677.90,"Travel, venue hire and exhibition services"
01/06/2018,682.58,"Travel, venue hire and exhibition services"
26/06/2018,690.00,"Travel, venue hire and exhibition services"
21/06/2018,697.79,"Travel, venue hire and exhibition services"
22/06/2018,765.10,"Travel, venue hire and exhibition services"
12/06/2018,770.77,"Travel, venue hire and exhibition services"
07/06/2018,785.00,"Advertising, Marketing & Media"
27/06/2018,800.00,"Travel, venue hire and exhibition services"
06/06/2018,809.18,"Travel, venue hire and exhibition services"
05/06/2018,840.00,"Travel, venue hire and exhibition services"
27/06/2018,840.00,"Travel, venue hire and exhibition services"
27/06/2018,841.05,"Travel, venue hire and exhibition services"
29/06/2018,843.30,Facilities
20/06/2018,849.76,"Travel, venue hire and exhibition services"
28/06/2018,896.18,"Travel, venue hire and exhibition services"
11/06/2018,900.00,IT & Telecoms
13/06/2018,904.39,"Travel, venue hire and exhibition services"
19/06/2018,914.64,Facilities
21/06/2018,920.09,"Travel, venue hire and exhibition services"
04/06/2018,950.00,"Travel, venue hire and exhibition services"
29/06/2018,959.16,"Travel, venue hire and exhibition services"
08/06/2018,968.39,"Travel, venue hire and exhibition services"
04/06/2018,988.00,Facilities
06/06/2018,"1,000.00","Advertising, Marketing & Media"
13/06/2018,"1,010.36","Advertising, Marketing & Media"
29/06/2018,"1,014.24",Facilities
19/06/2018,"1,061.23","Travel, venue hire and exhibition services"
01/06/2018,"1,083.08",Facilities
21/06/2018,"1,086.00","Travel, venue hire and exhibition services"
27/06/2018,"1,095.30","Travel, venue hire and exhibition services"
05/06/2018,"1,105.48","Travel, venue hire and exhibition services"
21/06/2018,"1,125.17","Travel, venue hire and exhibition services"
19/06/2018,"1,198.80","Travel, venue hire and exhibition services"
21/06/2018,"1,200.00","Travel, venue hire and exhibition services"
08/06/2018,"1,213.76",IT & Telecoms
07/06/2018,"1,217.75","Travel, venue hire and exhibition services"
05/06/2018,"1,322.94","Travel, venue hire and exhibition services"
01/06/2018,"1,334.27","Travel, venue hire and exhibition services"
04/06/2018,"1,344.00",IT & Telecoms
04/06/2018,"1,358.85","Travel, venue hire and exhibition services"
27/06/2018,"1,380.06","Travel, venue hire and exhibition services"
05/06/2018,"1,401.35","Travel, venue hire and exhibition services"
05/06/2018,"1,502.12","Travel, venue hire and exhibition services"
11/06/2018,"1,508.00","Advertising, Marketing & Media"
18/06/2018,"1,694.81","Travel, venue hire and exhibition services"
28/06/2018,"1,768.34","Travel, venue hire and exhibition services"
06/06/2018,"1,805.73","Advertising, Marketing & Media"
18/06/2018,"2,032.78","Travel, venue hire and exhibition services"
06/06/2018,"2,046.23","Travel, venue hire and exhibition services"
01/06/2018,"2,074.95","Travel, venue hire and exhibition services"
14/06/2018,"2,099.00",Facilities
04/06/2018,"2,211.12","Travel, venue hire and exhibition services"
04/06/2018,"2,214.63","Travel, venue hire and exhibition services"
21/06/2018,"2,267.84",IT & Telecoms
29/06/2018,"2,449.44","Travel, venue hire and exhibition services"
14/06/2018,"2,476.90",IT & Telecoms
11/06/2018,"2,749.90",IT & Telecoms
14/06/2018,"2,831.57",IT & Telecoms
29/06/2018,"3,570.00","Advertising, Marketing & Media"
28/06/2018,"4,229.72","Travel, venue hire and exhibition services"
07/06/2018,"4,620.91","Travel, venue hire and exhibition services"
08/06/2018,"9,967.08",IT & Telecoms
08/06/2018,"38,335.70",IT & Telecoms
