Sent for Payment Date,Approved Amount (rpt),Category Level 1
27/03/2019,500.00,"Travel, venue hire and exhibition services"
05/03/2019,500.00,IT & Telecoms
05/03/2019,500.00,IT & Telecoms
05/03/2019,500.00,IT & Telecoms
05/03/2019,500.00,IT & Telecoms
05/03/2019,500.00,IT & Telecoms
29/03/2019,500.00,IT & Telecoms
29/03/2019,500.00,IT & Telecoms
29/03/2019,500.00,IT & Telecoms
29/03/2019,500.23,"Travel, venue hire and exhibition services"
21/03/2019,501.86,"Travel, venue hire and exhibition services"
13/03/2019,503.00,"Travel, venue hire and exhibition services"
26/03/2019,504.14,"Travel, venue hire and exhibition services"
01/03/2019,504.75,"Travel, venue hire and exhibition services"
25/03/2019,505.10,Facilities
27/03/2019,506.28,"Advertising, Marketing & Media"
21/03/2019,506.63,"Travel, venue hire and exhibition services"
27/03/2019,507.28,"Travel, venue hire and exhibition services"
13/03/2019,507.40,"Travel, venue hire and exhibition services"
14/03/2019,508.14,Facilities
17/03/2019,510.12,"Travel, venue hire and exhibition services"
18/03/2019,511.64,"Advertising, Marketing & Media"
28/03/2019,512.82,"Travel, venue hire and exhibition services"
04/03/2019,514.61,"Travel, venue hire and exhibition services"
06/03/2019,515.00,Human Resources
05/03/2019,517.29,"Travel, venue hire and exhibition services"
27/03/2019,518.32,"Advertising, Marketing & Media"
20/03/2019,518.45,"Travel, venue hire and exhibition services"
16/03/2019,519.00,"Advertising, Marketing & Media"
27/03/2019,521.99,"Advertising, Marketing & Media"
06/03/2019,522.00,Human Resources
23/03/2019,523.02,Human Resources
21/03/2019,523.06,"Travel, venue hire and exhibition services"
30/03/2019,529.31,"Travel, venue hire and exhibition services"
27/03/2019,531.43,"Travel, venue hire and exhibition services"
22/03/2019,533.93,"Travel, venue hire and exhibition services"
13/03/2019,535.00,"Travel, venue hire and exhibition services"
27/03/2019,535.19,"Travel, venue hire and exhibition services"
19/03/2019,536.75,Human Resources
27/03/2019,537.00,IT & Telecoms
27/03/2019,542.17,"Travel, venue hire and exhibition services"
31/03/2019,544.78,"Travel, venue hire and exhibition services"
30/03/2019,545.21,"Travel, venue hire and exhibition services"
25/03/2019,548.00,Human Resources
21/03/2019,548.93,"Advertising, Marketing & Media"
05/03/2019,550.00,"Travel, venue hire and exhibition services"
26/03/2019,551.94,"Travel, venue hire and exhibition services"
28/03/2019,552.00,Human Resources
18/03/2019,553.90,"Travel, venue hire and exhibition services"
27/03/2019,554.07,Human Resources
27/03/2019,561.08,"Travel, venue hire and exhibition services"
14/03/2019,567.00,Human Resources
29/03/2019,568.04,"Advertising, Marketing & Media"
25/03/2019,568.99,Professional Services
23/03/2019,569.87,"Travel, venue hire and exhibition services"
25/03/2019,569.97,Human Resources
31/03/2019,571.61,"Travel, venue hire and exhibition services"
29/03/2019,572.96,"Travel, venue hire and exhibition services"
08/03/2019,573.33,"Travel, venue hire and exhibition services"
27/03/2019,575.00,Human Resources
28/03/2019,578.56,"Travel, venue hire and exhibition services"
24/03/2019,580.00,"Travel, venue hire and exhibition services"
08/03/2019,582.32,"Travel, venue hire and exhibition services"
25/03/2019,584.67,"Advertising, Marketing & Media"
04/03/2019,586.50,Facilities
27/03/2019,594.00,Human Resources
25/03/2019,595.60,"Advertising, Marketing & Media"
08/03/2019,596.06,"Travel, venue hire and exhibition services"
26/03/2019,597.70,Facilities
19/03/2019,598.80,IT & Telecoms
04/03/2019,599.30,"Travel, venue hire and exhibition services"
19/03/2019,599.50,IT & Telecoms
27/03/2019,599.99,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
27/03/2019,600.00,Facilities
06/03/2019,600.00,"Advertising, Marketing & Media"
07/03/2019,600.00,"Advertising, Marketing & Media"
05/03/2019,601.03,"Advertising, Marketing & Media"
05/03/2019,602.58,"Travel, venue hire and exhibition services"
28/03/2019,603.28,"Travel, venue hire and exhibition services"
05/03/2019,604.39,"Advertising, Marketing & Media"
06/03/2019,604.82,"Travel, venue hire and exhibition services"
29/03/2019,605.84,"Travel, venue hire and exhibition services"
13/03/2019,606.84,Human Resources
21/03/2019,608.43,"Advertising, Marketing & Media"
27/03/2019,608.53,"Travel, venue hire and exhibition services"
07/03/2019,608.98,Professional Services
04/03/2019,610.81,"Travel, venue hire and exhibition services"
28/03/2019,611.11,"Travel, venue hire and exhibition services"
21/03/2019,612.00,Human Resources
28/03/2019,612.02,"Travel, venue hire and exhibition services"
13/03/2019,614.32,"Travel, venue hire and exhibition services"
28/03/2019,615.00,"Travel, venue hire and exhibition services"
13/03/2019,616.88,"Travel, venue hire and exhibition services"
26/03/2019,620.17,IT & Telecoms
05/03/2019,621.00,"Travel, venue hire and exhibition services"
21/03/2019,622.59,Facilities
29/03/2019,623.42,"Travel, venue hire and exhibition services"
06/03/2019,632.08,IT & Telecoms
04/03/2019,632.32,"Travel, venue hire and exhibition services"
22/03/2019,635.02,"Travel, venue hire and exhibition services"
25/03/2019,639.35,Facilities
28/03/2019,639.81,"Travel, venue hire and exhibition services"
27/03/2019,640.27,"Advertising, Marketing & Media"
28/03/2019,644.66,"Advertising, Marketing & Media"
18/03/2019,645.32,"Travel, venue hire and exhibition services"
23/03/2019,645.51,Facilities
27/03/2019,648.00,IT & Telecoms
14/03/2019,652.80,Human Resources
31/03/2019,654.64,"Travel, venue hire and exhibition services"
04/03/2019,660.00,"Travel, venue hire and exhibition services"
27/03/2019,660.16,"Travel, venue hire and exhibition services"
28/03/2019,663.00,Human Resources
07/03/2019,668.81,"Travel, venue hire and exhibition services"
27/03/2019,670.31,"Travel, venue hire and exhibition services"
07/03/2019,673.22,"Travel, venue hire and exhibition services"
30/03/2019,673.26,Facilities
27/03/2019,676.36,"Travel, venue hire and exhibition services"
15/03/2019,676.79,"Travel, venue hire and exhibition services"
14/03/2019,681.00,Human Resources
04/03/2019,684.00,"Advertising, Marketing & Media"
21/03/2019,684.12,Human Resources
07/03/2019,688.21,IT & Telecoms
21/03/2019,689.87,"Travel, venue hire and exhibition services"
