Sent for Payment Date,Approved Amount (rpt),Category Level 1
29/05/2019,500.82,Facilities
08/05/2019,501.68,Facilities
08/05/2019,503.79,Facilities
27/05/2019,505.55,Facilities
02/05/2019,505.58,"Travel, venue hire and exhibition services"
22/05/2019,508.83,"Travel, venue hire and exhibition services"
22/05/2019,510.81,"Advertising, Marketing & Media"
30/05/2019,512.86,Human Resources
22/05/2019,514.87,"Travel, venue hire and exhibition services"
28/05/2019,516.04,"Travel, venue hire and exhibition services"
22/05/2019,516.10,"Travel, venue hire and exhibition services"
29/05/2019,518.54,"Travel, venue hire and exhibition services"
07/05/2019,521.75,"Travel, venue hire and exhibition services"
22/05/2019,522.48,"Travel, venue hire and exhibition services"
02/05/2019,524.10,"Travel, venue hire and exhibition services"
21/05/2019,527.80,"Advertising, Marketing & Media"
26/05/2019,535.72,"Travel, venue hire and exhibition services"
09/05/2019,548.90,"Advertising, Marketing & Media"
23/05/2019,565.75,"Advertising, Marketing & Media"
31/05/2019,568.27,Facilities
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
23/05/2019,575.28,"Travel, venue hire and exhibition services"
22/05/2019,594.76,"Travel, venue hire and exhibition services"
15/05/2019,598.65,"Travel, venue hire and exhibition services"
14/05/2019,600.00,IT & Telecoms
14/05/2019,600.00,IT & Telecoms
03/05/2019,600.00,Facilities
03/05/2019,600.00,Facilities
03/05/2019,600.00,Facilities
03/05/2019,600.00,Facilities
29/05/2019,600.00,Facilities
29/05/2019,600.00,Facilities
09/05/2019,600.00,"Advertising, Marketing & Media"
09/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
12/05/2019,600.00,"Advertising, Marketing & Media"
07/05/2019,607.51,Facilities
21/05/2019,609.50,"Travel, venue hire and exhibition services"
06/05/2019,615.95,"Travel, venue hire and exhibition services"
02/05/2019,626.42,"Travel, venue hire and exhibition services"
30/05/2019,626.90,"Travel, venue hire and exhibition services"
22/05/2019,634.14,"Advertising, Marketing & Media"
10/05/2019,642.04,"Travel, venue hire and exhibition services"
24/05/2019,648.00,Human Resources
30/05/2019,655.66,"Advertising, Marketing & Media"
30/05/2019,659.65,"Advertising, Marketing & Media"
08/05/2019,663.00,"Travel, venue hire and exhibition services"
29/05/2019,665.42,Facilities
27/05/2019,672.00,Human Resources
01/05/2019,673.94,IT & Telecoms
27/05/2019,680.00,Facilities
21/05/2019,683.52,Human Resources
09/05/2019,683.52,Human Resources
01/05/2019,685.05,"Travel, venue hire and exhibition services"
31/05/2019,688.50,"Travel, venue hire and exhibition services"
07/05/2019,690.65,"Travel, venue hire and exhibition services"
22/05/2019,700.00,"Travel, venue hire and exhibition services"
02/05/2019,700.00,IT & Telecoms
09/05/2019,700.00,"Advertising, Marketing & Media"
10/05/2019,700.00,"Advertising, Marketing & Media"
23/05/2019,700.80,Human Resources
01/05/2019,708.00,IT & Telecoms
23/05/2019,714.63,"Travel, venue hire and exhibition services"
22/05/2019,716.16,"Travel, venue hire and exhibition services"
15/05/2019,719.25,Facilities
29/05/2019,726.44,"Advertising, Marketing & Media"
22/05/2019,732.26,"Travel, venue hire and exhibition services"
08/05/2019,740.53,"Travel, venue hire and exhibition services"
11/05/2019,742.12,IT & Telecoms
07/05/2019,779.28,"Travel, venue hire and exhibition services"
22/05/2019,780.10,"Travel, venue hire and exhibition services"
22/05/2019,786.72,"Travel, venue hire and exhibition services"
22/05/2019,786.76,"Travel, venue hire and exhibition services"
17/05/2019,811.52,"Travel, venue hire and exhibition services"
27/05/2019,824.10,Facilities
22/05/2019,829.98,Facilities
22/05/2019,840.00,"Travel, venue hire and exhibition services"
30/05/2019,848.08,Facilities
22/05/2019,864.29,"Travel, venue hire and exhibition services"
28/05/2019,874.60,Facilities
17/05/2019,886.44,"Travel, venue hire and exhibition services"
20/05/2019,887.84,"Travel, venue hire and exhibition services"
20/05/2019,887.86,"Travel, venue hire and exhibition services"
16/05/2019,893.11,Human Resources
23/05/2019,895.42,"Travel, venue hire and exhibition services"
22/05/2019,903.84,"Travel, venue hire and exhibition services"
29/05/2019,918.00,Facilities
28/05/2019,954.34,Human Resources
31/05/2019,957.75,Human Resources
07/05/2019,958.29,"Travel, venue hire and exhibition services"
07/05/2019,960.00,Human Resources
22/05/2019,960.48,"Travel, venue hire and exhibition services"
28/05/2019,965.97,"Travel, venue hire and exhibition services"
30/05/2019,990.00,Human Resources
08/05/2019,"1,011.56",Human Resources
22/05/2019,"1,017.30",Human Resources
24/05/2019,"1,024.85",Human Resources
16/05/2019,"1,044.29","Travel, venue hire and exhibition services"
14/05/2019,"1,055.00","Travel, venue hire and exhibition services"
07/05/2019,"1,086.90",Facilities
21/05/2019,"1,096.96","Travel, venue hire and exhibition services"
29/05/2019,"1,101.60","Travel, venue hire and exhibition services"
08/05/2019,"1,188.00",Human Resources
28/05/2019,"1,193.58","Travel, venue hire and exhibition services"
29/05/2019,"1,194.53","Travel, venue hire and exhibition services"
22/05/2019,"1,200.00",Facilities
22/05/2019,"1,290.56",Human Resources
14/05/2019,"1,294.51",IT & Telecoms
28/05/2019,"1,308.00","Travel, venue hire and exhibition services"
14/05/2019,"1,323.24",Human Resources
14/05/2019,"1,325.52","Advertising, Marketing & Media"
21/05/2019,"1,346.74","Travel, venue hire and exhibition services"
22/05/2019,"1,370.56",Facilities
28/05/2019,"1,409.81","Travel, venue hire and exhibition services"
23/05/2019,"1,445.44",Human Resources
01/05/2019,"1,492.99","Travel, venue hire and exhibition services"
26/05/2019,"1,500.00","Travel, venue hire and exhibition services"
10/05/2019,"1,511.50","Travel, venue hire and exhibition services"
28/05/2019,"1,518.05","Travel, venue hire and exhibition services"
09/05/2019,"1,554.00",Human Resources
27/05/2019,"1,557.02","Travel, venue hire and exhibition services"
22/05/2019,"1,570.16",Human Resources
04/05/2019,"1,591.20","Advertising, Marketing & Media"
29/05/2019,"1,761.06",IT & Telecoms
11/05/2019,"1,810.79",IT & Telecoms
06/05/2019,"1,878.64","Travel, venue hire and exhibition services"
11/05/2019,"1,949.76",IT & Telecoms
29/05/2019,"2,115.44",IT & Telecoms
22/05/2019,"2,134.22",IT & Telecoms
01/05/2019,"2,220.00",Human Resources
04/05/2019,"2,234.40","Advertising, Marketing & Media"
22/05/2019,"2,355.52","Travel, venue hire and exhibition services"
18/05/2019,"2,365.49","Travel, venue hire and exhibition services"
22/05/2019,"2,564.93","Travel, venue hire and exhibition services"
07/05/2019,"2,842.45","Travel, venue hire and exhibition services"
24/05/2019,"2,850.00",Human Resources
28/05/2019,"3,173.75","Travel, venue hire and exhibition services"
