Sent for Payment Date,Approved Amount (rpt),Category Level 1
07/11/2018,500.00,"Travel, venue hire and exhibition services"
13/11/2018,504.47,"Advertising, Marketing & Media"
14/11/2018,504.58,"Travel, venue hire and exhibition services"
02/11/2018,506.29,Facilities
09/11/2018,510.41,"Travel, venue hire and exhibition services"
28/11/2018,511.35,"Travel, venue hire and exhibition services"
05/11/2018,511.67,Facilities
08/11/2018,513.04,"Travel, venue hire and exhibition services"
01/11/2018,524.25,"Travel, venue hire and exhibition services"
05/11/2018,524.68,"Travel, venue hire and exhibition services"
28/11/2018,527.80,"Travel, venue hire and exhibition services"
22/11/2018,529.98,IT & Telecoms
24/11/2018,531.90,"Travel, venue hire and exhibition services"
24/11/2018,534.16,"Travel, venue hire and exhibition services"
22/11/2018,535.79,"Travel, venue hire and exhibition services"
13/11/2018,536.82,Facilities
15/11/2018,547.11,"Travel, venue hire and exhibition services"
09/11/2018,552.00,Facilities
13/11/2018,557.46,"Advertising, Marketing & Media"
25/11/2018,568.45,"Travel, venue hire and exhibition services"
13/11/2018,570.00,"Travel, venue hire and exhibition services"
30/11/2018,573.00,"Travel, venue hire and exhibition services"
05/11/2018,582.44,"Travel, venue hire and exhibition services"
26/11/2018,584.36,"Travel, venue hire and exhibition services"
07/11/2018,584.50,"Travel, venue hire and exhibition services"
05/11/2018,597.47,"Travel, venue hire and exhibition services"
28/11/2018,600.17,"Advertising, Marketing & Media"
22/11/2018,604.41,"Travel, venue hire and exhibition services"
07/11/2018,610.47,"Travel, venue hire and exhibition services"
13/11/2018,620.14,"Travel, venue hire and exhibition services"
28/11/2018,621.97,Human Resources
19/11/2018,631.70,"Travel, venue hire and exhibition services"
06/11/2018,634.52,"Travel, venue hire and exhibition services"
26/11/2018,637.53,"Travel, venue hire and exhibition services"
01/11/2018,644.29,"Travel, venue hire and exhibition services"
01/11/2018,646.34,IT & Telecoms
27/11/2018,658.80,"Travel, venue hire and exhibition services"
27/11/2018,661.47,"Travel, venue hire and exhibition services"
13/11/2018,663.67,"Travel, venue hire and exhibition services"
12/11/2018,666.96,"Travel, venue hire and exhibition services"
05/11/2018,672.45,IT & Telecoms
13/11/2018,694.90,IT & Telecoms
28/11/2018,697.90,Facilities
02/11/2018,698.40,IT & Telecoms
06/11/2018,704.17,"Travel, venue hire and exhibition services"
07/11/2018,708.00,"Travel, venue hire and exhibition services"
07/11/2018,711.75,"Travel, venue hire and exhibition services"
13/11/2018,713.47,"Travel, venue hire and exhibition services"
20/11/2018,714.00,Human Resources
22/11/2018,716.96,IT & Telecoms
26/11/2018,731.61,"Travel, venue hire and exhibition services"
07/11/2018,746.40,"Travel, venue hire and exhibition services"
01/11/2018,747.07,"Travel, venue hire and exhibition services"
25/11/2018,760.00,Human Resources
08/11/2018,767.82,"Travel, venue hire and exhibition services"
06/11/2018,770.52,"Travel, venue hire and exhibition services"
07/11/2018,772.25,"Travel, venue hire and exhibition services"
27/11/2018,776.66,"Travel, venue hire and exhibition services"
27/11/2018,778.10,"Travel, venue hire and exhibition services"
21/11/2018,816.16,"Travel, venue hire and exhibition services"
10/11/2018,822.42,"Travel, venue hire and exhibition services"
19/11/2018,824.99,"Travel, venue hire and exhibition services"
05/11/2018,826.00,"Travel, venue hire and exhibition services"
09/11/2018,849.80,"Travel, venue hire and exhibition services"
26/11/2018,861.33,"Travel, venue hire and exhibition services"
02/11/2018,863.31,"Travel, venue hire and exhibition services"
10/11/2018,866.76,"Travel, venue hire and exhibition services"
28/11/2018,894.35,"Travel, venue hire and exhibition services"
22/11/2018,896.10,Facilities
13/11/2018,900.00,Human Resources
22/11/2018,901.17,"Travel, venue hire and exhibition services"
13/11/2018,904.24,"Travel, venue hire and exhibition services"
01/11/2018,908.52,"Travel, venue hire and exhibition services"
08/11/2018,913.61,"Travel, venue hire and exhibition services"
13/11/2018,924.00,Human Resources
07/11/2018,926.35,"Travel, venue hire and exhibition services"
26/11/2018,931.48,"Travel, venue hire and exhibition services"
10/11/2018,952.71,"Travel, venue hire and exhibition services"
27/11/2018,993.03,"Travel, venue hire and exhibition services"
06/11/2018,996.03,"Travel, venue hire and exhibition services"
12/11/2018,"1,011.66","Travel, venue hire and exhibition services"
25/11/2018,"1,011.69","Travel, venue hire and exhibition services"
29/11/2018,"1,013.49","Travel, venue hire and exhibition services"
07/11/2018,"1,026.98",Human Resources
01/11/2018,"1,030.89","Travel, venue hire and exhibition services"
01/11/2018,"1,125.00","Travel, venue hire and exhibition services"
19/11/2018,"1,175.00","Travel, venue hire and exhibition services"
22/11/2018,"1,212.10",IT & Telecoms
15/11/2018,"1,213.42","Travel, venue hire and exhibition services"
09/11/2018,"1,246.10",Facilities
05/11/2018,"1,250.19","Travel, venue hire and exhibition services"
22/11/2018,"1,312.76","Travel, venue hire and exhibition services"
07/11/2018,"1,319.18","Travel, venue hire and exhibition services"
06/11/2018,"1,321.66","Travel, venue hire and exhibition services"
06/11/2018,"1,336.10","Travel, venue hire and exhibition services"
27/11/2018,"1,372.00","Travel, venue hire and exhibition services"
12/11/2018,"1,427.21",Facilities
13/11/2018,"1,448.45","Travel, venue hire and exhibition services"
07/11/2018,"1,500.00",Human Resources
27/11/2018,"1,506.25",Human Resources
18/11/2018,"1,552.35","Travel, venue hire and exhibition services"
27/11/2018,"1,597.27","Travel, venue hire and exhibition services"
28/11/2018,"1,614.00",Human Resources
05/11/2018,"1,664.00",Human Resources
05/11/2018,"1,735.80","Travel, venue hire and exhibition services"
10/11/2018,"1,771.04","Travel, venue hire and exhibition services"
20/11/2018,"1,786.71","Travel, venue hire and exhibition services"
14/11/2018,"1,840.00",Human Resources
06/11/2018,"1,890.12","Travel, venue hire and exhibition services"
22/11/2018,"2,030.25","Travel, venue hire and exhibition services"
18/11/2018,"2,074.95","Travel, venue hire and exhibition services"
26/11/2018,"2,112.30","Travel, venue hire and exhibition services"
08/11/2018,"2,131.20","Travel, venue hire and exhibition services"
13/11/2018,"2,150.44",Professional Services
28/11/2018,"2,221.82","Travel, venue hire and exhibition services"
18/11/2018,"2,239.93","Travel, venue hire and exhibition services"
06/11/2018,"2,286.95","Travel, venue hire and exhibition services"
06/11/2018,"2,286.95","Travel, venue hire and exhibition services"
22/11/2018,"2,295.00","Travel, venue hire and exhibition services"
13/11/2018,"2,373.14",Human Resources
