Sent for Payment Date,Approved Amount (rpt),Category Level 1
04/10/2018,500.00,"Travel, venue hire and exhibition services"
16/10/2018,500.00,IT & Telecoms
16/10/2018,500.00,IT & Telecoms
23/10/2018,500.28,IT & Telecoms
10/10/2018,500.98,Facilities
09/10/2018,501.31,"Travel, venue hire and exhibition services"
23/10/2018,502.29,"Advertising, Marketing & Media"
23/10/2018,504.51,"Advertising, Marketing & Media"
08/10/2018,505.44,"Travel, venue hire and exhibition services"
19/10/2018,508.53,"Travel, venue hire and exhibition services"
03/10/2018,509.81,"Travel, venue hire and exhibition services"
22/10/2018,524.75,"Travel, venue hire and exhibition services"
30/10/2018,526.61,"Travel, venue hire and exhibition services"
30/10/2018,528.00,Facilities
01/10/2018,543.93,IT & Telecoms
26/10/2018,554.29,"Travel, venue hire and exhibition services"
28/10/2018,566.05,"Travel, venue hire and exhibition services"
23/10/2018,573.93,IT & Telecoms
21/10/2018,577.83,"Travel, venue hire and exhibition services"
30/10/2018,594.00,Human Resources
16/10/2018,594.32,Human Resources
30/10/2018,594.64,"Travel, venue hire and exhibition services"
23/10/2018,599.76,"Travel, venue hire and exhibition services"
12/10/2018,600.00,"Travel, venue hire and exhibition services"
05/10/2018,601.88,"Advertising, Marketing & Media"
31/10/2018,604.89,"Travel, venue hire and exhibition services"
29/10/2018,605.61,"Travel, venue hire and exhibition services"
12/10/2018,611.09,IT & Telecoms
30/10/2018,613.82,"Travel, venue hire and exhibition services"
31/10/2018,616.81,"Travel, venue hire and exhibition services"
08/10/2018,619.87,"Travel, venue hire and exhibition services"
31/10/2018,620.54,"Travel, venue hire and exhibition services"
11/10/2018,622.20,Facilities
16/10/2018,624.77,"Travel, venue hire and exhibition services"
22/10/2018,632.01,"Travel, venue hire and exhibition services"
30/10/2018,633.50,"Travel, venue hire and exhibition services"
14/10/2018,634.91,"Travel, venue hire and exhibition services"
05/10/2018,635.26,"Advertising, Marketing & Media"
10/10/2018,636.00,"Travel, venue hire and exhibition services"
01/10/2018,637.20,"Travel, venue hire and exhibition services"
04/10/2018,641.68,"Travel, venue hire and exhibition services"
04/10/2018,648.84,IT & Telecoms
01/10/2018,650.07,IT & Telecoms
01/10/2018,655.52,IT & Telecoms
22/10/2018,659.53,"Travel, venue hire and exhibition services"
17/10/2018,661.98,"Travel, venue hire and exhibition services"
08/10/2018,672.90,"Travel, venue hire and exhibition services"
04/10/2018,675.00,"Travel, venue hire and exhibition services"
23/10/2018,675.11,IT & Telecoms
23/10/2018,677.98,"Travel, venue hire and exhibition services"
03/10/2018,707.63,"Travel, venue hire and exhibition services"
08/10/2018,718.99,"Travel, venue hire and exhibition services"
12/10/2018,720.23,"Travel, venue hire and exhibition services"
14/10/2018,721.92,Facilities
07/10/2018,722.55,"Travel, venue hire and exhibition services"
07/10/2018,724.18,"Travel, venue hire and exhibition services"
15/10/2018,734.94,"Travel, venue hire and exhibition services"
15/10/2018,735.30,"Travel, venue hire and exhibition services"
26/10/2018,755.83,"Travel, venue hire and exhibition services"
26/10/2018,774.00,Human Resources
12/10/2018,797.58,"Travel, venue hire and exhibition services"
01/10/2018,800.42,"Travel, venue hire and exhibition services"
22/10/2018,803.07,"Travel, venue hire and exhibition services"
02/10/2018,807.12,"Advertising, Marketing & Media"
22/10/2018,810.26,Facilities
01/10/2018,822.18,"Travel, venue hire and exhibition services"
31/10/2018,822.27,"Travel, venue hire and exhibition services"
09/10/2018,830.70,"Travel, venue hire and exhibition services"
31/10/2018,840.00,"Travel, venue hire and exhibition services"
31/10/2018,840.00,"Travel, venue hire and exhibition services"
23/10/2018,849.00,Human Resources
02/10/2018,880.53,"Travel, venue hire and exhibition services"
30/10/2018,909.89,"Travel, venue hire and exhibition services"
31/10/2018,910.00,"Travel, venue hire and exhibition services"
29/10/2018,914.50,"Travel, venue hire and exhibition services"
11/10/2018,920.94,"Travel, venue hire and exhibition services"
05/10/2018,922.50,"Travel, venue hire and exhibition services"
10/10/2018,955.20,Human Resources
14/10/2018,976.17,Facilities
10/10/2018,976.23,IT & Telecoms
25/10/2018,978.78,"Travel, venue hire and exhibition services"
31/10/2018,980.00,"Travel, venue hire and exhibition services"
12/10/2018,980.75,Human Resources
02/10/2018,"1,000.00",Human Resources
30/10/2018,"1,000.00",Facilities
01/10/2018,"1,011.48",Human Resources
23/10/2018,"1,019.16","Travel, venue hire and exhibition services"
29/10/2018,"1,019.39",Human Resources
31/10/2018,"1,022.66",Facilities
31/10/2018,"1,027.20","Travel, venue hire and exhibition services"
03/10/2018,"1,038.32","Travel, venue hire and exhibition services"
23/10/2018,"1,046.48","Advertising, Marketing & Media"
