Sent for Payment Date,Approved Amount (rpt),Category Level 1
27/09/2018,500.00,IT & Telecoms
27/09/2018,500.00,IT & Telecoms
05/09/2018,500.78,"Travel, venue hire and exhibition services"
06/09/2018,501.54,Facilities
19/09/2018,506.84,Facilities
19/09/2018,507.05,Facilities
11/09/2018,515.88,"Travel, venue hire and exhibition services"
18/09/2018,523.33,"Travel, venue hire and exhibition services"
23/09/2018,523.87,"Travel, venue hire and exhibition services"
12/09/2018,534.27,"Travel, venue hire and exhibition services"
11/09/2018,536.77,"Travel, venue hire and exhibition services"
07/09/2018,537.22,Facilities
04/09/2018,542.13,"Travel, venue hire and exhibition services"
11/09/2018,547.82,"Advertising, Marketing & Media"
10/09/2018,550.45,"Travel, venue hire and exhibition services"
12/09/2018,554.29,"Travel, venue hire and exhibition services"
03/09/2018,555.00,"Travel, venue hire and exhibition services"
13/09/2018,559.27,"Travel, venue hire and exhibition services"
21/09/2018,561.48,Facilities
17/09/2018,570.00,"Travel, venue hire and exhibition services"
17/09/2018,570.00,"Travel, venue hire and exhibition services"
28/09/2018,578.85,"Travel, venue hire and exhibition services"
28/09/2018,583.50,"Travel, venue hire and exhibition services"
28/09/2018,583.50,"Travel, venue hire and exhibition services"
28/09/2018,583.50,"Travel, venue hire and exhibition services"
23/09/2018,594.00,IT & Telecoms
23/09/2018,596.33,IT & Telecoms
24/09/2018,600.00,"Advertising, Marketing & Media"
24/09/2018,600.00,"Advertising, Marketing & Media"
24/09/2018,600.00,"Advertising, Marketing & Media"
10/09/2018,600.00,"Travel, venue hire and exhibition services"
27/09/2018,600.00,"Travel, venue hire and exhibition services"
02/09/2018,605.80,"Travel, venue hire and exhibition services"
28/09/2018,607.50,"Travel, venue hire and exhibition services"
20/09/2018,609.22,"Travel, venue hire and exhibition services"
06/09/2018,625.00,"Travel, venue hire and exhibition services"
20/09/2018,633.60,"Travel, venue hire and exhibition services"
17/09/2018,636.00,IT & Telecoms
28/09/2018,638.47,"Travel, venue hire and exhibition services"
11/09/2018,640.73,"Travel, venue hire and exhibition services"
03/09/2018,648.00,"Travel, venue hire and exhibition services"
17/09/2018,664.14,"Travel, venue hire and exhibition services"
10/09/2018,667.01,"Travel, venue hire and exhibition services"
23/09/2018,667.89,"Travel, venue hire and exhibition services"
05/09/2018,669.57,IT & Telecoms
24/09/2018,684.00,Human Resources
14/09/2018,684.22,"Travel, venue hire and exhibition services"
23/09/2018,703.71,"Advertising, Marketing & Media"
24/09/2018,711.08,Facilities
20/09/2018,712.61,"Travel, venue hire and exhibition services"
04/09/2018,712.80,"Advertising, Marketing & Media"
11/09/2018,714.08,"Travel, venue hire and exhibition services"
12/09/2018,714.08,"Travel, venue hire and exhibition services"
20/09/2018,728.84,Facilities
23/09/2018,734.99,IT & Telecoms
13/09/2018,736.44,"Travel, venue hire and exhibition services"
28/09/2018,754.91,"Travel, venue hire and exhibition services"
11/09/2018,765.83,"Travel, venue hire and exhibition services"
17/09/2018,766.80,IT & Telecoms
07/09/2018,767.41,"Travel, venue hire and exhibition services"
27/09/2018,773.28,"Travel, venue hire and exhibition services"
17/09/2018,775.86,"Travel, venue hire and exhibition services"
13/09/2018,780.00,"Travel, venue hire and exhibition services"
21/09/2018,780.00,"Travel, venue hire and exhibition services"
11/09/2018,804.97,"Travel, venue hire and exhibition services"
19/09/2018,832.25,Human Resources
16/09/2018,844.35,"Travel, venue hire and exhibition services"
19/09/2018,856.50,"Travel, venue hire and exhibition services"
04/09/2018,861.90,"Travel, venue hire and exhibition services"
23/09/2018,867.67,IT & Telecoms
07/09/2018,870.06,"Travel, venue hire and exhibition services"
16/09/2018,884.67,"Travel, venue hire and exhibition services"
24/09/2018,885.47,Human Resources
03/09/2018,887.37,"Travel, venue hire and exhibition services"
24/09/2018,897.71,"Travel, venue hire and exhibition services"
04/09/2018,898.12,"Advertising, Marketing & Media"
25/09/2018,900.85,"Travel, venue hire and exhibition services"
10/09/2018,914.95,"Travel, venue hire and exhibition services"
13/09/2018,940.00,Facilities
05/09/2018,971.25,IT & Telecoms
14/09/2018,978.09,"Travel, venue hire and exhibition services"
26/09/2018,978.34,"Travel, venue hire and exhibition services"
04/09/2018,"1,000.00",Facilities
26/09/2018,"1,036.20","Travel, venue hire and exhibition services"
05/09/2018,"1,074.38","Advertising, Marketing & Media"
10/09/2018,"1,123.91","Travel, venue hire and exhibition services"
24/09/2018,"1,134.02","Travel, venue hire and exhibition services"
03/09/2018,"1,209.60","Travel, venue hire and exhibition services"
22/09/2018,"1,212.18","Travel, venue hire and exhibition services"
07/09/2018,"1,229.21",IT & Telecoms
22/09/2018,"1,235.33","Travel, venue hire and exhibition services"
19/09/2018,"1,246.10","Travel, venue hire and exhibition services"
12/09/2018,"1,246.10","Travel, venue hire and exhibition services"
07/09/2018,"1,252.99",Facilities
27/09/2018,"1,260.00",Facilities
06/09/2018,"1,261.92",IT & Telecoms
04/09/2018,"1,308.44","Travel, venue hire and exhibition services"
06/09/2018,"1,374.76","Travel, venue hire and exhibition services"
