Statement date,Gross amount,Category Level 1
02/05/2017,500,"Advertising, Marketing & Media"
02/05/2017,500,"Advertising, Marketing & Media"
02/05/2017,500,"Advertising, Marketing & Media"
02/05/2017,500,"Advertising, Marketing & Media"
02/05/2017,500,"Advertising, Marketing & Media"
02/05/2017,500,Professional Services
02/05/2017,503.27,IT & Telecoms
02/05/2017,506.6,"Advertising, Marketing & Media"
02/05/2017,507.3,Facilities
02/05/2017,509.28,"Advertising, Marketing & Media"
02/05/2017,511.7,"Advertising, Marketing & Media"
02/05/2017,512.11,"Travel, venue hire and exhibition services"
02/05/2017,514.26,"Advertising, Marketing & Media"
02/05/2017,514.93,"Advertising, Marketing & Media"
02/05/2017,517.49,"Advertising, Marketing & Media"
02/05/2017,518.76,"Advertising, Marketing & Media"
02/05/2017,519.21,"Advertising, Marketing & Media"
02/05/2017,519.43,"Advertising, Marketing & Media"
02/05/2017,522.19,"Travel, venue hire and exhibition services"
02/05/2017,524,"Travel, venue hire and exhibition services"
02/05/2017,526.61,"Advertising, Marketing & Media"
02/05/2017,535.68,"Travel, venue hire and exhibition services"
02/05/2017,540,"Travel, venue hire and exhibition services"
02/05/2017,543.68,"Travel, venue hire and exhibition services"
02/05/2017,544.6,Facilities
02/05/2017,547.88,IT & Telecoms
02/05/2017,547.88,"Travel, venue hire and exhibition services"
02/05/2017,548.14,"Travel, venue hire and exhibition services"
02/05/2017,548.95,"Travel, venue hire and exhibition services"
02/05/2017,550,"Travel, venue hire and exhibition services"
02/05/2017,550,"Travel, venue hire and exhibition services"
02/05/2017,551.04,"Travel, venue hire and exhibition services"
02/05/2017,554.16,"Travel, venue hire and exhibition services"
02/05/2017,563.79,"Travel, venue hire and exhibition services"
02/05/2017,571.29,"Advertising, Marketing & Media"
02/05/2017,571.44,"Advertising, Marketing & Media"
02/05/2017,571.67,"Advertising, Marketing & Media"
02/05/2017,573.01,"Travel, venue hire and exhibition services"
02/05/2017,579.32,"Advertising, Marketing & Media"
02/05/2017,588.33,"Advertising, Marketing & Media"
02/05/2017,595.42,"Advertising, Marketing & Media"
02/05/2017,597.83,"Travel, venue hire and exhibition services"
02/05/2017,598.23,"Travel, venue hire and exhibition services"
02/05/2017,598.62,Professional Services
02/05/2017,600,Professional Services
02/05/2017,600,"Travel, venue hire and exhibition services"
02/05/2017,600,"Travel, venue hire and exhibition services"
02/05/2017,600,"Travel, venue hire and exhibition services"
02/05/2017,600,"Travel, venue hire and exhibition services"
02/05/2017,600,"Travel, venue hire and exhibition services"
02/05/2017,600.01,"Advertising, Marketing & Media"
02/05/2017,600.05,"Advertising, Marketing & Media"
02/05/2017,600.08,"Advertising, Marketing & Media"
02/05/2017,600.08,"Advertising, Marketing & Media"
02/05/2017,600.11,"Advertising, Marketing & Media"
02/05/2017,600.14,"Advertising, Marketing & Media"
02/05/2017,600.18,"Advertising, Marketing & Media"
02/05/2017,600.21,"Advertising, Marketing & Media"
02/05/2017,600.45,"Advertising, Marketing & Media"
02/05/2017,600.48,"Advertising, Marketing & Media"
02/05/2017,600.6,"Advertising, Marketing & Media"
