Statement date,Gross Amount,Category Level 1
09.04.2019,500.00,Professional Services
30.04.2019,500.00,"Advertising, Marketing & Media"
16.04.2019,500.00,"Advertising, Marketing & Media"
09.04.2019,500.00,"Advertising, Marketing & Media"
09.04.2019,500.00,"Advertising, Marketing & Media"
09.04.2019,500.00,"Advertising, Marketing & Media"
09.04.2019,500.00,"Advertising, Marketing & Media"
30.04.2019,501.00,"Travel, venue hire and exhibition services"
15.04.2019,501.58,"Travel, venue hire and exhibition services"
30.04.2019,501.66,"Advertising, Marketing & Media"
16.04.2019,505.46,"Advertising, Marketing & Media"
09.04.2019,520.00,"Travel, venue hire and exhibition services"
16.04.2019,520.40,IT & Telecoms
09.04.2019,525.85,"Travel, venue hire and exhibition services"
02.04.2019,528.92,"Advertising, Marketing & Media"
30.04.2019,530.16,"Travel, venue hire and exhibition services"
09.04.2019,537.44,"Travel, venue hire and exhibition services"
15.04.2019,538.12,"Travel, venue hire and exhibition services"
02.04.2019,542.91,"Travel, venue hire and exhibition services"
02.04.2019,559.79,"Travel, venue hire and exhibition services"
18.04.2019,562.52,"Travel, venue hire and exhibition services"
02.04.2019,564.76,"Travel, venue hire and exhibition services"
02.04.2019,565.54,"Travel, venue hire and exhibition services"
02.04.2019,565.54,"Travel, venue hire and exhibition services"
18.04.2019,584.71,"Travel, venue hire and exhibition services"
18.04.2019,584.71,"Travel, venue hire and exhibition services"
30.04.2019,587.01,"Travel, venue hire and exhibition services"
16.04.2019,588.80,"Travel, venue hire and exhibition services"
16.04.2019,588.80,"Travel, venue hire and exhibition services"
02.04.2019,590.43,Professional Services
09.04.2019,599.00,IT & Telecoms
18.04.2019,600.00,"Travel, venue hire and exhibition services"
02.04.2019,600.00,"Travel, venue hire and exhibition services"
30.04.2019,600.00,"Advertising, Marketing & Media"
30.04.2019,600.00,"Advertising, Marketing & Media"
16.04.2019,600.00,"Advertising, Marketing & Media"
16.04.2019,600.00,"Advertising, Marketing & Media"
16.04.2019,600.00,"Advertising, Marketing & Media"
15.04.2019,600.00,"Advertising, Marketing & Media"
02.04.2019,600.00,"Advertising, Marketing & Media"
23.04.2019,618.53,"Travel, venue hire and exhibition services"
30.04.2019,621.46,"Travel, venue hire and exhibition services"
23.04.2019,621.54,"Travel, venue hire and exhibition services"
02.04.2019,626.53,"Travel, venue hire and exhibition services"
30.04.2019,640.79,"Travel, venue hire and exhibition services"
02.04.2019,648.40,Facilities
18.04.2019,649.17,"Travel, venue hire and exhibition services"
16.04.2019,656.20,"Advertising, Marketing & Media"
18.04.2019,665.95,"Advertising, Marketing & Media"
18.04.2019,665.95,"Advertising, Marketing & Media"
23.04.2019,667.67,"Advertising, Marketing & Media"
23.04.2019,683.52,"Travel, venue hire and exhibition services"
09.04.2019,696.31,"Advertising, Marketing & Media"
16.04.2019,699.31,"Advertising, Marketing & Media"
23.04.2019,700.00,"Advertising, Marketing & Media"
23.04.2019,700.00,"Advertising, Marketing & Media"
23.04.2019,708.27,"Travel, venue hire and exhibition services"
02.04.2019,717.64,"Travel, venue hire and exhibition services"
23.04.2019,726.30,"Travel, venue hire and exhibition services"
30.04.2019,732.37,Facilities
30.04.2019,736.64,"Travel, venue hire and exhibition services"
30.04.2019,765.89,"Travel, venue hire and exhibition services"
15.04.2019,772.33,"Travel, venue hire and exhibition services"
16.04.2019,774.67,"Travel, venue hire and exhibition services"
02.04.2019,776.09,Facilities
16.04.2019,785.78,"Travel, venue hire and exhibition services"
16.04.2019,798.26,"Advertising, Marketing & Media"
15.04.2019,807.03,IT & Telecoms
02.04.2019,814.08,"Travel, venue hire and exhibition services"
16.04.2019,822.40,Facilities
02.04.2019,840.17,Professional Services
02.04.2019,844.37,Facilities
16.04.2019,865.01,"Advertising, Marketing & Media"
09.04.2019,877.23,Facilities
02.04.2019,888.85,"Advertising, Marketing & Media"
02.04.2019,888.85,"Advertising, Marketing & Media"
09.04.2019,910.00,"Advertising, Marketing & Media"
02.04.2019,911.07,"Advertising, Marketing & Media"
02.04.2019,956.14,"Travel, venue hire and exhibition services"
18.04.2019,966.88,"Travel, venue hire and exhibition services"
09.04.2019,975.87,"Travel, venue hire and exhibition services"
18.04.2019,998.05,"Travel, venue hire and exhibition services"
15.04.2019,999.99,"Advertising, Marketing & Media"
09.04.2019,"1,017.19","Travel, venue hire and exhibition services"
02.04.2019,"1,026.95","Travel, venue hire and exhibition services"
09.04.2019,"1,030.61","Travel, venue hire and exhibition services"
09.04.2019,"1,046.88","Travel, venue hire and exhibition services"
09.04.2019,"1,046.88","Travel, venue hire and exhibition services"
09.04.2019,"1,046.88","Travel, venue hire and exhibition services"
30.04.2019,"1,056.77","Travel, venue hire and exhibition services"
09.04.2019,"1,068.13","Travel, venue hire and exhibition services"
16.04.2019,"1,130.95",Facilities
30.04.2019,"1,149.00","Travel, venue hire and exhibition services"
18.04.2019,"1,153.88","Travel, venue hire and exhibition services"
16.04.2019,"1,162.23","Travel, venue hire and exhibition services"
02.04.2019,"1,197.47","Travel, venue hire and exhibition services"
16.04.2019,"1,200.00","Travel, venue hire and exhibition services"
30.04.2019,"1,200.00","Advertising, Marketing & Media"
30.04.2019,"1,276.49","Travel, venue hire and exhibition services"
30.04.2019,"1,276.49","Travel, venue hire and exhibition services"
30.04.2019,"1,276.49","Travel, venue hire and exhibition services"
16.04.2019,"1,382.90","Advertising, Marketing & Media"
30.04.2019,"1,396.00","Advertising, Marketing & Media"
09.04.2019,"1,427.97",IT & Telecoms
30.04.2019,"1,461.58","Travel, venue hire and exhibition services"
16.04.2019,"1,546.80","Travel, venue hire and exhibition services"
