Statement date,Gross Amount,Category Level 1
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,500.00,"Advertising, Marketing & Media"
29/08/2018,503.73,"Advertising, Marketing & Media"
29/08/2018,505.04,"Travel, venue hire and exhibition services"
29/08/2018,507.69,"Travel, venue hire and exhibition services"
29/08/2018,520.40,"Advertising, Marketing & Media"
29/08/2018,522.17,"Travel, venue hire and exhibition services"
29/08/2018,522.17,"Travel, venue hire and exhibition services"
29/08/2018,531.28,Facilities
29/08/2018,535.82,"Advertising, Marketing & Media"
29/08/2018,537.74,"Advertising, Marketing & Media"
29/08/2018,538.95,Facilities
29/08/2018,540.46,"Travel, venue hire and exhibition services"
29/08/2018,543.35,"Advertising, Marketing & Media"
29/08/2018,555.00,"Advertising, Marketing & Media"
29/08/2018,555.16,"Advertising, Marketing & Media"
29/08/2018,558.08,"Advertising, Marketing & Media"
29/08/2018,561.00,"Travel, venue hire and exhibition services"
29/08/2018,565.01,"Travel, venue hire and exhibition services"
29/08/2018,565.33,"Advertising, Marketing & Media"
29/08/2018,566.19,Professional Services
29/08/2018,568.97,"Travel, venue hire and exhibition services"
29/08/2018,570.38,"Travel, venue hire and exhibition services"
29/08/2018,570.52,"Advertising, Marketing & Media"
29/08/2018,585.81,"Travel, venue hire and exhibition services"
29/08/2018,588.43,"Advertising, Marketing & Media"
29/08/2018,590.84,"Advertising, Marketing & Media"
29/08/2018,595.27,"Advertising, Marketing & Media"
29/08/2018,599.57,"Travel, venue hire and exhibition services"
29/08/2018,599.57,"Travel, venue hire and exhibition services"
29/08/2018,599.57,"Travel, venue hire and exhibition services"
29/08/2018,600.00,"Travel, venue hire and exhibition services"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.00,"Advertising, Marketing & Media"
29/08/2018,600.28,"Travel, venue hire and exhibition services"
29/08/2018,604.58,"Travel, venue hire and exhibition services"
29/08/2018,608.64,"Advertising, Marketing & Media"
29/08/2018,614.14,"Advertising, Marketing & Media"
29/08/2018,621.19,"Travel, venue hire and exhibition services"
29/08/2018,624.95,"Travel, venue hire and exhibition services"
29/08/2018,625.00,"Travel, venue hire and exhibition services"
29/08/2018,627.01,"Travel, venue hire and exhibition services"
29/08/2018,629.72,"Travel, venue hire and exhibition services"
