Statement date,Gross Amount,Category Level 1
13/12/2018,500.00,"Advertising, Marketing & Media"
20/12/2018,500.00,"Advertising, Marketing & Media"
20/12/2018,500.00,"Advertising, Marketing & Media"
25/12/2018,500.00,"Advertising, Marketing & Media"
25/12/2018,500.00,"Advertising, Marketing & Media"
20/12/2018,504.54,"Travel, venue hire and exhibition services"
18/12/2018,508.83,"Advertising, Marketing & Media"
04/12/2018,509.92,"Travel, venue hire and exhibition services"
04/12/2018,525.00,"Travel, venue hire and exhibition services"
20/12/2018,529.01,"Travel, venue hire and exhibition services"
04/12/2018,539.10,"Advertising, Marketing & Media"
25/12/2018,546.23,"Advertising, Marketing & Media"
04/12/2018,547.32,"Advertising, Marketing & Media"
13/12/2018,547.89,"Advertising, Marketing & Media"
20/12/2018,548.04,"Advertising, Marketing & Media"
04/12/2018,548.32,"Advertising, Marketing & Media"
11/12/2018,548.32,"Advertising, Marketing & Media"
04/12/2018,550.25,"Advertising, Marketing & Media"
04/12/2018,550.25,"Advertising, Marketing & Media"
11/12/2018,550.68,"Advertising, Marketing & Media"
13/12/2018,551.51,"Advertising, Marketing & Media"
18/12/2018,552.62,"Travel, venue hire and exhibition services"
11/12/2018,552.84,"Advertising, Marketing & Media"
11/12/2018,552.84,"Advertising, Marketing & Media"
11/12/2018,552.84,"Advertising, Marketing & Media"
25/12/2018,555.21,"Advertising, Marketing & Media"
25/12/2018,555.21,"Advertising, Marketing & Media"
20/12/2018,555.40,"Advertising, Marketing & Media"
20/12/2018,555.88,"Advertising, Marketing & Media"
20/12/2018,555.88,"Advertising, Marketing & Media"
11/12/2018,556.48,"Advertising, Marketing & Media"
20/12/2018,558.17,"Travel, venue hire and exhibition services"
25/12/2018,558.18,"Advertising, Marketing & Media"
18/12/2018,559.30,"Advertising, Marketing & Media"
18/12/2018,559.30,"Advertising, Marketing & Media"
04/12/2018,566.64,"Travel, venue hire and exhibition services"
13/12/2018,571.19,"Travel, venue hire and exhibition services"
04/12/2018,580.87,"Travel, venue hire and exhibition services"
18/12/2018,584.32,"Travel, venue hire and exhibition services"
04/12/2018,584.84,"Advertising, Marketing & Media"
20/12/2018,587.29,Professional Services
11/12/2018,589.50,"Advertising, Marketing & Media"
04/12/2018,592.00,"Travel, venue hire and exhibition services"
25/12/2018,593.23,"Advertising, Marketing & Media"
18/12/2018,600.00,"Travel, venue hire and exhibition services"
25/12/2018,600.00,Professional Services
04/12/2018,600.00,"Advertising, Marketing & Media"
13/12/2018,600.00,"Advertising, Marketing & Media"
20/12/2018,600.00,"Advertising, Marketing & Media"
25/12/2018,600.00,"Advertising, Marketing & Media"
13/12/2018,603.52,"Travel, venue hire and exhibition services"
13/12/2018,603.52,"Travel, venue hire and exhibition services"
11/12/2018,605.39,"Advertising, Marketing & Media"
20/12/2018,608.83,"Travel, venue hire and exhibition services"
25/12/2018,638.31,"Travel, venue hire and exhibition services"
25/12/2018,639.99,"Travel, venue hire and exhibition services"
11/12/2018,643.23,"Travel, venue hire and exhibition services"
18/12/2018,643.50,"Travel, venue hire and exhibition services"
11/12/2018,645.00,"Travel, venue hire and exhibition services"
25/12/2018,651.18,Professional Services
11/12/2018,654.00,Facilities
25/12/2018,655.01,"Advertising, Marketing & Media"
18/12/2018,655.36,"Travel, venue hire and exhibition services"
25/12/2018,658.80,Professional Services
11/12/2018,675.00,"Travel, venue hire and exhibition services"
04/12/2018,692.72,"Travel, venue hire and exhibition services"
25/12/2018,696.06,"Travel, venue hire and exhibition services"
11/12/2018,702.12,"Travel, venue hire and exhibition services"
11/12/2018,709.49,"Travel, venue hire and exhibition services"
25/12/2018,715.43,"Travel, venue hire and exhibition services"
18/12/2018,716.93,"Travel, venue hire and exhibition services"
18/12/2018,732.64,"Travel, venue hire and exhibition services"
13/12/2018,733.58,"Travel, venue hire and exhibition services"
20/12/2018,740.52,Facilities
04/12/2018,750.00,"Travel, venue hire and exhibition services"
25/12/2018,758.73,"Travel, venue hire and exhibition services"
11/12/2018,776.44,"Travel, venue hire and exhibition services"
25/12/2018,801.33,Professional Services
11/12/2018,804.15,"Travel, venue hire and exhibition services"
04/12/2018,807.88,IT & Telecoms
04/12/2018,814.12,"Travel, venue hire and exhibition services"
04/12/2018,827.34,"Travel, venue hire and exhibition services"
11/12/2018,828.23,"Travel, venue hire and exhibition services"
20/12/2018,832.90,Facilities
04/12/2018,851.30,"Travel, venue hire and exhibition services"
18/12/2018,858.99,Facilities
11/12/2018,864.67,"Travel, venue hire and exhibition services"
20/12/2018,868.02,"Travel, venue hire and exhibition services"
25/12/2018,870.35,IT & Telecoms
04/12/2018,886.64,Facilities
04/12/2018,900.00,"Travel, venue hire and exhibition services"
25/12/2018,930.44,"Travel, venue hire and exhibition services"
20/12/2018,951.74,"Travel, venue hire and exhibition services"
20/12/2018,976.50,"Travel, venue hire and exhibition services"
11/12/2018,"1,000.00","Advertising, Marketing & Media"
13/12/2018,"1,000.00","Advertising, Marketing & Media"
25/12/2018,"1,000.00","Advertising, Marketing & Media"
25/12/2018,"1,000.00","Advertising, Marketing & Media"
20/12/2018,"1,004.00","Travel, venue hire and exhibition services"
04/12/2018,"1,008.99",Facilities
11/12/2018,"1,022.46","Travel, venue hire and exhibition services"
18/12/2018,"1,029.69","Travel, venue hire and exhibition services"
20/12/2018,"1,047.89","Travel, venue hire and exhibition services"
25/12/2018,"1,048.72",Facilities
04/12/2018,"1,049.13",Facilities
20/12/2018,"1,063.80","Travel, venue hire and exhibition services"
04/12/2018,"1,076.79",IT & Telecoms
04/12/2018,"1,076.79",IT & Telecoms
11/12/2018,"1,094.09","Travel, venue hire and exhibition services"
04/12/2018,"1,104.20","Travel, venue hire and exhibition services"
25/12/2018,"1,104.41","Advertising, Marketing & Media"
25/12/2018,"1,122.52","Advertising, Marketing & Media"
04/12/2018,"1,142.41","Travel, venue hire and exhibition services"
04/12/2018,"1,170.31","Travel, venue hire and exhibition services"
25/12/2018,"1,189.04","Advertising, Marketing & Media"
04/12/2018,"1,210.78","Travel, venue hire and exhibition services"
25/12/2018,"1,246.15","Travel, venue hire and exhibition services"
20/12/2018,"1,256.65",Facilities
20/12/2018,"1,256.65",Facilities
25/12/2018,"1,298.60",Facilities
04/12/2018,"1,380.00","Travel, venue hire and exhibition services"
04/12/2018,"1,420.24",IT & Telecoms
04/12/2018,"1,494.98",IT & Telecoms
11/12/2018,"1,545.51","Travel, venue hire and exhibition services"
11/12/2018,"1,693.30","Travel, venue hire and exhibition services"
25/12/2018,"1,769.00","Advertising, Marketing & Media"
20/12/2018,"1,800.32","Travel, venue hire and exhibition services"
11/12/2018,"2,060.21","Travel, venue hire and exhibition services"
04/12/2018,"2,109.94","Travel, venue hire and exhibition services"
11/12/2018,"2,461.19",IT & Telecoms
04/12/2018,"2,612.45","Travel, venue hire and exhibition services"
11/12/2018,"2,994.00",IT & Telecoms
25/12/2018,"3,985.55","Travel, venue hire and exhibition services"
11/12/2018,"4,784.70","Travel, venue hire and exhibition services"
