Statement date,Gross Amount,Category Level 1
26.02.2019,500.00,"Advertising, Marketing & Media"
19.02.2019,500.00,"Advertising, Marketing & Media"
12.02.2019,500.00,"Advertising, Marketing & Media"
12.02.2019,500.00,"Advertising, Marketing & Media"
05.02.2019,500.00,"Advertising, Marketing & Media"
05.02.2019,500.00,"Advertising, Marketing & Media"
25.02.2019,500.37,"Advertising, Marketing & Media"
25.02.2019,502.54,"Travel, venue hire and exhibition services"
26.02.2019,502.78,"Travel, venue hire and exhibition services"
25.02.2019,504.97,"Travel, venue hire and exhibition services"
06.02.2019,510.28,Professional Services
05.02.2019,510.78,Facilities
06.02.2019,513.26,"Travel, venue hire and exhibition services"
19.02.2019,513.57,"Advertising, Marketing & Media"
12.02.2019,514.03,"Travel, venue hire and exhibition services"
26.02.2019,514.60,"Travel, venue hire and exhibition services"
12.02.2019,516.82,"Travel, venue hire and exhibition services"
26.02.2019,521.51,"Travel, venue hire and exhibition services"
06.02.2019,521.92,"Travel, venue hire and exhibition services"
12.02.2019,525.00,Professional Services
12.02.2019,525.82,"Advertising, Marketing & Media"
06.02.2019,525.99,"Advertising, Marketing & Media"
06.02.2019,529.82,"Advertising, Marketing & Media"
25.02.2019,532.11,"Advertising, Marketing & Media"
26.02.2019,536.63,"Advertising, Marketing & Media"
26.02.2019,537.31,"Advertising, Marketing & Media"
05.02.2019,541.29,"Advertising, Marketing & Media"
25.02.2019,544.34,"Travel, venue hire and exhibition services"
25.02.2019,544.63,"Advertising, Marketing & Media"
25.02.2019,544.63,"Advertising, Marketing & Media"
05.02.2019,547.75,"Travel, venue hire and exhibition services"
05.02.2019,552.49,"Travel, venue hire and exhibition services"
25.02.2019,552.53,"Travel, venue hire and exhibition services"
26.02.2019,552.88,"Advertising, Marketing & Media"
06.02.2019,556.37,Facilities
19.02.2019,557.17,IT & Telecoms
06.02.2019,561.47,"Advertising, Marketing & Media"
06.02.2019,564.79,"Advertising, Marketing & Media"
26.02.2019,565.81,Facilities
05.02.2019,567.90,"Travel, venue hire and exhibition services"
05.02.2019,574.00,"Travel, venue hire and exhibition services"
25.02.2019,580.08,"Travel, venue hire and exhibition services"
25.02.2019,582.70,"Travel, venue hire and exhibition services"
26.02.2019,585.18,Facilities
05.02.2019,589.45,"Advertising, Marketing & Media"
12.02.2019,591.00,"Travel, venue hire and exhibition services"
26.02.2019,593.57,"Travel, venue hire and exhibition services"
26.02.2019,596.65,"Travel, venue hire and exhibition services"
25.02.2019,600.00,"Travel, venue hire and exhibition services"
12.02.2019,600.00,"Travel, venue hire and exhibition services"
19.02.2019,600.00,"Advertising, Marketing & Media"
19.02.2019,600.00,"Advertising, Marketing & Media"
19.02.2019,600.00,"Advertising, Marketing & Media"
19.02.2019,600.00,"Advertising, Marketing & Media"
12.02.2019,600.00,"Advertising, Marketing & Media"
05.02.2019,600.00,"Advertising, Marketing & Media"
05.02.2019,600.00,"Advertising, Marketing & Media"
05.02.2019,600.00,"Advertising, Marketing & Media"
19.02.2019,602.88,"Advertising, Marketing & Media"
05.02.2019,612.34,"Travel, venue hire and exhibition services"
19.02.2019,614.47,"Advertising, Marketing & Media"
19.02.2019,615.03,"Advertising, Marketing & Media"
25.02.2019,615.74,"Travel, venue hire and exhibition services"
26.02.2019,624.88,Facilities
25.02.2019,634.21,"Travel, venue hire and exhibition services"
19.02.2019,639.21,Facilities
05.02.2019,645.30,"Travel, venue hire and exhibition services"
19.02.2019,651.07,"Advertising, Marketing & Media"
19.02.2019,666.68,"Travel, venue hire and exhibition services"
27.02.2019,672.74,"Advertising, Marketing & Media"
27.02.2019,672.74,"Advertising, Marketing & Media"
06.02.2019,674.08,"Travel, venue hire and exhibition services"
05.02.2019,674.89,"Advertising, Marketing & Media"
26.02.2019,674.93,"Travel, venue hire and exhibition services"
19.02.2019,675.69,"Advertising, Marketing & Media"
19.02.2019,675.69,"Advertising, Marketing & Media"
06.02.2019,675.72,"Advertising, Marketing & Media"
06.02.2019,675.72,"Advertising, Marketing & Media"
12.02.2019,676.34,"Advertising, Marketing & Media"
12.02.2019,677.43,IT & Telecoms
25.02.2019,677.52,"Advertising, Marketing & Media"
06.02.2019,677.84,"Advertising, Marketing & Media"
25.02.2019,677.93,"Advertising, Marketing & Media"
12.02.2019,680.03,"Advertising, Marketing & Media"
12.02.2019,683.52,Professional Services
12.02.2019,683.52,Professional Services
12.02.2019,683.52,Professional Services
12.02.2019,683.52,Professional Services
12.02.2019,683.52,Professional Services
12.02.2019,683.52,Professional Services
26.02.2019,695.35,"Travel, venue hire and exhibition services"
26.02.2019,700.00,"Advertising, Marketing & Media"
26.02.2019,700.00,"Advertising, Marketing & Media"
26.02.2019,700.00,"Advertising, Marketing & Media"
26.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
25.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
19.02.2019,700.00,"Advertising, Marketing & Media"
12.02.2019,700.00,"Advertising, Marketing & Media"
12.02.2019,700.00,"Advertising, Marketing & Media"
12.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
06.02.2019,700.00,"Advertising, Marketing & Media"
06.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.00,"Advertising, Marketing & Media"
05.02.2019,700.34,"Advertising, Marketing & Media"
05.02.2019,706.73,"Advertising, Marketing & Media"
12.02.2019,711.66,"Advertising, Marketing & Media"
25.02.2019,719.44,"Travel, venue hire and exhibition services"
05.02.2019,731.85,"Travel, venue hire and exhibition services"
19.02.2019,743.30,IT & Telecoms
26.02.2019,753.79,"Advertising, Marketing & Media"
26.02.2019,757.07,"Advertising, Marketing & Media"
25.02.2019,758.14,"Travel, venue hire and exhibition services"
26.02.2019,768.06,"Travel, venue hire and exhibition services"
12.02.2019,770.46,"Travel, venue hire and exhibition services"
06.02.2019,776.91,"Travel, venue hire and exhibition services"
27.02.2019,782.22,"Travel, venue hire and exhibition services"
26.02.2019,789.75,IT & Telecoms
06.02.2019,790.16,"Travel, venue hire and exhibition services"
06.02.2019,796.37,"Travel, venue hire and exhibition services"
25.02.2019,796.67,"Travel, venue hire and exhibition services"
05.02.2019,799.00,Facilities
25.02.2019,799.08,"Travel, venue hire and exhibition services"
05.02.2019,805.50,"Travel, venue hire and exhibition services"
12.02.2019,810.00,"Travel, venue hire and exhibition services"
06.02.2019,817.60,"Travel, venue hire and exhibition services"
19.02.2019,819.84,"Travel, venue hire and exhibition services"
26.02.2019,823.69,"Travel, venue hire and exhibition services"
06.02.2019,826.28,"Travel, venue hire and exhibition services"
06.02.2019,828.39,"Travel, venue hire and exhibition services"
05.02.2019,864.00,"Travel, venue hire and exhibition services"
12.02.2019,877.91,"Travel, venue hire and exhibition services"
26.02.2019,881.61,Facilities
05.02.2019,890.91,"Travel, venue hire and exhibition services"
06.02.2019,893.75,"Travel, venue hire and exhibition services"
26.02.2019,896.05,"Travel, venue hire and exhibition services"
25.02.2019,900.00,"Travel, venue hire and exhibition services"
06.02.2019,900.00,"Travel, venue hire and exhibition services"
19.02.2019,903.19,"Travel, venue hire and exhibition services"
19.02.2019,919.50,"Travel, venue hire and exhibition services"
