Statement date,Gross Amount,Category Level 1
30.01.2019,500.00,"Advertising, Marketing & Media"
30.01.2019,500.00,"Advertising, Marketing & Media"
24.01.2019,500.00,"Advertising, Marketing & Media"
22.01.2019,500.00,"Advertising, Marketing & Media"
08.01.2019,500.00,"Advertising, Marketing & Media"
07.01.2019,500.80,"Advertising, Marketing & Media"
07.01.2019,504.00,Facilities
16.01.2019,509.69,"Travel, venue hire and exhibition services"
15.01.2019,515.20,"Travel, venue hire and exhibition services"
24.01.2019,516.10,"Travel, venue hire and exhibition services"
16.01.2019,519.03,"Advertising, Marketing & Media"
24.01.2019,524.52,"Travel, venue hire and exhibition services"
24.01.2019,525.46,"Travel, venue hire and exhibition services"
16.01.2019,527.05,"Advertising, Marketing & Media"
29.01.2019,531.16,"Travel, venue hire and exhibition services"
24.01.2019,532.91,"Travel, venue hire and exhibition services"
29.01.2019,535.31,"Advertising, Marketing & Media"
30.01.2019,535.31,"Advertising, Marketing & Media"
30.01.2019,535.31,"Advertising, Marketing & Media"
30.01.2019,538.22,"Advertising, Marketing & Media"
22.01.2019,541.10,"Travel, venue hire and exhibition services"
29.01.2019,541.45,"Advertising, Marketing & Media"
01.01.2019,543.34,"Advertising, Marketing & Media"
24.01.2019,545.04,"Advertising, Marketing & Media"
24.01.2019,545.04,"Advertising, Marketing & Media"
24.01.2019,545.04,"Advertising, Marketing & Media"
30.01.2019,546.43,"Advertising, Marketing & Media"
30.01.2019,546.43,"Advertising, Marketing & Media"
08.01.2019,547.01,"Advertising, Marketing & Media"
29.01.2019,547.82,"Advertising, Marketing & Media"
24.01.2019,548.13,"Advertising, Marketing & Media"
24.01.2019,548.13,"Advertising, Marketing & Media"
24.01.2019,551.33,"Advertising, Marketing & Media"
22.01.2019,551.94,"Advertising, Marketing & Media"
15.01.2019,553.79,"Travel, venue hire and exhibition services"
01.01.2019,556.52,"Advertising, Marketing & Media"
01.01.2019,556.52,"Advertising, Marketing & Media"
08.01.2019,556.82,"Advertising, Marketing & Media"
08.01.2019,556.82,"Advertising, Marketing & Media"
15.01.2019,557.51,"Advertising, Marketing & Media"
07.01.2019,558.27,"Advertising, Marketing & Media"
15.01.2019,558.60,"Advertising, Marketing & Media"
01.01.2019,558.62,"Advertising, Marketing & Media"
01.01.2019,558.66,"Advertising, Marketing & Media"
01.01.2019,558.66,"Advertising, Marketing & Media"
15.01.2019,558.73,"Advertising, Marketing & Media"
15.01.2019,558.73,"Advertising, Marketing & Media"
15.01.2019,558.73,"Advertising, Marketing & Media"
16.01.2019,559.32,"Advertising, Marketing & Media"
16.01.2019,579.03,"Advertising, Marketing & Media"
24.01.2019,580.46,"Travel, venue hire and exhibition services"
15.01.2019,580.64,"Travel, venue hire and exhibition services"
24.01.2019,587.84,"Travel, venue hire and exhibition services"
29.01.2019,587.86,Facilities
16.01.2019,595.38,"Travel, venue hire and exhibition services"
30.01.2019,600.00,"Travel, venue hire and exhibition services"
29.01.2019,600.00,"Advertising, Marketing & Media"
29.01.2019,600.00,"Advertising, Marketing & Media"
30.01.2019,600.00,"Advertising, Marketing & Media"
30.01.2019,600.00,"Advertising, Marketing & Media"
30.01.2019,600.00,"Advertising, Marketing & Media"
24.01.2019,600.00,"Advertising, Marketing & Media"
22.01.2019,600.00,"Advertising, Marketing & Media"
24.01.2019,600.00,"Advertising, Marketing & Media"
24.01.2019,600.00,"Advertising, Marketing & Media"
16.01.2019,600.00,"Advertising, Marketing & Media"
16.01.2019,600.00,"Advertising, Marketing & Media"
15.01.2019,600.00,"Advertising, Marketing & Media"
01.01.2019,600.00,"Advertising, Marketing & Media"
01.01.2019,600.00,"Advertising, Marketing & Media"
01.01.2019,600.00,"Advertising, Marketing & Media"
24.01.2019,600.55,"Advertising, Marketing & Media"
24.01.2019,601.11,"Travel, venue hire and exhibition services"
22.01.2019,602.98,"Travel, venue hire and exhibition services"
24.01.2019,603.76,"Travel, venue hire and exhibition services"
24.01.2019,603.91,"Travel, venue hire and exhibition services"
