Statement date,Gross Amount,Category Level 1
31/07/2017,500.00,"Advertising, Marketing & Media"
31/07/2017,500.00,"Advertising, Marketing & Media"
31/07/2017,500.00,"Advertising, Marketing & Media"
31/07/2017,500.00,"Advertising, Marketing & Media"
31/07/2017,501.05,"Travel, venue hire and exhibition services"
31/07/2017,521.85,"Advertising, Marketing & Media"
31/07/2017,526.92,"Travel, venue hire and exhibition services"
31/07/2017,529.38,"Travel, venue hire and exhibition services"
31/07/2017,532.55,"Travel, venue hire and exhibition services"
31/07/2017,549.07,"Advertising, Marketing & Media"
31/07/2017,549.42,"Advertising, Marketing & Media"
31/07/2017,558.00,"Travel, venue hire and exhibition services"
31/07/2017,566.79,"Advertising, Marketing & Media"
31/07/2017,567.30,"Travel, venue hire and exhibition services"
31/07/2017,569.64,"Travel, venue hire and exhibition services"
31/07/2017,570.33,"Travel, venue hire and exhibition services"
31/07/2017,570.95,"Advertising, Marketing & Media"
31/07/2017,571.49,"Advertising, Marketing & Media"
31/07/2017,577.32,"Travel, venue hire and exhibition services"
31/07/2017,578.05,"Travel, venue hire and exhibition services"
31/07/2017,578.52,"Travel, venue hire and exhibition services"
31/07/2017,579.62,"Travel, venue hire and exhibition services"
31/07/2017,581.62,"Advertising, Marketing & Media"
31/07/2017,590.58,"Travel, venue hire and exhibition services"
31/07/2017,591.06,"Travel, venue hire and exhibition services"
31/07/2017,594.07,"Advertising, Marketing & Media"
31/07/2017,597.56,"Advertising, Marketing & Media"
31/07/2017,598.30,"Travel, venue hire and exhibition services"
31/07/2017,598.89,"Advertising, Marketing & Media"
31/07/2017,600.00,"Travel, venue hire and exhibition services"
31/07/2017,600.00,Facilities
31/07/2017,600.00,"Travel, venue hire and exhibition services"
31/07/2017,600.07,"Advertising, Marketing & Media"
31/07/2017,600.08,"Advertising, Marketing & Media"
31/07/2017,600.11,"Advertising, Marketing & Media"
31/07/2017,600.14,"Advertising, Marketing & Media"
31/07/2017,600.16,"Advertising, Marketing & Media"
31/07/2017,600.20,"Advertising, Marketing & Media"
31/07/2017,600.23,"Advertising, Marketing & Media"
