Statement date,Gross Amount,Category Level 1
29/06/2017,500.00,"Advertising, Marketing & Media"
29/06/2017,500.00,"Advertising, Marketing & Media"
29/06/2017,500.00,"Advertising, Marketing & Media"
29/06/2017,500.27,IT & Telecoms
29/06/2017,503.21,"Advertising, Marketing & Media"
29/06/2017,504.95,"Travel, venue hire and exhibition services"
29/06/2017,508.11,Facilities
29/06/2017,512.18,"Travel, venue hire and exhibition services"
29/06/2017,518.14,"Travel, venue hire and exhibition services"
29/06/2017,524.86,"Travel, venue hire and exhibition services"
29/06/2017,526.02,"Advertising, Marketing & Media"
29/06/2017,527.99,"Travel, venue hire and exhibition services"
29/06/2017,528.88,"Advertising, Marketing & Media"
29/06/2017,529.84,"Advertising, Marketing & Media"
29/06/2017,532.27,"Travel, venue hire and exhibition services"
29/06/2017,534.00,"Travel, venue hire and exhibition services"
29/06/2017,534.86,"Travel, venue hire and exhibition services"
29/06/2017,538.30,"Advertising, Marketing & Media"
29/06/2017,538.34,"Advertising, Marketing & Media"
29/06/2017,538.85,"Advertising, Marketing & Media"
29/06/2017,539.22,"Travel, venue hire and exhibition services"
29/06/2017,539.77,"Advertising, Marketing & Media"
29/06/2017,542.35,"Advertising, Marketing & Media"
29/06/2017,545.06,"Travel, venue hire and exhibition services"
29/06/2017,548.66,"Travel, venue hire and exhibition services"
29/06/2017,552.17,"Travel, venue hire and exhibition services"
29/06/2017,564.52,"Travel, venue hire and exhibition services"
29/06/2017,567.85,"Travel, venue hire and exhibition services"
29/06/2017,582.42,"Travel, venue hire and exhibition services"
29/06/2017,583.54,"Advertising, Marketing & Media"
29/06/2017,584.32,"Travel, venue hire and exhibition services"
29/06/2017,592.79,"Advertising, Marketing & Media"
29/06/2017,593.32,"Travel, venue hire and exhibition services"
29/06/2017,600.00,Facilities
29/06/2017,600.00,Facilities
29/06/2017,600.00,Facilities
29/06/2017,600.00,"Advertising, Marketing & Media"
29/06/2017,600.00,Facilities
29/06/2017,600.02,"Advertising, Marketing & Media"
29/06/2017,600.08,"Advertising, Marketing & Media"
29/06/2017,600.09,"Advertising, Marketing & Media"
29/06/2017,600.13,"Advertising, Marketing & Media"
29/06/2017,600.16,"Advertising, Marketing & Media"
29/06/2017,600.22,"Advertising, Marketing & Media"
29/06/2017,600.28,"Advertising, Marketing & Media"
29/06/2017,600.30,"Advertising, Marketing & Media"
29/06/2017,600.45,"Advertising, Marketing & Media"
29/06/2017,600.78,"Advertising, Marketing & Media"
29/06/2017,600.86,"Advertising, Marketing & Media"
29/06/2017,600.87,"Advertising, Marketing & Media"
29/06/2017,600.96,"Advertising, Marketing & Media"
29/06/2017,601.03,"Advertising, Marketing & Media"
29/06/2017,601.20,"Advertising, Marketing & Media"
29/06/2017,601.42,"Advertising, Marketing & Media"
29/06/2017,601.61,"Advertising, Marketing & Media"
29/06/2017,602.84,"Advertising, Marketing & Media"
29/06/2017,603.81,"Travel, venue hire and exhibition services"
29/06/2017,603.81,"Travel, venue hire and exhibition services"
29/06/2017,603.81,"Travel, venue hire and exhibition services"
