Statement date,Gross Amount,Category Level 1
29.03.2019,500.00,"Advertising, Marketing & Media"
28.03.2019,500.00,"Advertising, Marketing & Media"
26.03.2019,500.00,"Advertising, Marketing & Media"
26.03.2019,500.00,"Advertising, Marketing & Media"
19.03.2019,500.00,"Advertising, Marketing & Media"
12.03.2019,500.00,"Advertising, Marketing & Media"
05.03.2019,503.43,"Travel, venue hire and exhibition services"
13.03.2019,503.99,IT & Telecoms
20.03.2019,509.45,"Advertising, Marketing & Media"
12.03.2019,511.26,"Advertising, Marketing & Media"
05.03.2019,513.91,"Travel, venue hire and exhibition services"
05.03.2019,518.10,"Travel, venue hire and exhibition services"
05.03.2019,518.10,"Travel, venue hire and exhibition services"
13.03.2019,519.43,"Travel, venue hire and exhibition services"
12.03.2019,519.52,IT & Telecoms
26.03.2019,524.30,"Advertising, Marketing & Media"
29.03.2019,527.21,"Advertising, Marketing & Media"
26.03.2019,527.67,Facilities
29.03.2019,528.52,"Travel, venue hire and exhibition services"
05.03.2019,528.89,Facilities
26.03.2019,529.94,"Advertising, Marketing & Media"
12.03.2019,531.00,Facilities
28.03.2019,533.16,Facilities
26.03.2019,535.43,"Advertising, Marketing & Media"
19.03.2019,535.94,Facilities
26.03.2019,537.27,Facilities
26.03.2019,539.74,Facilities
26.03.2019,541.12,"Advertising, Marketing & Media"
26.03.2019,543.80,"Travel, venue hire and exhibition services"
26.03.2019,546.52,"Advertising, Marketing & Media"
05.03.2019,551.22,"Travel, venue hire and exhibition services"
12.03.2019,556.10,"Travel, venue hire and exhibition services"
13.03.2019,557.82,"Advertising, Marketing & Media"
13.03.2019,561.99,"Travel, venue hire and exhibition services"
19.03.2019,562.50,"Travel, venue hire and exhibition services"
28.03.2019,563.13,Facilities
05.03.2019,564.95,"Advertising, Marketing & Media"
27.03.2019,568.44,"Advertising, Marketing & Media"
12.03.2019,571.50,IT & Telecoms
19.03.2019,572.89,"Travel, venue hire and exhibition services"
20.03.2019,576.44,"Travel, venue hire and exhibition services"
20.03.2019,577.01,"Advertising, Marketing & Media"
12.03.2019,578.34,"Travel, venue hire and exhibition services"
27.03.2019,579.98,Facilities
05.03.2019,580.00,Professional Services
28.03.2019,585.74,"Advertising, Marketing & Media"
26.03.2019,588.17,"Travel, venue hire and exhibition services"
27.03.2019,591.33,Professional Services
27.03.2019,596.54,"Travel, venue hire and exhibition services"
19.03.2019,600.00,"Travel, venue hire and exhibition services"
20.03.2019,600.00,"Travel, venue hire and exhibition services"
05.03.2019,600.00,"Travel, venue hire and exhibition services"
13.03.2019,600.00,"Travel, venue hire and exhibition services"
05.03.2019,600.00,Professional Services
27.03.2019,600.00,"Advertising, Marketing & Media"
27.03.2019,600.00,"Advertising, Marketing & Media"
