Statement date,Gross amount,Category Level 1
31/05/2017,500.00,"Advertising, Marketing & Media"
31/05/2017,500.00,"Advertising, Marketing & Media"
31/05/2017,500.00,"Advertising, Marketing & Media"
31/05/2017,500.00,"Advertising, Marketing & Media"
31/05/2017,500.26,"Travel, venue hire and exhibition services"
31/05/2017,504.30,"Advertising, Marketing & Media"
31/05/2017,505.64,"Travel, venue hire and exhibition services"
31/05/2017,511.34,"Advertising, Marketing & Media"
31/05/2017,511.46,"Travel, venue hire and exhibition services"
31/05/2017,512.24,"Travel, venue hire and exhibition services"
31/05/2017,513.78,"Advertising, Marketing & Media"
31/05/2017,516.38,"Advertising, Marketing & Media"
31/05/2017,517.17,Facilities
31/05/2017,518.54,"Advertising, Marketing & Media"
31/05/2017,521.26,"Travel, venue hire and exhibition services"
31/05/2017,521.76,"Advertising, Marketing & Media"
31/05/2017,526.51,"Travel, venue hire and exhibition services"
31/05/2017,528.23,"Advertising, Marketing & Media"
31/05/2017,529.04,"Advertising, Marketing & Media"
31/05/2017,529.58,"Travel, venue hire and exhibition services"
31/05/2017,534.11,Facilities
31/05/2017,536.95,"Travel, venue hire and exhibition services"
31/05/2017,539.47,Professional Services
31/05/2017,539.67,"Travel, venue hire and exhibition services"
31/05/2017,548.80,"Travel, venue hire and exhibition services"
31/05/2017,558.60,"Travel, venue hire and exhibition services"
31/05/2017,558.60,"Travel, venue hire and exhibition services"
31/05/2017,558.60,"Travel, venue hire and exhibition services"
31/05/2017,559.54,"Travel, venue hire and exhibition services"
31/05/2017,559.85,"Travel, venue hire and exhibition services"
31/05/2017,561.03,"Travel, venue hire and exhibition services"
31/05/2017,565.42,"Advertising, Marketing & Media"
31/05/2017,567.56,Facilities
31/05/2017,585.14,"Travel, venue hire and exhibition services"
31/05/2017,590.14,"Advertising, Marketing & Media"
31/05/2017,590.58,"Travel, venue hire and exhibition services"
31/05/2017,592.39,"Travel, venue hire and exhibition services"
31/05/2017,598.95,"Travel, venue hire and exhibition services"
31/05/2017,599.05,"Advertising, Marketing & Media"
31/05/2017,599.59,"Travel, venue hire and exhibition services"
31/05/2017,599.82,"Advertising, Marketing & Media"
31/05/2017,600.00,"Travel, venue hire and exhibition services"
31/05/2017,600.00,"Travel, venue hire and exhibition services"
31/05/2017,600.00,"Travel, venue hire and exhibition services"
31/05/2017,600.00,"Travel, venue hire and exhibition services"
31/05/2017,600.02,"Advertising, Marketing & Media"
31/05/2017,600.03,"Advertising, Marketing & Media"
31/05/2017,600.04,"Advertising, Marketing & Media"
31/05/2017,600.04,"Advertising, Marketing & Media"
31/05/2017,600.10,"Advertising, Marketing & Media"
31/05/2017,600.12,"Advertising, Marketing & Media"
31/05/2017,600.12,"Advertising, Marketing & Media"
31/05/2017,600.13,"Advertising, Marketing & Media"
31/05/2017,600.15,"Advertising, Marketing & Media"
31/05/2017,600.30,"Advertising, Marketing & Media"
31/05/2017,600.32,"Advertising, Marketing & Media"
