Statement date,Gross Amount,Category Level 1
31.05.2019,500.00,"Advertising, Marketing & Media"
31.05.2019,500.00,"Advertising, Marketing & Media"
07.05.2019,500.00,"Advertising, Marketing & Media"
07.05.2019,502.65,"Travel, venue hire and exhibition services"
28.05.2019,505.65,"Travel, venue hire and exhibition services"
07.05.2019,506.50,"Travel, venue hire and exhibition services"
14.05.2019,507.80,"Advertising, Marketing & Media"
31.05.2019,507.85,"Travel, venue hire and exhibition services"
07.05.2019,510.00,Professional Services
31.05.2019,510.31,"Travel, venue hire and exhibition services"
31.05.2019,513.07,"Travel, venue hire and exhibition services"
31.05.2019,518.26,"Travel, venue hire and exhibition services"
14.05.2019,519.23,"Travel, venue hire and exhibition services"
07.05.2019,530.48,"Travel, venue hire and exhibition services"
31.05.2019,532.16,"Travel, venue hire and exhibition services"
07.05.2019,532.68,"Advertising, Marketing & Media"
07.05.2019,535.05,"Advertising, Marketing & Media"
31.05.2019,538.80,"Travel, venue hire and exhibition services"
17.05.2019,541.96,"Travel, venue hire and exhibition services"
21.05.2019,544.36,"Travel, venue hire and exhibition services"
31.05.2019,545.02,"Advertising, Marketing & Media"
31.05.2019,545.05,Professional Services
31.05.2019,545.05,"Advertising, Marketing & Media"
31.05.2019,548.15,Professional Services
07.05.2019,549.79,"Travel, venue hire and exhibition services"
31.05.2019,553.33,"Travel, venue hire and exhibition services"
07.05.2019,557.47,Professional Services
07.05.2019,557.48,Professional Services
31.05.2019,565.54,"Travel, venue hire and exhibition services"
31.05.2019,568.17,"Advertising, Marketing & Media"
14.05.2019,570.67,"Travel, venue hire and exhibition services"
31.05.2019,571.70,IT & Telecoms
17.05.2019,571.81,"Travel, venue hire and exhibition services"
14.05.2019,574.42,"Travel, venue hire and exhibition services"
07.05.2019,577.01,"Travel, venue hire and exhibition services"
14.05.2019,577.86,"Advertising, Marketing & Media"
14.05.2019,581.17,"Travel, venue hire and exhibition services"
21.05.2019,582.32,"Travel, venue hire and exhibition services"
21.05.2019,582.32,"Travel, venue hire and exhibition services"
17.05.2019,585.00,Professional Services
07.05.2019,591.20,Facilities
07.05.2019,592.83,"Travel, venue hire and exhibition services"
07.05.2019,592.83,"Travel, venue hire and exhibition services"
17.05.2019,593.77,"Travel, venue hire and exhibition services"
07.05.2019,593.78,"Advertising, Marketing & Media"
31.05.2019,593.94,"Travel, venue hire and exhibition services"
