Statement date,Gross Amount,Category Level 1
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,500.00,"Advertising, Marketing & Media"
29.11.2018,501.79,"Advertising, Marketing & Media"
29.11.2018,502.42,"Advertising, Marketing & Media"
29.11.2018,502.70,Facilities
29.11.2018,502.99,Facilities
29.11.2018,504.67,"Advertising, Marketing & Media"
29.11.2018,506.94,"Travel, venue hire and exhibition services"
29.11.2018,516.25,"Advertising, Marketing & Media"
29.11.2018,516.67,"Travel, venue hire and exhibition services"
29.11.2018,517.52,"Travel, venue hire and exhibition services"
29.11.2018,520.80,"Travel, venue hire and exhibition services"
29.11.2018,521.00,"Travel, venue hire and exhibition services"
29.11.2018,524.34,"Advertising, Marketing & Media"
29.11.2018,524.50,"Travel, venue hire and exhibition services"
29.11.2018,526.35,"Advertising, Marketing & Media"
29.11.2018,527.39,"Advertising, Marketing & Media"
29.11.2018,531.37,"Travel, venue hire and exhibition services"
29.11.2018,531.85,"Travel, venue hire and exhibition services"
29.11.2018,533.74,"Advertising, Marketing & Media"
29.11.2018,536.04,"Travel, venue hire and exhibition services"
29.11.2018,536.27,"Advertising, Marketing & Media"
29.11.2018,536.88,"Advertising, Marketing & Media"
29.11.2018,537.40,"Advertising, Marketing & Media"
29.11.2018,538.99,"Advertising, Marketing & Media"
29.11.2018,541.52,"Advertising, Marketing & Media"
29.11.2018,545.12,"Travel, venue hire and exhibition services"
29.11.2018,546.73,"Advertising, Marketing & Media"
29.11.2018,547.11,"Travel, venue hire and exhibition services"
29.11.2018,548.10,"Advertising, Marketing & Media"
29.11.2018,549.16,"Advertising, Marketing & Media"
29.11.2018,550.21,"Advertising, Marketing & Media"
29.11.2018,566.77,"Travel, venue hire and exhibition services"
29.11.2018,572.15,"Travel, venue hire and exhibition services"
29.11.2018,573.02,"Travel, venue hire and exhibition services"
29.11.2018,573.11,Facilities
29.11.2018,576.02,"Advertising, Marketing & Media"
29.11.2018,582.62,"Travel, venue hire and exhibition services"
29.11.2018,587.00,"Travel, venue hire and exhibition services"
29.11.2018,589.78,"Advertising, Marketing & Media"
29.11.2018,593.75,"Advertising, Marketing & Media"
29.11.2018,597.00,Professional Services
29.11.2018,598.97,"Travel, venue hire and exhibition services"
29.11.2018,600.00,"Travel, venue hire and exhibition services"
29.11.2018,600.00,"Travel, venue hire and exhibition services"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
29.11.2018,600.00,"Advertising, Marketing & Media"
