Statement date,Gross amount,Category Level 1
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,500.00,"Advertising, Marketing & Media"
30.10.2017,504.18,"Travel, venue hire and exhibition services"
30.10.2017,504.56,"Travel, venue hire and exhibition services"
30.10.2017,507.96,Facilities
30.10.2017,512.02,"Travel, venue hire and exhibition services"
30.10.2017,514.80,"Travel, venue hire and exhibition services"
30.10.2017,515.87,Professional Services
30.10.2017,515.87,"Advertising, Marketing & Media"
30.10.2017,517.18,"Travel, venue hire and exhibition services"
30.10.2017,517.30,"Travel, venue hire and exhibition services"
30.10.2017,518.20,"Travel, venue hire and exhibition services"
30.10.2017,520.29,"Advertising, Marketing & Media"
30.10.2017,523.32,Facilities
30.10.2017,526.62,"Travel, venue hire and exhibition services"
30.10.2017,527.39,Professional Services
30.10.2017,528.92,"Advertising, Marketing & Media"
30.10.2017,532.63,"Advertising, Marketing & Media"
30.10.2017,532.94,"Advertising, Marketing & Media"
30.10.2017,535.23,"Advertising, Marketing & Media"
30.10.2017,536.24,"Advertising, Marketing & Media"
30.10.2017,537.63,"Travel, venue hire and exhibition services"
30.10.2017,538.65,"Advertising, Marketing & Media"
30.10.2017,540.59,"Travel, venue hire and exhibition services"
30.10.2017,541.86,"Travel, venue hire and exhibition services"
30.10.2017,542.18,"Advertising, Marketing & Media"
30.10.2017,542.92,Professional Services
30.10.2017,545.01,"Advertising, Marketing & Media"
30.10.2017,546.11,"Advertising, Marketing & Media"
30.10.2017,546.40,"Advertising, Marketing & Media"
30.10.2017,547.68,"Advertising, Marketing & Media"
30.10.2017,550.99,"Advertising, Marketing & Media"
30.10.2017,552.58,"Travel, venue hire and exhibition services"
30.10.2017,553.31,"Advertising, Marketing & Media"
30.10.2017,556.95,"Advertising, Marketing & Media"
30.10.2017,557.74,"Travel, venue hire and exhibition services"
30.10.2017,557.74,"Travel, venue hire and exhibition services"
30.10.2017,557.74,"Travel, venue hire and exhibition services"
30.10.2017,558.64,"Advertising, Marketing & Media"
30.10.2017,562.01,"Advertising, Marketing & Media"
30.10.2017,564.63,"Advertising, Marketing & Media"
30.10.2017,564.76,"Travel, venue hire and exhibition services"
30.10.2017,566.21,"Travel, venue hire and exhibition services"
30.10.2017,579.72,"Travel, venue hire and exhibition services"
30.10.2017,583.12,"Travel, venue hire and exhibition services"
30.10.2017,586.53,"Advertising, Marketing & Media"
30.10.2017,590.17,"Travel, venue hire and exhibition services"
30.10.2017,590.17,"Travel, venue hire and exhibition services"
30.10.2017,590.54,Facilities
30.10.2017,591.88,"Advertising, Marketing & Media"
30.10.2017,593.16,"Advertising, Marketing & Media"
30.10.2017,594.89,"Advertising, Marketing & Media"
30.10.2017,596.21,"Advertising, Marketing & Media"
30.10.2017,596.47,"Advertising, Marketing & Media"
30.10.2017,598.78,"Advertising, Marketing & Media"
30.10.2017,598.81,"Advertising, Marketing & Media"
30.10.2017,600.00,"Travel, venue hire and exhibition services"
30.10.2017,600.00,"Advertising, Marketing & Media"
30.10.2017,600.00,"Travel, venue hire and exhibition services"
30.10.2017,600.06,"Advertising, Marketing & Media"
30.10.2017,600.07,"Advertising, Marketing & Media"
30.10.2017,600.37,"Advertising, Marketing & Media"
30.10.2017,600.48,"Advertising, Marketing & Media"
30.10.2017,600.63,"Advertising, Marketing & Media"
30.10.2017,600.65,"Advertising, Marketing & Media"
30.10.2017,600.69,"Advertising, Marketing & Media"
30.10.2017,600.72,"Advertising, Marketing & Media"
30.10.2017,600.73,Facilities
30.10.2017,601.04,"Advertising, Marketing & Media"
30.10.2017,601.10,IT & Telecoms
30.10.2017,601.22,"Advertising, Marketing & Media"
30.10.2017,601.33,"Advertising, Marketing & Media"
30.10.2017,601.72,Professional Services
30.10.2017,601.90,"Advertising, Marketing & Media"
30.10.2017,606.46,"Advertising, Marketing & Media"
30.10.2017,610.38,"Travel, venue hire and exhibition services"
30.10.2017,611.10,"Travel, venue hire and exhibition services"
30.10.2017,612.00,Facilities
30.10.2017,615.06,"Travel, venue hire and exhibition services"
30.10.2017,618.50,"Advertising, Marketing & Media"
30.10.2017,641.27,"Travel, venue hire and exhibition services"
30.10.2017,642.58,Professional Services
30.10.2017,643.80,"Advertising, Marketing & Media"
30.10.2017,647.86,"Travel, venue hire and exhibition services"
30.10.2017,650.64,IT & Telecoms
30.10.2017,659.96,Facilities
30.10.2017,671.07,"Travel, venue hire and exhibition services"
30.10.2017,687.93,Facilities
30.10.2017,692.79,"Travel, venue hire and exhibition services"
30.10.2017,694.44,"Travel, venue hire and exhibition services"
30.10.2017,699.00,"Advertising, Marketing & Media"
30.10.2017,705.57,Professional Services
30.10.2017,728.87,"Advertising, Marketing & Media"
30.10.2017,740.04,"Travel, venue hire and exhibition services"
30.10.2017,750.00,"Travel, venue hire and exhibition services"
30.10.2017,766.87,"Travel, venue hire and exhibition services"
30.10.2017,768.07,Facilities
30.10.2017,776.32,"Travel, venue hire and exhibition services"
30.10.2017,781.35,"Travel, venue hire and exhibition services"
30.10.2017,787.37,Professional Services
30.10.2017,810.43,"Travel, venue hire and exhibition services"
30.10.2017,824.54,"Travel, venue hire and exhibition services"
30.10.2017,839.46,"Travel, venue hire and exhibition services"
30.10.2017,846.89,"Travel, venue hire and exhibition services"
30.10.2017,853.73,"Advertising, Marketing & Media"
30.10.2017,856.80,"Travel, venue hire and exhibition services"
30.10.2017,873.91,"Advertising, Marketing & Media"
30.10.2017,880.00,"Travel, venue hire and exhibition services"
30.10.2017,895.94,"Travel, venue hire and exhibition services"
30.10.2017,900.00,"Travel, venue hire and exhibition services"
30.10.2017,900.00,"Travel, venue hire and exhibition services"
30.10.2017,900.00,"Advertising, Marketing & Media"
30.10.2017,920.11,"Travel, venue hire and exhibition services"
30.10.2017,940.87,"Travel, venue hire and exhibition services"
30.10.2017,943.91,"Travel, venue hire and exhibition services"
30.10.2017,946.03,"Travel, venue hire and exhibition services"
30.10.2017,947.00,"Advertising, Marketing & Media"
30.10.2017,947.00,"Advertising, Marketing & Media"
30.10.2017,963.02,Facilities
30.10.2017,996.09,"Travel, venue hire and exhibition services"
30.10.2017,996.76,"Advertising, Marketing & Media"
30.10.2017,996.76,"Advertising, Marketing & Media"
30.10.2017,"1,000.00","Advertising, Marketing & Media"
30.10.2017,"1,011.91","Travel, venue hire and exhibition services"
30.10.2017,"1,050.00","Advertising, Marketing & Media"
30.10.2017,"1,058.43","Travel, venue hire and exhibition services"
30.10.2017,"1,094.81","Travel, venue hire and exhibition services"
30.10.2017,"1,097.58","Travel, venue hire and exhibition services"
30.10.2017,"1,102.28","Travel, venue hire and exhibition services"
30.10.2017,"1,121.39","Travel, venue hire and exhibition services"
30.10.2017,"1,183.43","Travel, venue hire and exhibition services"
30.10.2017,"1,237.43","Advertising, Marketing & Media"
30.10.2017,"1,240.05","Travel, venue hire and exhibition services"
30.10.2017,"1,286.35",Facilities
30.10.2017,"1,314.00",Professional Services
30.10.2017,"1,416.38","Travel, venue hire and exhibition services"
30.10.2017,"1,500.00","Advertising, Marketing & Media"
30.10.2017,"1,528.37","Travel, venue hire and exhibition services"
30.10.2017,"1,536.11","Travel, venue hire and exhibition services"
30.10.2017,"1,660.00","Travel, venue hire and exhibition services"
30.10.2017,"1,905.12","Travel, venue hire and exhibition services"
30.10.2017,"1,963.56","Travel, venue hire and exhibition services"
30.10.2017,"2,000.00","Advertising, Marketing & Media"
30.10.2017,"2,000.00","Advertising, Marketing & Media"
30.10.2017,"2,000.00","Advertising, Marketing & Media"
30.10.2017,"2,000.00","Advertising, Marketing & Media"
30.10.2017,"2,174.02",Facilities
30.10.2017,"2,215.90",IT & Telecoms
30.10.2017,"2,233.39","Travel, venue hire and exhibition services"
30.10.2017,"2,287.51","Travel, venue hire and exhibition services"
30.10.2017,"2,737.98","Travel, venue hire and exhibition services"
30.10.2017,"3,250.19","Travel, venue hire and exhibition services"
30.10.2017,"3,596.45","Travel, venue hire and exhibition services"
30.10.2017,"3,870.44","Travel, venue hire and exhibition services"
30.10.2017,"4,105.12","Travel, venue hire and exhibition services"
