Statement date,Gross Amount,Category Level 1
01.11.2018,500.00,"Advertising, Marketing & Media"
01.11.2018,500.00,"Advertising, Marketing & Media"
01.11.2018,500.00,"Advertising, Marketing & Media"
01.11.2018,500.07,"Advertising, Marketing & Media"
01.11.2018,501.58,"Travel, venue hire and exhibition services"
01.11.2018,505.12,"Advertising, Marketing & Media"
01.11.2018,507.77,"Advertising, Marketing & Media"
01.11.2018,509.80,"Travel, venue hire and exhibition services"
01.11.2018,511.30,"Advertising, Marketing & Media"
01.11.2018,514.33,"Advertising, Marketing & Media"
01.11.2018,514.33,"Advertising, Marketing & Media"
01.11.2018,514.60,"Travel, venue hire and exhibition services"
01.11.2018,523.14,"Advertising, Marketing & Media"
01.11.2018,525.78,"Advertising, Marketing & Media"
01.11.2018,530.72,"Travel, venue hire and exhibition services"
01.11.2018,533.20,"Travel, venue hire and exhibition services"
01.11.2018,535.91,"Travel, venue hire and exhibition services"
01.11.2018,537.58,"Travel, venue hire and exhibition services"
01.11.2018,543.55,"Advertising, Marketing & Media"
01.11.2018,544.62,"Advertising, Marketing & Media"
01.11.2018,544.62,"Advertising, Marketing & Media"
01.11.2018,546.07,"Advertising, Marketing & Media"
01.11.2018,548.45,"Advertising, Marketing & Media"
01.11.2018,549.57,"Advertising, Marketing & Media"
01.11.2018,549.66,"Advertising, Marketing & Media"
01.11.2018,549.66,"Advertising, Marketing & Media"
01.11.2018,562.60,"Travel, venue hire and exhibition services"
01.11.2018,571.77,"Travel, venue hire and exhibition services"
01.11.2018,571.84,"Travel, venue hire and exhibition services"
01.11.2018,574.45,Facilities
01.11.2018,574.93,"Advertising, Marketing & Media"
01.11.2018,578.92,"Travel, venue hire and exhibition services"
01.11.2018,583.86,"Advertising, Marketing & Media"
01.11.2018,585.57,"Travel, venue hire and exhibition services"
01.11.2018,587.42,Facilities
01.11.2018,587.45,"Travel, venue hire and exhibition services"
01.11.2018,593.00,IT & Telecoms
01.11.2018,593.88,"Advertising, Marketing & Media"
01.11.2018,597.09,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,600.00,"Advertising, Marketing & Media"
01.11.2018,603.14,"Travel, venue hire and exhibition services"
01.11.2018,604.94,"Travel, venue hire and exhibition services"
01.11.2018,605.30,"Advertising, Marketing & Media"
01.11.2018,606.25,"Advertising, Marketing & Media"
01.11.2018,606.71,"Travel, venue hire and exhibition services"
01.11.2018,606.71,"Travel, venue hire and exhibition services"
