Statement date,Gross Amount,Category Level 1
02.10.2018,500.00,"Advertising, Marketing & Media"
02.10.2018,500.00,"Advertising, Marketing & Media"
02.10.2018,500.00,"Advertising, Marketing & Media"
02.10.2018,500.00,"Advertising, Marketing & Media"
02.10.2018,504.23,"Travel, venue hire and exhibition services"
02.10.2018,504.65,Facilities
02.10.2018,504.66,"Travel, venue hire and exhibition services"
02.10.2018,504.90,"Travel, venue hire and exhibition services"
02.10.2018,505.01,Facilities
02.10.2018,505.18,"Advertising, Marketing & Media"
02.10.2018,520.80,"Advertising, Marketing & Media"
02.10.2018,521.00,Facilities
02.10.2018,522.63,"Travel, venue hire and exhibition services"
02.10.2018,525.26,IT & Telecoms
02.10.2018,526.00,"Travel, venue hire and exhibition services"
02.10.2018,528.22,"Travel, venue hire and exhibition services"
02.10.2018,528.65,"Travel, venue hire and exhibition services"
02.10.2018,530.67,"Travel, venue hire and exhibition services"
02.10.2018,533.25,"Advertising, Marketing & Media"
02.10.2018,533.81,"Advertising, Marketing & Media"
02.10.2018,535.87,"Advertising, Marketing & Media"
02.10.2018,536.26,Facilities
02.10.2018,536.78,"Advertising, Marketing & Media"
02.10.2018,537.08,"Travel, venue hire and exhibition services"
02.10.2018,537.47,"Travel, venue hire and exhibition services"
02.10.2018,538.06,"Advertising, Marketing & Media"
02.10.2018,540.02,"Advertising, Marketing & Media"
02.10.2018,540.06,"Advertising, Marketing & Media"
02.10.2018,540.48,"Advertising, Marketing & Media"
02.10.2018,548.13,"Advertising, Marketing & Media"
02.10.2018,548.98,"Advertising, Marketing & Media"
02.10.2018,549.28,"Advertising, Marketing & Media"
02.10.2018,549.66,"Advertising, Marketing & Media"
02.10.2018,550.62,"Advertising, Marketing & Media"
02.10.2018,550.71,"Advertising, Marketing & Media"
02.10.2018,550.71,"Advertising, Marketing & Media"
02.10.2018,551.02,"Advertising, Marketing & Media"
02.10.2018,552.27,"Advertising, Marketing & Media"
02.10.2018,554.57,"Advertising, Marketing & Media"
02.10.2018,554.57,"Advertising, Marketing & Media"
02.10.2018,554.57,"Travel, venue hire and exhibition services"
02.10.2018,555.26,"Advertising, Marketing & Media"
02.10.2018,555.26,"Advertising, Marketing & Media"
02.10.2018,555.26,"Travel, venue hire and exhibition services"
02.10.2018,556.07,"Advertising, Marketing & Media"
02.10.2018,557.46,"Advertising, Marketing & Media"
02.10.2018,558.02,"Travel, venue hire and exhibition services"
02.10.2018,560.34,Facilities
02.10.2018,561.29,"Travel, venue hire and exhibition services"
02.10.2018,562.67,"Travel, venue hire and exhibition services"
02.10.2018,568.07,"Travel, venue hire and exhibition services"
02.10.2018,569.39,Facilities
02.10.2018,571.30,IT & Telecoms
02.10.2018,572.00,"Travel, venue hire and exhibition services"
02.10.2018,572.96,"Travel, venue hire and exhibition services"
02.10.2018,573.04,"Travel, venue hire and exhibition services"
02.10.2018,573.45,"Travel, venue hire and exhibition services"
02.10.2018,582.23,"Travel, venue hire and exhibition services"
02.10.2018,582.64,Professional Services
02.10.2018,583.50,"Advertising, Marketing & Media"
02.10.2018,584.74,"Advertising, Marketing & Media"
02.10.2018,584.97,"Travel, venue hire and exhibition services"
02.10.2018,585.05,"Advertising, Marketing & Media"
02.10.2018,587.66,"Travel, venue hire and exhibition services"
02.10.2018,589.86,"Advertising, Marketing & Media"
02.10.2018,590.51,"Advertising, Marketing & Media"
02.10.2018,591.53,"Advertising, Marketing & Media"
02.10.2018,594.78,"Travel, venue hire and exhibition services"
02.10.2018,599.55,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,Professional Services
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,600.00,"Advertising, Marketing & Media"
02.10.2018,603.40,"Travel, venue hire and exhibition services"
02.10.2018,605.60,"Travel, venue hire and exhibition services"
02.10.2018,605.97,"Advertising, Marketing & Media"
02.10.2018,611.30,"Travel, venue hire and exhibition services"
02.10.2018,616.54,"Travel, venue hire and exhibition services"
02.10.2018,621.64,"Travel, venue hire and exhibition services"
02.10.2018,626.45,Facilities
02.10.2018,630.42,"Travel, venue hire and exhibition services"
02.10.2018,633.91,"Travel, venue hire and exhibition services"
02.10.2018,634.89,IT & Telecoms
02.10.2018,636.34,"Travel, venue hire and exhibition services"
02.10.2018,638.77,"Travel, venue hire and exhibition services"
02.10.2018,642.40,"Travel, venue hire and exhibition services"
02.10.2018,647.61,"Travel, venue hire and exhibition services"
02.10.2018,647.80,"Travel, venue hire and exhibition services"
02.10.2018,649.14,"Advertising, Marketing & Media"
02.10.2018,649.48,"Travel, venue hire and exhibition services"
02.10.2018,654.46,"Travel, venue hire and exhibition services"
02.10.2018,656.98,IT & Telecoms
02.10.2018,657.00,"Travel, venue hire and exhibition services"
02.10.2018,667.95,"Advertising, Marketing & Media"
02.10.2018,670.45,"Travel, venue hire and exhibition services"
02.10.2018,681.03,Facilities
02.10.2018,683.98,"Travel, venue hire and exhibition services"
02.10.2018,685.73,"Travel, venue hire and exhibition services"
02.10.2018,687.15,"Travel, venue hire and exhibition services"
02.10.2018,691.74,"Travel, venue hire and exhibition services"
02.10.2018,698.49,"Travel, venue hire and exhibition services"
02.10.2018,702.35,Professional Services
02.10.2018,712.37,"Travel, venue hire and exhibition services"
02.10.2018,712.63,"Travel, venue hire and exhibition services"
02.10.2018,715.10,Facilities
02.10.2018,721.51,"Travel, venue hire and exhibition services"
02.10.2018,733.00,"Travel, venue hire and exhibition services"
02.10.2018,747.63,"Travel, venue hire and exhibition services"
02.10.2018,747.63,"Travel, venue hire and exhibition services"
02.10.2018,750.29,"Travel, venue hire and exhibition services"
02.10.2018,771.50,"Travel, venue hire and exhibition services"
02.10.2018,771.50,"Travel, venue hire and exhibition services"
02.10.2018,771.50,"Travel, venue hire and exhibition services"
02.10.2018,771.50,"Travel, venue hire and exhibition services"
02.10.2018,772.74,"Travel, venue hire and exhibition services"
02.10.2018,787.42,"Travel, venue hire and exhibition services"
02.10.2018,844.91,"Travel, venue hire and exhibition services"
02.10.2018,873.09,"Travel, venue hire and exhibition services"
02.10.2018,896.04,"Travel, venue hire and exhibition services"
02.10.2018,897.83,"Travel, venue hire and exhibition services"
02.10.2018,903.52,"Advertising, Marketing & Media"
02.10.2018,903.61,"Travel, venue hire and exhibition services"
02.10.2018,909.18,"Travel, venue hire and exhibition services"
02.10.2018,911.69,Facilities
02.10.2018,924.55,"Advertising, Marketing & Media"
02.10.2018,944.04,"Travel, venue hire and exhibition services"
02.10.2018,944.49,"Travel, venue hire and exhibition services"
02.10.2018,946.03,"Travel, venue hire and exhibition services"
02.10.2018,950.78,Facilities
02.10.2018,964.69,"Travel, venue hire and exhibition services"
02.10.2018,972.90,Facilities
02.10.2018,998.00,Professional Services
02.10.2018,999.85,"Travel, venue hire and exhibition services"
02.10.2018,"1,000.00","Advertising, Marketing & Media"
02.10.2018,"1,000.00","Advertising, Marketing & Media"
02.10.2018,"1,000.00","Advertising, Marketing & Media"
02.10.2018,"1,000.00","Advertising, Marketing & Media"
02.10.2018,"1,008.47",Facilities
02.10.2018,"1,012.01","Travel, venue hire and exhibition services"
02.10.2018,"1,016.95","Travel, venue hire and exhibition services"
02.10.2018,"1,027.92","Advertising, Marketing & Media"
02.10.2018,"1,028.74","Travel, venue hire and exhibition services"
02.10.2018,"1,028.74","Travel, venue hire and exhibition services"
02.10.2018,"1,028.74","Travel, venue hire and exhibition services"
02.10.2018,"1,028.74","Travel, venue hire and exhibition services"
02.10.2018,"1,028.74","Travel, venue hire and exhibition services"
02.10.2018,"1,047.88",Facilities
02.10.2018,"1,050.00","Travel, venue hire and exhibition services"
02.10.2018,"1,069.91",Professional Services
02.10.2018,"1,088.09","Travel, venue hire and exhibition services"
02.10.2018,"1,113.00",Professional Services
02.10.2018,"1,125.00",Professional Services
02.10.2018,"1,130.88","Advertising, Marketing & Media"
02.10.2018,"1,197.80","Travel, venue hire and exhibition services"
02.10.2018,"1,200.00","Advertising, Marketing & Media"
02.10.2018,"1,200.00","Advertising, Marketing & Media"
02.10.2018,"1,235.86","Travel, venue hire and exhibition services"
02.10.2018,"1,247.53","Travel, venue hire and exhibition services"
02.10.2018,"1,262.47","Travel, venue hire and exhibition services"
02.10.2018,"1,348.20","Travel, venue hire and exhibition services"
02.10.2018,"1,387.65","Travel, venue hire and exhibition services"
02.10.2018,"1,412.81","Advertising, Marketing & Media"
02.10.2018,"1,415.95","Advertising, Marketing & Media"
02.10.2018,"1,416.55","Travel, venue hire and exhibition services"
02.10.2018,"1,615.65",Facilities
02.10.2018,"1,646.11","Advertising, Marketing & Media"
02.10.2018,"1,686.40","Travel, venue hire and exhibition services"
02.10.2018,"1,727.78",Facilities
02.10.2018,"1,834.02","Travel, venue hire and exhibition services"
02.10.2018,"2,000.00","Travel, venue hire and exhibition services"
02.10.2018,"2,000.00",Professional Services
02.10.2018,"2,438.19","Travel, venue hire and exhibition services"
02.10.2018,"2,452.75","Travel, venue hire and exhibition services"
02.10.2018,"2,696.22","Travel, venue hire and exhibition services"
02.10.2018,"2,696.22","Travel, venue hire and exhibition services"
02.10.2018,"2,816.27","Travel, venue hire and exhibition services"
02.10.2018,"2,827.90","Travel, venue hire and exhibition services"
02.10.2018,"2,914.40","Travel, venue hire and exhibition services"
02.10.2018,"3,509.50","Travel, venue hire and exhibition services"
02.10.2018,"3,795.00",Professional Services
02.10.2018,"3,980.93","Travel, venue hire and exhibition services"
02.10.2018,"4,026.53","Travel, venue hire and exhibition services"
