Sent for Payment Date,Approved Amount (rpt),Category Level 1
30/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,500.00,Facilities
24/04/2018,500.00,"Advertising, Marketing & Media"
24/04/2018,500.00,"Advertising, Marketing & Media"
24/04/2018,500.00,"Advertising, Marketing & Media"
30/04/2018,502.24,"Travel, venue hire and exhibition services"
30/04/2018,502.48,Facilities
30/04/2018,512.14,"Travel, venue hire and exhibition services"
30/04/2018,514.54,"Travel, venue hire and exhibition services"
30/04/2018,514.89,"Travel, venue hire and exhibition services"
30/04/2018,515.59,"Travel, venue hire and exhibition services"
30/04/2018,515.61,"Travel, venue hire and exhibition services"
27/04/2018,516.32,"Travel, venue hire and exhibition services"
30/04/2018,517.20,Professional Services
20/04/2018,524.50,IT & Telecoms
12/04/2018,528.03,"Advertising, Marketing & Media"
27/04/2018,533.57,"Travel, venue hire and exhibition services"
26/04/2018,538.44,IT & Telecoms
03/04/2018,538.80,Human Resources
12/04/2018,544.32,"Advertising, Marketing & Media"
24/04/2018,549.09,"Advertising, Marketing & Media"
24/04/2018,552.71,"Advertising, Marketing & Media"
12/04/2018,552.77,"Advertising, Marketing & Media"
24/04/2018,553.19,"Advertising, Marketing & Media"
24/04/2018,553.86,"Advertising, Marketing & Media"
24/04/2018,554.35,"Advertising, Marketing & Media"
24/04/2018,563.77,"Advertising, Marketing & Media"
24/04/2018,575.61,"Advertising, Marketing & Media"
09/04/2018,599.87,"Advertising, Marketing & Media"
09/04/2018,599.87,"Advertising, Marketing & Media"
09/04/2018,600.00,"Advertising, Marketing & Media"
09/04/2018,600.00,"Advertising, Marketing & Media"
09/04/2018,600.00,"Advertising, Marketing & Media"
09/04/2018,600.00,"Advertising, Marketing & Media"
09/04/2018,600.00,"Advertising, Marketing & Media"
12/04/2018,600.00,"Advertising, Marketing & Media"
30/04/2018,606.00,Human Resources
30/04/2018,606.00,Human Resources
30/04/2018,606.00,Human Resources
03/04/2018,618.39,IT & Telecoms
30/04/2018,619.78,Facilities
30/04/2018,645.60,Facilities
30/04/2018,672.88,"Travel, venue hire and exhibition services"
30/04/2018,688.99,"Travel, venue hire and exhibition services"
20/04/2018,692.13,"Travel, venue hire and exhibition services"
16/04/2018,696.72,"Travel, venue hire and exhibition services"
25/04/2018,716.07,"Travel, venue hire and exhibition services"
26/04/2018,740.68,IT & Telecoms
30/04/2018,796.31,"Travel, venue hire and exhibition services"
30/04/2018,828.54,"Travel, venue hire and exhibition services"
12/04/2018,845.98,"Travel, venue hire and exhibition services"
26/04/2018,881.46,"Travel, venue hire and exhibition services"
20/04/2018,902.06,"Travel, venue hire and exhibition services"
25/04/2018,916.00,Human Resources
30/04/2018,944.40,Facilities
26/04/2018,"1,020.00","Travel, venue hire and exhibition services"
07/04/2018,"1,113.44","Travel, venue hire and exhibition services"
30/04/2018,"1,200.00","Travel, venue hire and exhibition services"
27/04/2018,"1,217.66",IT & Telecoms
20/04/2018,"1,261.34","Travel, venue hire and exhibition services"
18/04/2018,"1,287.60",Human Resources
27/04/2018,"1,320.00","Travel, venue hire and exhibition services"
18/04/2018,"1,381.50","Travel, venue hire and exhibition services"
12/04/2018,"1,500.00","Advertising, Marketing & Media"
12/04/2018,"1,500.00","Advertising, Marketing & Media"
23/04/2018,"1,579.04","Travel, venue hire and exhibition services"
19/04/2018,"1,823.11","Travel, venue hire and exhibition services"
27/04/2018,"1,994.16",IT & Telecoms
12/04/2018,"2,000.00","Advertising, Marketing & Media"
12/04/2018,"2,000.00","Advertising, Marketing & Media"
30/04/2018,"2,263.18","Travel, venue hire and exhibition services"
20/04/2018,"2,266.00",IT & Telecoms
25/04/2018,"2,422.56","Travel, venue hire and exhibition services"
24/04/2018,"4,300.00","Advertising, Marketing & Media"
27/04/2018,"20,276.20",IT & Telecoms
