Sent for Payment Date,Approved Amount (rpt),Category Level 1
06/08/2017,500.00,"Advertising, Marketing & Media"
06/08/2017,500.00,"Advertising, Marketing & Media"
06/08/2017,500.00,"Advertising, Marketing & Media"
18/08/2017,510.00,Facilities
24/08/2017,510.50,"Travel, venue hire and exhibition services"
29/08/2017,518.40,Human Resources
15/08/2017,525.00,"Travel, venue hire and exhibition services"
23/08/2017,528.15,Facilities
15/08/2017,531.11,"Travel, venue hire and exhibition services"
16/08/2017,534.00,Human Resources
21/08/2017,537.43,"Travel, venue hire and exhibition services"
08/08/2017,537.44,"Travel, venue hire and exhibition services"
24/08/2017,539.93,"Travel, venue hire and exhibition services"
12/08/2017,545.23,Facilities
07/08/2017,546.50,"Travel, venue hire and exhibition services"
02/08/2017,550.70,"Travel, venue hire and exhibition services"
29/08/2017,560.19,Human Resources
14/08/2017,569.97,"Travel, venue hire and exhibition services"
02/08/2017,573.12,"Travel, venue hire and exhibition services"
09/08/2017,576.27,"Travel, venue hire and exhibition services"
04/08/2017,586.37,"Travel, venue hire and exhibition services"
02/08/2017,599.54,"Travel, venue hire and exhibition services"
15/08/2017,600.00,"Travel, venue hire and exhibition services"
22/08/2017,610.15,"Travel, venue hire and exhibition services"
08/08/2017,611.05,"Travel, venue hire and exhibition services"
14/08/2017,646.95,"Travel, venue hire and exhibition services"
02/08/2017,658.80,Human Resources
22/08/2017,668.67,"Travel, venue hire and exhibition services"
18/08/2017,701.83,IT & Telecoms
11/08/2017,709.99,"Travel, venue hire and exhibition services"
09/08/2017,714.00,Human Resources
07/08/2017,719.81,IT & Telecoms
29/08/2017,729.45,Human Resources
22/08/2017,747.15,"Travel, venue hire and exhibition services"
01/08/2017,754.56,Facilities
14/08/2017,763.40,"Travel, venue hire and exhibition services"
29/08/2017,792.00,"Travel, venue hire and exhibition services"
30/08/2017,793.62,IT & Telecoms
11/08/2017,806.79,"Travel, venue hire and exhibition services"
14/08/2017,816.65,Facilities
23/08/2017,835.95,Facilities
04/08/2017,838.15,"Travel, venue hire and exhibition services"
08/08/2017,849.75,"Travel, venue hire and exhibition services"
24/08/2017,875.13,Facilities
28/08/2017,901.19,"Travel, venue hire and exhibition services"
24/08/2017,914.15,"Travel, venue hire and exhibition services"
09/08/2017,936.00,Facilities
23/08/2017,944.63,"Travel, venue hire and exhibition services"
23/08/2017,952.81,"Travel, venue hire and exhibition services"
22/08/2017,964.20,"Travel, venue hire and exhibition services"
07/08/2017,994.34,"Travel, venue hire and exhibition services"
08/08/2017,"1,002.17","Travel, venue hire and exhibition services"
14/08/2017,"1,011.81","Travel, venue hire and exhibition services"
08/08/2017,"1,110.00",Human Resources
01/08/2017,"1,121.40",Human Resources
17/08/2017,"1,125.74","Travel, venue hire and exhibition services"
29/08/2017,"1,138.50","Travel, venue hire and exhibition services"
09/08/2017,"1,147.16","Travel, venue hire and exhibition services"
31/08/2017,"1,159.74",Facilities
04/08/2017,"1,192.99","Travel, venue hire and exhibition services"
28/08/2017,"1,201.24","Travel, venue hire and exhibition services"
09/08/2017,"1,203.93",IT & Telecoms
15/08/2017,"1,218.09","Travel, venue hire and exhibition services"
10/08/2017,"1,238.00","Travel, venue hire and exhibition services"
21/08/2017,"1,243.45","Travel, venue hire and exhibition services"
15/08/2017,"1,278.74","Travel, venue hire and exhibition services"
22/08/2017,"1,292.12","Travel, venue hire and exhibition services"
29/08/2017,"1,336.49",IT & Telecoms
22/08/2017,"1,424.09","Travel, venue hire and exhibition services"
29/08/2017,"1,433.94",IT & Telecoms
01/08/2017,"1,434.00",Human Resources
24/08/2017,"1,475.01","Travel, venue hire and exhibition services"
01/08/2017,"1,490.00","Travel, venue hire and exhibition services"
21/08/2017,"1,496.41","Travel, venue hire and exhibition services"
01/08/2017,"1,504.88",Facilities
08/08/2017,"1,507.61","Travel, venue hire and exhibition services"
04/08/2017,"1,517.99","Travel, venue hire and exhibition services"
29/08/2017,"1,593.31","Travel, venue hire and exhibition services"
14/08/2017,"1,620.24","Travel, venue hire and exhibition services"
29/08/2017,"1,660.05","Travel, venue hire and exhibition services"
01/08/2017,"1,689.60",IT & Telecoms
04/08/2017,"1,727.65","Travel, venue hire and exhibition services"
30/08/2017,"1,731.52","Travel, venue hire and exhibition services"
21/08/2017,"1,791.72","Travel, venue hire and exhibition services"
15/08/2017,"1,796.16","Travel, venue hire and exhibition services"
07/08/2017,"1,803.94","Travel, venue hire and exhibition services"
29/08/2017,"1,853.31","Travel, venue hire and exhibition services"
29/08/2017,"1,871.37",Facilities
07/08/2017,"2,057.31","Travel, venue hire and exhibition services"
24/08/2017,"2,094.15","Travel, venue hire and exhibition services"
01/08/2017,"2,180.53","Travel, venue hire and exhibition services"
29/08/2017,"2,298.74","Travel, venue hire and exhibition services"
30/08/2017,"2,406.79","Travel, venue hire and exhibition services"
22/08/2017,"2,600.13","Advertising, Marketing & Media"
09/08/2017,"2,700.52","Travel, venue hire and exhibition services"
30/08/2017,"2,720.51","Travel, venue hire and exhibition services"
29/08/2017,"3,396.10",IT & Telecoms
29/08/2017,"3,777.59","Advertising, Marketing & Media"
02/08/2017,"4,160.38",Human Resources
