Sent for Payment Date,Approved Amount (rpt),Category Level 1
16/12/2017,500.00,"Advertising, Marketing & Media"
16/12/2017,500.00,"Advertising, Marketing & Media"
16/12/2017,500.00,"Advertising, Marketing & Media"
29/12/2017,500.64,Facilities
05/12/2017,503.52,IT & Telecoms
20/12/2017,505.53,IT & Telecoms
20/12/2017,510.40,"Travel, venue hire and exhibition services"
14/12/2017,510.86,Facilities
04/12/2017,519.00,Human Resources
14/12/2017,523.25,"Travel, venue hire and exhibition services"
05/12/2017,533.99,IT & Telecoms
04/12/2017,534.29,IT & Telecoms
18/12/2017,536.81,"Travel, venue hire and exhibition services"
14/12/2017,537.00,Human Resources
19/12/2017,538.90,Facilities
10/12/2017,539.60,"Travel, venue hire and exhibition services"
20/12/2017,539.74,"Travel, venue hire and exhibition services"
10/12/2017,542.83,Facilities
21/12/2017,545.00,"Travel, venue hire and exhibition services"
04/12/2017,546.26,IT & Telecoms
20/12/2017,546.53,"Advertising, Marketing & Media"
13/12/2017,548.92,"Advertising, Marketing & Media"
04/12/2017,549.88,IT & Telecoms
19/12/2017,554.20,IT & Telecoms
19/12/2017,554.28,"Travel, venue hire and exhibition services"
14/12/2017,557.31,Facilities
11/12/2017,557.60,"Travel, venue hire and exhibition services"
19/12/2017,557.99,IT & Telecoms
11/12/2017,559.46,"Travel, venue hire and exhibition services"
07/12/2017,562.57,"Travel, venue hire and exhibition services"
04/12/2017,562.76,"Travel, venue hire and exhibition services"
19/12/2017,562.84,IT & Telecoms
20/12/2017,562.98,Facilities
19/12/2017,568.62,IT & Telecoms
13/12/2017,569.19,"Advertising, Marketing & Media"
11/12/2017,573.26,"Advertising, Marketing & Media"
07/12/2017,574.97,Facilities
16/12/2017,588.88,IT & Telecoms
03/12/2017,589.12,"Travel, venue hire and exhibition services"
19/12/2017,592.20,Facilities
05/12/2017,599.95,Exam Board Fees
07/12/2017,600.80,Human Resources
16/12/2017,606.59,IT & Telecoms
01/12/2017,606.67,"Travel, venue hire and exhibition services"
06/12/2017,606.82,"Travel, venue hire and exhibition services"
19/12/2017,617.85,Facilities
21/12/2017,621.45,Facilities
20/12/2017,634.76,"Travel, venue hire and exhibition services"
22/12/2017,643.98,"Travel, venue hire and exhibition services"
14/12/2017,644.37,"Travel, venue hire and exhibition services"
12/12/2017,647.20,"Travel, venue hire and exhibition services"
17/12/2017,653.68,"Travel, venue hire and exhibition services"
20/12/2017,658.29,IT & Telecoms
18/12/2017,661.82,"Travel, venue hire and exhibition services"
19/12/2017,664.87,"Travel, venue hire and exhibition services"
05/12/2017,674.70,"Travel, venue hire and exhibition services"
01/12/2017,680.36,"Travel, venue hire and exhibition services"
20/12/2017,683.14,Human Resources
12/12/2017,688.00,"Travel, venue hire and exhibition services"
11/12/2017,711.67,"Travel, venue hire and exhibition services"
07/12/2017,724.18,Facilities
13/12/2017,732.00,"Travel, venue hire and exhibition services"
11/12/2017,737.97,"Travel, venue hire and exhibition services"
18/12/2017,739.57,"Travel, venue hire and exhibition services"
10/12/2017,741.00,"Travel, venue hire and exhibition services"
20/12/2017,761.60,"Travel, venue hire and exhibition services"
18/12/2017,776.33,"Travel, venue hire and exhibition services"
18/12/2017,800.64,"Travel, venue hire and exhibition services"
18/12/2017,822.08,"Travel, venue hire and exhibition services"
16/12/2017,830.79,IT & Telecoms
17/12/2017,831.54,"Travel, venue hire and exhibition services"
19/12/2017,832.91,"Travel, venue hire and exhibition services"
