Sent for Payment Date,Approved Amount (rpt),Category Level 1
07/01/2018,500.00,"Advertising, Marketing & Media"
07/01/2018,500.00,"Advertising, Marketing & Media"
25/01/2018,500.00,"Advertising, Marketing & Media"
26/01/2018,500.00,"Advertising, Marketing & Media"
31/01/2018,502.70,"Travel, venue hire and exhibition services"
03/01/2018,507.82,IT & Telecoms
21/01/2018,511.26,Facilities
23/01/2018,514.50,"Travel, venue hire and exhibition services"
03/01/2018,516.00,Human Resources
23/01/2018,519.00,Human Resources
04/01/2018,519.00,Human Resources
05/01/2018,520.26,Facilities
04/01/2018,534.39,"Advertising, Marketing & Media"
31/01/2018,535.00,Human Resources
09/01/2018,535.37,"Travel, venue hire and exhibition services"
31/01/2018,535.42,Facilities
03/01/2018,535.50,"Travel, venue hire and exhibition services"
03/01/2018,537.48,IT & Telecoms
03/01/2018,541.06,Facilities
31/01/2018,544.79,IT & Telecoms
31/01/2018,546.46,IT & Telecoms
04/01/2018,552.00,Human Resources
18/01/2018,558.66,"Travel, venue hire and exhibition services"
04/01/2018,559.00,Human Resources
31/01/2018,562.30,IT & Telecoms
04/01/2018,564.79,"Travel, venue hire and exhibition services"
02/01/2018,565.51,"Travel, venue hire and exhibition services"
03/01/2018,568.00,"Travel, venue hire and exhibition services"
30/01/2018,575.00,Facilities
26/01/2018,576.33,Facilities
16/01/2018,579.13,IT & Telecoms
30/01/2018,586.31,"Travel, venue hire and exhibition services"
16/01/2018,593.55,"Travel, venue hire and exhibition services"
15/01/2018,594.00,Human Resources
22/01/2018,599.20,"Advertising, Marketing & Media"
22/01/2018,599.35,"Advertising, Marketing & Media"
05/01/2018,614.41,Facilities
11/01/2018,631.66,"Travel, venue hire and exhibition services"
25/01/2018,634.28,"Travel, venue hire and exhibition services"
04/01/2018,642.67,"Travel, venue hire and exhibition services"
16/01/2018,648.00,Professional Services
30/01/2018,648.12,"Travel, venue hire and exhibition services"
31/01/2018,676.56,"Travel, venue hire and exhibition services"
19/01/2018,686.48,"Travel, venue hire and exhibition services"
19/01/2018,686.48,"Travel, venue hire and exhibition services"
19/01/2018,686.48,"Travel, venue hire and exhibition services"
19/01/2018,686.49,"Travel, venue hire and exhibition services"
12/01/2018,694.04,"Travel, venue hire and exhibition services"
19/01/2018,700.00,"Travel, venue hire and exhibition services"
03/01/2018,708.48,"Travel, venue hire and exhibition services"
16/01/2018,713.56,"Travel, venue hire and exhibition services"
17/01/2018,718.31,"Travel, venue hire and exhibition services"
25/01/2018,738.18,"Travel, venue hire and exhibition services"
11/01/2018,742.24,"Travel, venue hire and exhibition services"
16/01/2018,753.04,IT & Telecoms
04/01/2018,767.84,IT & Telecoms
03/01/2018,768.28,IT & Telecoms
29/01/2018,771.50,"Travel, venue hire and exhibition services"
03/01/2018,774.36,IT & Telecoms
09/01/2018,781.86,"Travel, venue hire and exhibition services"
07/01/2018,786.76,Facilities
11/01/2018,792.94,"Travel, venue hire and exhibition services"
09/01/2018,838.80,Human Resources
03/01/2018,849.20,Facilities
09/01/2018,850.55,Human Resources
11/01/2018,882.94,"Travel, venue hire and exhibition services"
18/01/2018,914.88,"Travel, venue hire and exhibition services"
22/01/2018,914.98,Facilities
15/01/2018,917.50,Facilities
02/01/2018,924.33,"Travel, venue hire and exhibition services"
16/01/2018,950.36,Facilities
08/01/2018,957.00,"Travel, venue hire and exhibition services"
16/01/2018,988.80,"Travel, venue hire and exhibition services"
31/01/2018,991.76,"Travel, venue hire and exhibition services"
29/01/2018,996.77,IT & Telecoms
30/01/2018,"1,012.95","Travel, venue hire and exhibition services"
11/01/2018,"1,017.09","Travel, venue hire and exhibition services"
09/01/2018,"1,018.10","Travel, venue hire and exhibition services"
02/01/2018,"1,024.08","Travel, venue hire and exhibition services"
07/01/2018,"1,025.72","Travel, venue hire and exhibition services"
07/01/2018,"1,027.43","Travel, venue hire and exhibition services"
07/01/2018,"1,029.83","Travel, venue hire and exhibition services"
31/01/2018,"1,074.44",Facilities
05/01/2018,"1,118.60","Travel, venue hire and exhibition services"
12/01/2018,"1,211.97","Travel, venue hire and exhibition services"
15/01/2018,"1,273.01",Facilities
05/01/2018,"1,329.97",Facilities
08/01/2018,"1,449.00",IT & Telecoms
03/01/2018,"1,451.76","Travel, venue hire and exhibition services"
25/01/2018,"1,460.32","Travel, venue hire and exhibition services"
26/01/2018,"1,495.00","Travel, venue hire and exhibition services"
03/01/2018,"1,507.60",Facilities
17/01/2018,"1,848.56",Facilities
31/01/2018,"1,956.00",Human Resources
02/01/2018,"2,195.00","Travel, venue hire and exhibition services"
17/01/2018,"2,510.34","Advertising, Marketing & Media"
02/01/2018,"2,637.24",IT & Telecoms
08/01/2018,"2,803.00","Travel, venue hire and exhibition services"
24/01/2018,"3,000.00",Facilities
02/01/2018,"3,413.36",IT & Telecoms
03/01/2018,"3,780.00","Travel, venue hire and exhibition services"
03/01/2018,"4,185.42",IT & Telecoms
09/01/2018,"4,487.53","Travel, venue hire and exhibition services"
09/01/2018,"5,344.52","Travel, venue hire and exhibition services"
30/01/2018,"6,215.13","Travel, venue hire and exhibition services"
05/01/2018,"8,312.87","Advertising, Marketing & Media"
03/01/2018,"11,445.80",IT & Telecoms
03/01/2018,"18,198.67",IT & Telecoms
