Sent for Payment Date,Approved Amount (rpt),Category Level 1
12/07/2017,500.00,"Advertising, Marketing & Media"
12/07/2017,500.00,"Advertising, Marketing & Media"
12/07/2017,500.00,"Advertising, Marketing & Media"
19/07/2017,500.00,IT & Telecoms
03/07/2017,500.28,"Travel, venue hire and exhibition services"
12/07/2017,502.53,"Travel, venue hire and exhibition services"
18/07/2017,506.44,"Travel, venue hire and exhibition services"
03/07/2017,506.85,"Travel, venue hire and exhibition services"
13/07/2017,510.00,Facilities
05/07/2017,510.71,"Travel, venue hire and exhibition services"
19/07/2017,524.21,"Travel, venue hire and exhibition services"
03/07/2017,534.88,"Travel, venue hire and exhibition services"
10/07/2017,536.99,"Travel, venue hire and exhibition services"
31/07/2017,538.64,Human Resources
21/07/2017,539.58,"Travel, venue hire and exhibition services"
04/07/2017,540.00,Human Resources
11/07/2017,546.81,"Travel, venue hire and exhibition services"
17/07/2017,549.40,"Advertising, Marketing & Media"
03/07/2017,558.53,"Travel, venue hire and exhibition services"
31/07/2017,578.51,Facilities
18/07/2017,582.15,"Travel, venue hire and exhibition services"
21/07/2017,584.26,"Travel, venue hire and exhibition services"
02/07/2017,587.42,"Travel, venue hire and exhibition services"
12/07/2017,594.00,Human Resources
11/07/2017,598.84,Facilities
04/07/2017,600.80,"Advertising, Marketing & Media"
31/07/2017,605.50,"Travel, venue hire and exhibition services"
13/07/2017,608.30,"Travel, venue hire and exhibition services"
31/07/2017,611.59,"Travel, venue hire and exhibition services"
21/07/2017,612.99,"Travel, venue hire and exhibition services"
10/07/2017,613.60,"Travel, venue hire and exhibition services"
25/07/2017,613.60,"Travel, venue hire and exhibition services"
26/07/2017,617.48,"Travel, venue hire and exhibition services"
03/07/2017,618.19,"Travel, venue hire and exhibition services"
12/07/2017,618.66,Human Resources
25/07/2017,619.49,"Travel, venue hire and exhibition services"
03/07/2017,626.54,"Travel, venue hire and exhibition services"
03/07/2017,626.69,"Travel, venue hire and exhibition services"
21/07/2017,639.23,"Travel, venue hire and exhibition services"
18/07/2017,650.53,"Travel, venue hire and exhibition services"
05/07/2017,654.00,Human Resources
25/07/2017,663.00,"Travel, venue hire and exhibition services"
03/07/2017,664.31,Facilities
29/07/2017,664.32,"Travel, venue hire and exhibition services"
03/07/2017,666.61,IT & Telecoms
06/07/2017,670.08,Facilities
03/07/2017,670.68,Facilities
10/07/2017,673.20,IT & Telecoms
06/07/2017,675.53,"Travel, venue hire and exhibition services"
31/07/2017,693.56,Facilities
31/07/2017,700.00,IT & Telecoms
06/07/2017,707.52,"Travel, venue hire and exhibition services"
03/07/2017,710.74,"Travel, venue hire and exhibition services"
20/07/2017,741.00,Facilities
11/07/2017,743.76,"Travel, venue hire and exhibition services"
11/07/2017,743.77,"Travel, venue hire and exhibition services"
11/07/2017,743.77,"Travel, venue hire and exhibition services"
11/07/2017,743.77,"Travel, venue hire and exhibition services"
02/07/2017,770.68,"Travel, venue hire and exhibition services"
27/07/2017,777.00,"Travel, venue hire and exhibition services"
26/07/2017,784.85,"Travel, venue hire and exhibition services"
31/07/2017,795.12,IT & Telecoms
07/07/2017,822.09,"Travel, venue hire and exhibition services"
03/07/2017,825.05,"Travel, venue hire and exhibition services"
27/07/2017,834.00,"Travel, venue hire and exhibition services"
03/07/2017,834.32,"Travel, venue hire and exhibition services"
08/07/2017,835.20,IT & Telecoms
03/07/2017,855.37,"Travel, venue hire and exhibition services"
05/07/2017,859.20,Human Resources
17/07/2017,862.74,"Travel, venue hire and exhibition services"
18/07/2017,863.85,Facilities
27/07/2017,870.85,"Travel, venue hire and exhibition services"
05/07/2017,885.50,"Travel, venue hire and exhibition services"
21/07/2017,887.34,Facilities
