Sent for Payment Date,Approved Amount (rpt),Category Level 1
12/06/2017,500.00,"Advertising, Marketing & Media"
12/06/2017,500.00,"Advertising, Marketing & Media"
12/06/2017,500.00,"Advertising, Marketing & Media"
12/06/2017,500.17,"Travel, venue hire and exhibition services"
20/06/2017,500.31,"Travel, venue hire and exhibition services"
26/06/2017,506.95,"Advertising, Marketing & Media"
19/06/2017,510.63,"Travel, venue hire and exhibition services"
19/06/2017,514.66,"Travel, venue hire and exhibition services"
21/06/2017,517.42,"Travel, venue hire and exhibition services"
01/06/2017,521.27,"Travel, venue hire and exhibition services"
21/06/2017,521.28,Facilities
11/06/2017,527.34,"Travel, venue hire and exhibition services"
30/06/2017,530.81,"Travel, venue hire and exhibition services"
02/06/2017,532.00,"Travel, venue hire and exhibition services"
18/06/2017,534.91,"Travel, venue hire and exhibition services"
09/06/2017,535.15,"Travel, venue hire and exhibition services"
29/06/2017,535.88,"Travel, venue hire and exhibition services"
30/06/2017,536.00,"Travel, venue hire and exhibition services"
02/06/2017,536.52,"Travel, venue hire and exhibition services"
12/06/2017,540.00,"Travel, venue hire and exhibition services"
20/06/2017,547.16,"Travel, venue hire and exhibition services"
30/06/2017,549.00,"Travel, venue hire and exhibition services"
26/06/2017,551.52,"Travel, venue hire and exhibition services"
09/06/2017,553.42,IT & Telecoms
02/06/2017,560.51,IT & Telecoms
23/06/2017,574.45,"Travel, venue hire and exhibition services"
02/06/2017,576.81,"Travel, venue hire and exhibition services"
15/06/2017,585.26,"Travel, venue hire and exhibition services"
13/06/2017,590.39,IT & Telecoms
12/06/2017,593.09,"Travel, venue hire and exhibition services"
15/06/2017,594.00,"Travel, venue hire and exhibition services"
01/06/2017,597.00,"Travel, venue hire and exhibition services"
15/06/2017,597.18,"Advertising, Marketing & Media"
01/06/2017,597.93,"Travel, venue hire and exhibition services"
15/06/2017,598.07,"Advertising, Marketing & Media"
20/06/2017,598.80,"Travel, venue hire and exhibition services"
02/06/2017,599.00,IT & Telecoms
08/06/2017,600.00,Human Resources
25/06/2017,600.09,"Advertising, Marketing & Media"
15/06/2017,600.64,"Advertising, Marketing & Media"
27/06/2017,617.06,"Travel, venue hire and exhibition services"
26/06/2017,621.53,"Travel, venue hire and exhibition services"
14/06/2017,630.84,"Travel, venue hire and exhibition services"
12/06/2017,634.16,Facilities
12/06/2017,645.14,Facilities
05/06/2017,656.21,"Travel, venue hire and exhibition services"
23/06/2017,673.06,Human Resources
07/06/2017,674.69,Facilities
09/06/2017,683.40,Facilities
06/06/2017,687.24,"Travel, venue hire and exhibition services"
30/06/2017,699.63,"Travel, venue hire and exhibition services"
27/06/2017,705.71,"Travel, venue hire and exhibition services"
28/06/2017,714.15,Human Resources
12/06/2017,715.94,Facilities
02/06/2017,717.57,"Travel, venue hire and exhibition services"
30/06/2017,727.68,"Travel, venue hire and exhibition services"
30/06/2017,738.90,IT & Telecoms
08/06/2017,742.98,"Travel, venue hire and exhibition services"
19/06/2017,744.42,"Travel, venue hire and exhibition services"
20/06/2017,752.12,"Travel, venue hire and exhibition services"
20/06/2017,755.23,"Travel, venue hire and exhibition services"
20/06/2017,755.23,"Travel, venue hire and exhibition services"
02/06/2017,766.76,Facilities
30/06/2017,774.25,"Travel, venue hire and exhibition services"
30/06/2017,774.31,"Travel, venue hire and exhibition services"
05/06/2017,779.00,IT & Telecoms
01/06/2017,796.10,"Travel, venue hire and exhibition services"
22/06/2017,798.49,IT & Telecoms
26/06/2017,800.30,"Travel, venue hire and exhibition services"
09/06/2017,800.66,IT & Telecoms
30/06/2017,807.90,IT & Telecoms
19/06/2017,810.94,"Travel, venue hire and exhibition services"
20/06/2017,829.86,Facilities
26/06/2017,839.53,"Travel, venue hire and exhibition services"
05/06/2017,844.79,"Travel, venue hire and exhibition services"
06/06/2017,849.39,"Travel, venue hire and exhibition services"
15/06/2017,851.82,"Travel, venue hire and exhibition services"
12/06/2017,860.14,"Travel, venue hire and exhibition services"
19/06/2017,869.52,"Travel, venue hire and exhibition services"
07/06/2017,884.28,"Travel, venue hire and exhibition services"
16/06/2017,888.00,"Travel, venue hire and exhibition services"
01/06/2017,898.37,"Travel, venue hire and exhibition services"
07/06/2017,910.95,Facilities
07/06/2017,944.63,Facilities
01/06/2017,965.74,"Travel, venue hire and exhibition services"
21/06/2017,974.89,"Travel, venue hire and exhibition services"
06/06/2017,988.22,"Travel, venue hire and exhibition services"
16/06/2017,996.60,Facilities
27/06/2017,"1,008.78","Travel, venue hire and exhibition services"
19/06/2017,"1,011.74","Travel, venue hire and exhibition services"
20/06/2017,"1,020.00","Advertising, Marketing & Media"
26/06/2017,"1,038.26","Travel, venue hire and exhibition services"
23/06/2017,"1,044.14","Travel, venue hire and exhibition services"
20/06/2017,"1,047.32","Travel, venue hire and exhibition services"
11/06/2017,"1,053.36","Travel, venue hire and exhibition services"
23/06/2017,"1,058.12","Travel, venue hire and exhibition services"
09/06/2017,"1,069.12",IT & Telecoms
19/06/2017,"1,074.50","Travel, venue hire and exhibition services"
05/06/2017,"1,089.23","Travel, venue hire and exhibition services"
26/06/2017,"1,089.94",IT & Telecoms
20/06/2017,"1,090.92",Facilities
03/06/2017,"1,125.00",IT & Telecoms
01/06/2017,"1,146.97",Human Resources
23/06/2017,"1,186.60",Human Resources
01/06/2017,"1,194.70","Travel, venue hire and exhibition services"
02/06/2017,"1,251.69",IT & Telecoms
19/06/2017,"1,287.36",Facilities
14/06/2017,"1,304.45","Travel, venue hire and exhibition services"
16/06/2017,"1,318.12","Travel, venue hire and exhibition services"
20/06/2017,"1,324.57","Travel, venue hire and exhibition services"
19/06/2017,"1,391.76","Travel, venue hire and exhibition services"
30/06/2017,"1,446.94","Travel, venue hire and exhibition services"
08/06/2017,"1,493.50","Travel, venue hire and exhibition services"
02/06/2017,"1,502.32","Travel, venue hire and exhibition services"
07/06/2017,"1,508.30",Facilities
29/06/2017,"1,523.69","Travel, venue hire and exhibition services"
30/06/2017,"1,555.60","Travel, venue hire and exhibition services"
15/06/2017,"1,608.00","Travel, venue hire and exhibition services"
06/06/2017,"1,635.85","Travel, venue hire and exhibition services"
12/06/2017,"1,650.00",Facilities
23/06/2017,"1,666.23","Travel, venue hire and exhibition services"
01/06/2017,"1,796.54",IT & Telecoms
07/06/2017,"1,819.23",Facilities
22/06/2017,"1,828.38","Travel, venue hire and exhibition services"
12/06/2017,"2,012.42",Human Resources
02/06/2017,"2,036.40","Travel, venue hire and exhibition services"
16/06/2017,"2,058.33","Travel, venue hire and exhibition services"
30/06/2017,"2,073.46","Travel, venue hire and exhibition services"
03/06/2017,"2,170.00",IT & Telecoms
12/06/2017,"2,340.26",Facilities
07/06/2017,"2,414.66",Facilities
06/06/2017,"2,471.93","Travel, venue hire and exhibition services"
05/06/2017,"2,574.42","Travel, venue hire and exhibition services"
12/06/2017,"2,640.99","Travel, venue hire and exhibition services"
19/06/2017,"3,191.80",IT & Telecoms
