Sent for Payment Date,Approved Amount (rpt),Category Level 1
03/05/2017,500.00,"Advertising, Marketing & Media"
03/05/2017,500.00,"Advertising, Marketing & Media"
03/05/2017,500.44,"Advertising, Marketing & Media"
03/05/2017,500.44,"Advertising, Marketing & Media"
02/05/2017,508.00,Facilities
05/05/2017,515.00,"Travel, venue hire and exhibition services"
31/05/2017,515.99,Facilities
23/05/2017,521.73,IT & Telecoms
18/05/2017,523.40,"Travel, venue hire and exhibition services"
01/05/2017,526.39,"Travel, venue hire and exhibition services"
18/05/2017,529.77,"Travel, venue hire and exhibition services"
03/05/2017,538.56,Facilities
30/05/2017,544.75,"Travel, venue hire and exhibition services"
22/05/2017,545.88,"Travel, venue hire and exhibition services"
21/05/2017,548.64,Facilities
31/05/2017,553.87,IT & Telecoms
04/05/2017,561.32,"Travel, venue hire and exhibition services"
30/05/2017,575.00,Facilities
02/05/2017,577.83,"Travel, venue hire and exhibition services"
30/05/2017,580.00,"Travel, venue hire and exhibition services"
16/05/2017,581.40,"Travel, venue hire and exhibition services"
03/05/2017,586.01,Facilities
15/05/2017,600.03,"Advertising, Marketing & Media"
15/05/2017,600.09,"Advertising, Marketing & Media"
15/05/2017,600.13,"Advertising, Marketing & Media"
02/05/2017,604.95,"Travel, venue hire and exhibition services"
02/05/2017,611.07,"Travel, venue hire and exhibition services"
02/05/2017,615.91,Facilities
12/05/2017,621.69,"Travel, venue hire and exhibition services"
11/05/2017,626.47,"Travel, venue hire and exhibition services"
31/05/2017,630.00,"Travel, venue hire and exhibition services"
31/05/2017,639.36,Facilities
28/05/2017,650.00,"Advertising, Marketing & Media"
09/05/2017,653.21,"Travel, venue hire and exhibition services"
30/05/2017,657.19,"Travel, venue hire and exhibition services"
31/05/2017,675.52,"Travel, venue hire and exhibition services"
16/05/2017,676.00,"Travel, venue hire and exhibition services"
30/05/2017,678.75,Human Resources
31/05/2017,713.90,Facilities
01/05/2017,722.86,"Travel, venue hire and exhibition services"
03/05/2017,724.38,"Travel, venue hire and exhibition services"
09/05/2017,730.39,IT & Telecoms
09/05/2017,736.00,IT & Telecoms
09/05/2017,738.00,IT & Telecoms
05/05/2017,748.66,"Travel, venue hire and exhibition services"
25/05/2017,755.82,"Travel, venue hire and exhibition services"
10/05/2017,757.32,Facilities
26/05/2017,766.80,IT & Telecoms
31/05/2017,771.00,Human Resources
04/05/2017,784.24,Facilities
10/05/2017,794.85,"Travel, venue hire and exhibition services"
05/05/2017,796.57,"Travel, venue hire and exhibition services"
23/05/2017,814.87,"Travel, venue hire and exhibition services"
02/05/2017,814.95,Facilities
24/05/2017,816.00,Facilities
05/05/2017,829.66,"Travel, venue hire and exhibition services"
25/05/2017,837.39,"Travel, venue hire and exhibition services"
12/05/2017,879.75,"Travel, venue hire and exhibition services"
03/05/2017,887.78,"Travel, venue hire and exhibition services"
03/05/2017,887.98,"Travel, venue hire and exhibition services"
06/05/2017,948.28,"Travel, venue hire and exhibition services"
31/05/2017,953.43,"Travel, venue hire and exhibition services"
24/05/2017,960.00,"Travel, venue hire and exhibition services"
25/05/2017,982.43,"Travel, venue hire and exhibition services"
11/05/2017,"1,014.68","Travel, venue hire and exhibition services"
02/05/2017,"1,020.00",Facilities
30/05/2017,"1,043.33","Travel, venue hire and exhibition services"
03/05/2017,"1,045.00",Facilities
03/05/2017,"1,057.30","Travel, venue hire and exhibition services"
29/05/2017,"1,079.35","Travel, venue hire and exhibition services"
22/05/2017,"1,090.76","Travel, venue hire and exhibition services"
25/05/2017,"1,097.11","Travel, venue hire and exhibition services"
31/05/2017,"1,098.93","Travel, venue hire and exhibition services"
25/05/2017,"1,103.83","Travel, venue hire and exhibition services"
09/05/2017,"1,121.28",IT & Telecoms
03/05/2017,"1,130.54","Travel, venue hire and exhibition services"
04/05/2017,"1,140.00",Human Resources
09/05/2017,"1,146.91",IT & Telecoms
08/05/2017,"1,195.00",IT & Telecoms
03/05/2017,"1,200.00",Human Resources
30/05/2017,"1,204.30","Travel, venue hire and exhibition services"
05/05/2017,"1,209.77","Travel, venue hire and exhibition services"
09/05/2017,"1,236.00",Human Resources
19/05/2017,"1,314.00",Human Resources
15/05/2017,"1,420.36",Facilities
15/05/2017,"1,420.36",Facilities
28/05/2017,"1,452.12","Advertising, Marketing & Media"
02/05/2017,"1,479.04","Travel, venue hire and exhibition services"
02/05/2017,"1,629.89",IT & Telecoms
08/05/2017,"1,645.79",Human Resources
31/05/2017,"1,686.85","Travel, venue hire and exhibition services"
04/05/2017,"1,702.70","Travel, venue hire and exhibition services"
22/05/2017,"1,809.89",Facilities
30/05/2017,"1,826.01",Facilities
03/05/2017,"1,912.50","Travel, venue hire and exhibition services"
25/05/2017,"1,975.08","Travel, venue hire and exhibition services"
19/05/2017,"2,114.08","Travel, venue hire and exhibition services"
02/05/2017,"2,610.00","Travel, venue hire and exhibition services"
24/05/2017,"2,710.00","Travel, venue hire and exhibition services"
24/05/2017,"2,710.00","Travel, venue hire and exhibition services"
30/05/2017,"3,023.75","Travel, venue hire and exhibition services"
23/05/2017,"4,270.26",IT & Telecoms
23/05/2017,"4,483.45",IT & Telecoms
09/05/2017,"11,382.99",IT & Telecoms
08/05/2017,"24,000.00",IT & Telecoms
