Sent for Payment Date,Approved Amount (rpt),Category Level 1
10/11/2017,500.00,"Advertising, Marketing & Media"
10/11/2017,500.00,"Advertising, Marketing & Media"
08/11/2017,500.00,"Travel, venue hire and exhibition services"
01/11/2017,508.93,IT & Telecoms
25/11/2017,509.03,"Travel, venue hire and exhibition services"
30/11/2017,510.91,"Advertising, Marketing & Media"
10/11/2017,513.74,"Travel, venue hire and exhibition services"
07/11/2017,516.72,IT & Telecoms
23/11/2017,519.88,"Travel, venue hire and exhibition services"
09/11/2017,521.29,"Travel, venue hire and exhibition services"
23/11/2017,524.74,Facilities
27/11/2017,525.27,"Travel, venue hire and exhibition services"
24/11/2017,531.02,Facilities
23/11/2017,531.59,"Travel, venue hire and exhibition services"
27/11/2017,531.59,"Travel, venue hire and exhibition services"
21/11/2017,532.39,"Travel, venue hire and exhibition services"
10/11/2017,534.00,Human Resources
23/11/2017,534.00,Human Resources
01/11/2017,535.00,"Travel, venue hire and exhibition services"
28/11/2017,535.53,"Travel, venue hire and exhibition services"
01/11/2017,540.62,IT & Telecoms
15/11/2017,542.99,IT & Telecoms
08/11/2017,547.84,"Travel, venue hire and exhibition services"
07/11/2017,550.48,IT & Telecoms
28/11/2017,551.05,"Travel, venue hire and exhibition services"
12/11/2017,555.35,"Advertising, Marketing & Media"
28/11/2017,561.35,IT & Telecoms
05/11/2017,562.53,"Travel, venue hire and exhibition services"
15/11/2017,565.11,IT & Telecoms
15/11/2017,567.05,IT & Telecoms
22/11/2017,567.40,"Travel, venue hire and exhibition services"
19/11/2017,569.23,"Travel, venue hire and exhibition services"
24/11/2017,570.00,"Travel, venue hire and exhibition services"
25/11/2017,570.28,"Travel, venue hire and exhibition services"
30/11/2017,571.37,"Travel, venue hire and exhibition services"
10/11/2017,571.37,"Travel, venue hire and exhibition services"
19/11/2017,575.43,"Travel, venue hire and exhibition services"
10/11/2017,577.00,Facilities
14/11/2017,589.80,IT & Telecoms
28/11/2017,594.00,IT & Telecoms
10/11/2017,596.40,Human Resources
23/11/2017,597.60,"Travel, venue hire and exhibition services"
27/11/2017,599.79,"Travel, venue hire and exhibition services"
30/11/2017,610.47,"Travel, venue hire and exhibition services"
11/11/2017,611.44,"Travel, venue hire and exhibition services"
18/11/2017,615.54,"Travel, venue hire and exhibition services"
10/11/2017,622.10,"Travel, venue hire and exhibition services"
27/11/2017,622.68,"Travel, venue hire and exhibition services"
08/11/2017,628.90,"Travel, venue hire and exhibition services"
08/11/2017,632.35,"Travel, venue hire and exhibition services"
10/11/2017,638.15,Facilities
28/11/2017,640.99,IT & Telecoms
08/11/2017,661.85,"Travel, venue hire and exhibition services"
22/11/2017,671.39,"Travel, venue hire and exhibition services"
13/11/2017,686.47,"Travel, venue hire and exhibition services"
06/11/2017,690.82,"Travel, venue hire and exhibition services"
22/11/2017,699.08,Facilities
29/11/2017,700.25,"Travel, venue hire and exhibition services"
30/11/2017,700.68,Facilities
30/11/2017,714.00,Human Resources
25/11/2017,715.69,Facilities
01/11/2017,720.00,IT & Telecoms
30/11/2017,724.66,"Advertising, Marketing & Media"
28/11/2017,731.62,"Travel, venue hire and exhibition services"
30/11/2017,731.66,"Travel, venue hire and exhibition services"
29/11/2017,731.66,"Travel, venue hire and exhibition services"
08/11/2017,741.61,"Travel, venue hire and exhibition services"
27/11/2017,746.50,"Travel, venue hire and exhibition services"
29/11/2017,754.10,Human Resources
30/11/2017,763.58,Facilities
16/11/2017,763.71,"Travel, venue hire and exhibition services"
22/11/2017,776.24,IT & Telecoms
22/11/2017,780.00,IT & Telecoms
02/11/2017,780.00,"Travel, venue hire and exhibition services"
30/11/2017,785.72,Facilities
30/11/2017,786.41,IT & Telecoms
09/11/2017,811.48,"Travel, venue hire and exhibition services"
18/11/2017,813.22,"Travel, venue hire and exhibition services"
14/11/2017,832.70,"Travel, venue hire and exhibition services"
13/11/2017,861.00,Human Resources
06/11/2017,865.12,Facilities
22/11/2017,881.91,Facilities
21/11/2017,888.89,"Travel, venue hire and exhibition services"
15/11/2017,888.90,"Travel, venue hire and exhibition services"
20/11/2017,890.12,"Travel, venue hire and exhibition services"
23/11/2017,913.74,IT & Telecoms
23/11/2017,934.80,"Travel, venue hire and exhibition services"
02/11/2017,950.00,"Travel, venue hire and exhibition services"
06/11/2017,953.75,Human Resources
30/11/2017,959.40,"Travel, venue hire and exhibition services"
13/11/2017,969.17,"Travel, venue hire and exhibition services"
13/11/2017,969.17,"Travel, venue hire and exhibition services"
17/11/2017,978.08,"Travel, venue hire and exhibition services"
22/11/2017,995.26,"Travel, venue hire and exhibition services"
30/11/2017,"1,020.00",Human Resources
02/11/2017,"1,020.00",IT & Telecoms
30/11/2017,"1,056.49",Facilities
24/11/2017,"1,060.98","Travel, venue hire and exhibition services"
14/11/2017,"1,074.50","Travel, venue hire and exhibition services"
14/11/2017,"1,074.50","Travel, venue hire and exhibition services"
21/11/2017,"1,078.80",Human Resources
10/11/2017,"1,080.00",Human Resources
11/11/2017,"1,092.45","Travel, venue hire and exhibition services"
17/11/2017,"1,103.62","Travel, venue hire and exhibition services"
22/11/2017,"1,117.48","Travel, venue hire and exhibition services"
29/11/2017,"1,122.20","Travel, venue hire and exhibition services"
24/11/2017,"1,136.48",IT & Telecoms
24/11/2017,"1,140.00","Travel, venue hire and exhibition services"
14/11/2017,"1,151.24",Facilities
29/11/2017,"1,164.25","Travel, venue hire and exhibition services"
29/11/2017,"1,191.54","Travel, venue hire and exhibition services"
30/11/2017,"1,228.80","Travel, venue hire and exhibition services"
29/11/2017,"1,230.91","Travel, venue hire and exhibition services"
11/11/2017,"1,272.05","Travel, venue hire and exhibition services"
06/11/2017,"1,274.19","Travel, venue hire and exhibition services"
16/11/2017,"1,295.78","Travel, venue hire and exhibition services"
30/11/2017,"1,297.68",Professional Services
16/11/2017,"1,317.64","Travel, venue hire and exhibition services"
30/11/2017,"1,338.36",Facilities
08/11/2017,"1,342.72","Travel, venue hire and exhibition services"
06/11/2017,"1,359.98","Travel, venue hire and exhibition services"
15/11/2017,"1,417.00",Human Resources
14/11/2017,"1,417.90","Travel, venue hire and exhibition services"
29/11/2017,"1,452.55","Travel, venue hire and exhibition services"
30/11/2017,"1,461.23",Facilities
28/11/2017,"1,505.55","Travel, venue hire and exhibition services"
17/11/2017,"1,509.37","Travel, venue hire and exhibition services"
07/11/2017,"1,510.39",IT & Telecoms
30/11/2017,"1,562.64","Travel, venue hire and exhibition services"
02/11/2017,"1,590.00",Human Resources
21/11/2017,"1,843.70","Travel, venue hire and exhibition services"
17/11/2017,"1,846.95","Travel, venue hire and exhibition services"
24/11/2017,"2,050.25","Travel, venue hire and exhibition services"
23/11/2017,"2,170.00",IT & Telecoms
21/11/2017,"2,223.88","Travel, venue hire and exhibition services"
12/11/2017,"2,410.13","Travel, venue hire and exhibition services"
02/11/2017,"2,484.49","Advertising, Marketing & Media"
07/11/2017,"2,542.00","Travel, venue hire and exhibition services"
30/11/2017,"2,554.10","Travel, venue hire and exhibition services"
24/11/2017,"2,648.18","Advertising, Marketing & Media"
02/11/2017,"2,721.84","Travel, venue hire and exhibition services"
01/11/2017,"2,843.63",Human Resources
17/11/2017,"2,997.04","Travel, venue hire and exhibition services"
10/11/2017,"3,049.17",IT & Telecoms
22/11/2017,"3,594.00",Human Resources
17/11/2017,"4,138.80",Human Resources
