Sent for Payment Date,Approved Amount (rpt),Category Level 1
06/09/2017,500.00,"Advertising, Marketing & Media"
06/09/2017,500.00,"Advertising, Marketing & Media"
27/09/2017,500.00,"Travel, venue hire and exhibition services"
25/09/2017,502.15,"Travel, venue hire and exhibition services"
08/09/2017,504.62,"Travel, venue hire and exhibition services"
26/09/2017,506.63,"Travel, venue hire and exhibition services"
25/09/2017,508.88,"Travel, venue hire and exhibition services"
18/09/2017,510.00,IT & Telecoms
19/09/2017,511.20,Facilities
04/09/2017,515.25,Facilities
26/09/2017,518.67,"Travel, venue hire and exhibition services"
18/09/2017,523.84,"Travel, venue hire and exhibition services"
19/09/2017,526.40,"Travel, venue hire and exhibition services"
01/09/2017,534.00,"Travel, venue hire and exhibition services"
19/09/2017,535.00,"Travel, venue hire and exhibition services"
27/09/2017,536.00,Human Resources
27/09/2017,543.76,"Travel, venue hire and exhibition services"
29/09/2017,545.29,"Travel, venue hire and exhibition services"
01/09/2017,545.74,Facilities
10/09/2017,547.39,Facilities
08/09/2017,549.17,"Travel, venue hire and exhibition services"
08/09/2017,550.00,"Travel, venue hire and exhibition services"
22/09/2017,562.73,"Travel, venue hire and exhibition services"
06/09/2017,567.00,"Travel, venue hire and exhibition services"
05/09/2017,573.34,"Travel, venue hire and exhibition services"
25/09/2017,573.75,IT & Telecoms
25/09/2017,574.25,IT & Telecoms
25/09/2017,579.07,IT & Telecoms
06/09/2017,591.01,"Advertising, Marketing & Media"
06/09/2017,593.81,"Advertising, Marketing & Media"
21/09/2017,594.00,"Travel, venue hire and exhibition services"
05/09/2017,594.00,"Travel, venue hire and exhibition services"
18/09/2017,594.09,"Travel, venue hire and exhibition services"
06/09/2017,596.47,"Advertising, Marketing & Media"
06/09/2017,600.97,"Advertising, Marketing & Media"
09/09/2017,603.78,IT & Telecoms
20/09/2017,605.98,"Travel, venue hire and exhibition services"
12/09/2017,624.64,"Travel, venue hire and exhibition services"
29/09/2017,634.21,Facilities
04/09/2017,655.98,"Travel, venue hire and exhibition services"
13/09/2017,665.26,"Travel, venue hire and exhibition services"
30/09/2017,667.28,"Travel, venue hire and exhibition services"
25/09/2017,671.28,"Travel, venue hire and exhibition services"
28/09/2017,676.00,"Travel, venue hire and exhibition services"
01/09/2017,689.18,"Travel, venue hire and exhibition services"
06/09/2017,691.60,Facilities
08/09/2017,722.46,"Travel, venue hire and exhibition services"
20/09/2017,740.52,Facilities
29/09/2017,746.45,"Travel, venue hire and exhibition services"
29/09/2017,755.23,Human Resources
26/09/2017,772.77,"Travel, venue hire and exhibition services"
26/09/2017,780.00,"Travel, venue hire and exhibition services"
25/09/2017,795.16,"Travel, venue hire and exhibition services"
06/09/2017,814.98,"Travel, venue hire and exhibition services"
27/09/2017,819.35,"Travel, venue hire and exhibition services"
25/09/2017,827.12,"Travel, venue hire and exhibition services"
19/09/2017,840.19,"Travel, venue hire and exhibition services"
04/09/2017,851.77,Facilities
06/09/2017,852.81,"Travel, venue hire and exhibition services"
26/09/2017,859.80,"Travel, venue hire and exhibition services"
28/09/2017,870.00,Human Resources
09/09/2017,899.98,Facilities
26/09/2017,911.51,"Travel, venue hire and exhibition services"
01/09/2017,913.20,Facilities
29/09/2017,932.41,Human Resources
14/09/2017,933.12,IT & Telecoms
18/09/2017,934.80,"Advertising, Marketing & Media"
12/09/2017,947.24,"Travel, venue hire and exhibition services"
01/09/2017,953.75,Human Resources
04/09/2017,973.15,IT & Telecoms
05/09/2017,"1,007.16","Travel, venue hire and exhibition services"
20/09/2017,"1,014.62","Travel, venue hire and exhibition services"
28/09/2017,"1,020.00",Facilities
29/09/2017,"1,032.69","Travel, venue hire and exhibition services"
29/09/2017,"1,036.09","Travel, venue hire and exhibition services"
18/09/2017,"1,041.10","Travel, venue hire and exhibition services"
27/09/2017,"1,042.99",Human Resources
28/09/2017,"1,060.00",Human Resources
26/09/2017,"1,081.37","Travel, venue hire and exhibition services"
04/09/2017,"1,082.61","Travel, venue hire and exhibition services"
08/09/2017,"1,194.00",Human Resources
29/09/2017,"1,198.05","Travel, venue hire and exhibition services"
22/09/2017,"1,234.12",Human Resources
04/09/2017,"1,239.83",IT & Telecoms
